FUNCTION PROFILE: Jun-13-2022 17:36:37.720 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        6           9   Mutex.Acquire
        6           6   Mutex.Release
        5          13   Gate.Notify
        5           7   Thread.Interrupt
        5           6   SysThread.Interrupt
        4           6   MutexGuard.ctor
        4           6   Thread.Pause
        4           4   MutexGuard.Release
        4           4   MutexGuard.dtor
        3         620   Gate.WaitFor
        3           3   SysThread.Suspend
        3           2   Debug.SwFlagOn
        2          20   Thread.LogContextSwitch
        2           7   Thread.ExitBlockingOperation
        2           6   Log.Find
        2           4   LogGroupRegistry.FindGroup
        2           3   BuddyHeap.SetPermissions
        2           3   LogGroup.FindLog
        2           3   Thread.ExitSwLog
        2           3   Thread.Resume
        2           3   Thread.Schedule
        2           2   LogBuffer.First
        2           2   SysThread.Wait
        2           2   Thread.EnterBlockingOperation
        2           2   Thread.InitialTime
        2           2   Thread.Ready
        2           2   Thread.SetSignal
        2           2   Thread.Suspend
        2           2   ThreadAdmin.WarpFactor
        2           1   RecoveryThread.Enter
        1        1285   Thread.CauseTrap
        1         542   Thread.ExtendTime
        1          34   Log.Format
        1           8   Thread.TrapHandler
        1           5   LeakyBucketCounter.HasReachedLimit
        1           5   Thread.HandleSignal
        1           4   LogBuffer.Push
        1           4   Thread.LogTrap
        1           3   Log.Submit
        1           3   LogBuffer.InsertionPoint
        1           3   Thread.Start
        1           3   ThreadRegistry.GetState
        1           2   Exception.dtor
        1           2   Log.Find(log)
        1           2   MutexRegistry.Abandon
        1           2   NodeBase.SE_Handler
        1           2   RecoveryThread.Recover
        1           1   Exception.ctor
        1           1   Log.Create
        1           1   LogBuffer.SetNext
        1           1   LogBufferRegistry.Active
        1           1   Memory.Copy
        1           1   RecoveryThread.UseBadPointer
        1           1   SignalException.dtor
        1           1   SysThread.Delay
        1           1   SysThread.Start
        1           0   SignalException.ctor

Total functions: 57
