FUNCTION PROFILE: May-25-2022 17:35:40.609 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       24         256   SysMutex.Acquire
       24         163   SysMutex.Release
       22         134   MutexGuard.ctor
       22         114   MutexGuard.Release
       22         114   MutexGuard.dtor
       17          96   Memory.Free
       14         116   NbHeap.Free
       14         102   NbHeap.BlockToSize
       14          90   Q2Way.Enq
       11          10   C++.delete
        9          46   Dynamic.operator delete
        8         801   Statistic.dtor
        8         452   Registry.Erase
        8          63   StatisticsRegistry.UnbindStat
        6          77   Gate.Notify
        6          26   SysThread.Interrupt
        6          25   Thread.Interrupt
        5          30   Counter.dtor
        4          29   Q2Way.Exq
        4          23   Debug.SwFlagOn
        4          21   LogGroupRegistry.FindGroup
        4          19   Log.Find
        4          15   LogBuffer.First
        4          15   LogGroup.FindLog
        3        3069   Gate.WaitFor
        3         588   SysHeap.BlockToSize
        3          24   HighWatermark.dtor
        3           8   SysThread.Suspend
        3           4   SysHeap.Free
        3           2   Permanent.operator delete
        2         147   Log.Format
        2          53   Thread.LogContextSwitch
        2          14   Log.Submit
        2          14   LogBuffer.Push
        2          12   Log.Find(log)
        2          12   Thread.Resume
        2          11   MutexRegistry.Abandon
        2           9   Heap.SetPermissions
        2           9   Log.Create
        2           9   LogBuffer.InsertionPoint
        2           9   Thread.Pause
        2           8   Thread.Start
        2           7   LogBuffer.SetNext
        2           7   LogBufferRegistry.Active
        2           7   Memory.Copy
        2           7   SysThread.Start
        2           7   Thread.InitialTime
        2           7   Thread.Ready
        2           7   Thread.Schedule
        2           7   Thread.Suspend
        2           7   ThreadRegistry.GetState
        2           6   SysThread.Wait
        2           6   ThreadAdmin.WarpFactor
        2           5   RecoveryThread.Enter
        2           3   Thread.ExitSwLog
        2           0   LeakyBucketCounter.dtor
        1        2769   Thread.CauseTrap
        1        1966   ThreadStats.dtor
        1        1334   Thread.ExtendTime
        1          21   Thread.TrapHandler
        1          16   LeakyBucketCounter.HasReachedLimit
        1          13   Daemon.Find
        1          12   Q1Way.Init
        1          10   Accumulator.dtor
        1          10   Daemon.ThreadDeleted
        1          10   Thread.Purge
        1           9   ThreadRegistry.Exiting
        1           8   Exception.dtor
        1           8   Thread.Exit
        1           8   Thread.ExitBlockingOperation
        1           8   Thread.LogTrap
        1           8   Thread.ReleaseResources
        1           7   SignalException.dtor
        1           6   RecoveryThread.Recover
        1           6   Singletons.UnbindInstance
        1           5   RecoveryThread.dtor
        1           5   Singleton.Destroy
        1           5   Thread.SetSignal
        1           5   Thread.dtor
        1           5   ThreadRegistry.Destroying
        1           4   RecoveryThread.Destroy
        1           4   RecoveryThread.UseBadPointer
        1           4   Thread.HandleSignal
        1           3   Thread.LogSignal
        1           3   Thread.Start(initializing)
        1           2   Exception.ctor
        1           2   NodeBase.SE_Handler
        1           2   SysThread.Delete
        1           2   Thread.EnterBlockingOperation
        1           2   ThreadPriv.dtor
        1           1   NodeBase.EnterThread
        1           1   SysThread.Delay
        1           1   SysThread.dtor
        1           1   Thread.RegisterForSignals
        1           0   SignalException.ctor

Total functions: 95
