FUNCTION PROFILE: May-25-2022 17:36:44.702 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       75     4910141   RecoveryThread.LoopForever
       10          20   SysMutex.Acquire
       10          10   SysMutex.Release
        9        2917   Gate.Notify
        9          12   Thread.Interrupt
        9          11   SysThread.Interrupt
        7           8   MutexGuard.ctor
        7           8   MutexGuard.dtor
        7           7   MutexGuard.Release
        6          12   Log.Find
        6          10   LogGroupRegistry.FindGroup
        6           8   Thread.Pause
        6           6   LogBuffer.First
        6           6   LogGroup.FindLog
        5        2585   Gate.WaitFor
        5           9   SysThread.Suspend
        3         102   Log.Format
        3          35   RecoveryThread.Enter
        3          33   Thread.LogContextSwitch
        3          12   Thread.ExitBlockingOperation
        3          11   LogBuffer.Push
        3          10   Log.Submit
        3           9   Thread.Ready
        3           9   Thread.Resume
        3           7   SysThread.Wait
        3           6   Thread.Suspend
        3           5   Log.Create
        3           5   Log.Find(log)
        3           5   LogBuffer.InsertionPoint
        3           5   Thread.InitialTime
        3           5   Thread.Schedule
        3           5   ThreadAdmin.WarpFactor
        3           3   LogBuffer.SetNext
        3           3   LogBufferRegistry.Active
        3           3   Memory.Copy
        3           3   Thread.EnterBlockingOperation
        3           3   Thread.SetSignal
        3           2   Debug.SwFlagOn
        2           3   Thread.ExitSwLog
        2           2   Heap.SetPermissions
        2           2   SysThread.Delay
        1         760   Thread.ExtendTime
        1          10   Thread.TrapHandler
        1           4   Thread.Raise
        1           4   Thread.RegisterForSignals
        1           4   Thread.Start
        1           3   LeakyBucketCounter.HasReachedLimit
        1           3   MutexRegistry.Abandon
        1           3   Thread.HandleSignal
        1           3   Thread.LogTrap
        1           2   RecoveryThread.Recover
        1           2   Thread.LogSignal
        1           2   Thread.SignalHandler
        1           1   Exception.ctor
        1           1   Exception.dtor
        1           1   SignalException.dtor
        1           1   SysThread.Start
        1           1   Thread.SetTrap
        1           1   ThreadRegistry.GetState
        1           0   SignalException.ctor

Total functions: 60
