FUNCTION PROFILE: May-25-2022 17:36:30.389 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      162     1018513   SysMutex.Release
      162        1194   SysMutex.Acquire
      160        3701   MutexGuard.ctor
      160        2161   MutexGuard.Release
      160         771   MutexGuard.dtor
      138         694   ThreadRegistry.GetState
       19         119   Memory.Free
       14        1223   NbHeap.BlockToSize
       14         119   NbHeap.Free
       14          93   Q2Way.Enq
       14          11   C++.delete
        9          51   Dynamic.operator delete
        8         474   Registry.Erase
        8          58   Statistic.dtor
        8          55   StatisticsRegistry.UnbindStat
        5          83   Gate.Notify
        5          40   Counter.dtor
        5          29   Thread.Interrupt
        5          28   SysHeap.Free
        5          28   SysThread.Interrupt
        5          24   Permanent.operator delete
        5          24   SysHeap.BlockToSize
        4          28   Debug.SwLog
        4          26   LogGroupRegistry.FindGroup
        4          23   Log.Find
        4          20   LogGroup.FindLog
        4          12   LogBuffer.First
        3         983   Gate.WaitFor
        3          63   Thread.Start(initializing)
        3          29   NodeBase.EnterThread
        3          28   Thread.RegisterForSignals
        3          25   HighWatermark.dtor
        3          23   ThreadRegistry.Exiting
        3          22   SysThread.Suspend
        3          21   SysThread.Delete
        3          21   Thread.Purge
        3          13   SysThread.dtor
        2         646   Log.Format
        2          89   Thread.LogContextSwitch
        2          22   Thread.Ready
        2          18   Log.Create
        2          18   Log.Submit
        2          18   Thread.Resume
        2          18   Thread.Schedule
        2          13   LogBuffer.Push
        2          13   SysThread.Wait
        2          12   Thread.Suspend
        2          11   Log.Find(log)
        2          11   RecoveryThread.Enter
        2          11   Thread.AbnormalExit
        2          11   Thread.InitialTime
        2          10   LogBuffer.InsertionPoint
        2           9   Thread.EnterSwLog
        2           9   Thread.ExitSwLog
        2           9   ThreadAdmin.WarpFactor
        2           8   LogBufferRegistry.Active
        2           8   Memory.Copy
        2           7   LogBuffer.SetNext
        2           7   Thread.Pause
        2           4   LeakyBucketCounter.dtor
        1        2391   ThreadStats.dtor
        1          14   Daemon.Find
        1          14   Thread.ExitBlockingOperation
        1          10   Accumulator.dtor
        1          10   Daemon.ThreadDeleted
        1           9   Thread.ReleaseResources
        1           8   Singleton.Destroy
        1           8   Singletons.UnbindInstance
        1           8   Thread.LogSignal
        1           7   SysThread.Delay
        1           6   MutexRegistry.Abandon
        1           6   Q1Way.Init
        1           6   Q2Way.Exq
        1           6   SysThread.Start
        1           6   Thread.Exit
        1           6   Thread.dtor
        1           6   ThreadRegistry.Destroying
        1           5   Debug.SwFlagOn
        1           5   RecoveryThread.Destroy
        1           4   Debug.SetSwFlag
        1           4   RecoveryThread.dtor
        1           4   Thread.EnterBlockingOperation
        1           4   Thread.Start
        1           4   ThreadPriv.dtor

Total functions: 84
