FUNCTION PROFILE: Jun-13-2022 17:37:32.337 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        8          32   Mutex.Acquire
        8          20   Mutex.Release
        6          22   MutexGuard.dtor
        6          11   MutexGuard.ctor
        6          10   MutexGuard.Release
        4     1911673   Gate.WaitFor
        4          31   Gate.Notify
        4          15   SysThread.Suspend
        4          15   Thread.Interrupt
        4          14   SysThread.Interrupt
        3           8   Thread.Pause
        2        1505   Thread.ExitBlockingOperation
        2          53   Thread.LogContextSwitch
        2          22   BuddyHeap.SetPermissions
        2          10   Thread.Resume
        2           9   Thread.Ready
        2           8   SysThread.Wait
        2           7   LogGroupRegistry.FindGroup
        2           7   Thread.InitialTime
        2           6   Log.Find
        2           6   RecoveryThread.Enter
        2           6   SysThread.Delay
        2           6   Thread.Schedule
        2           5   Debug.SwLog
        2           5   Thread.EnterBlockingOperation
        2           5   Thread.Suspend
        2           5   ThreadAdmin.WarpFactor
        2           4   LogGroup.FindLog
        2           3   ThreadRegistry.GetState
        2           2   LogBuffer.First
        2           2   Thread.ExitSwLog
        1     3105706   Exception.dtor
        1         877   Thread.ExtendTime
        1         402   Log.Format
        1          26   Thread.TrapHandler
        1          10   Thread.EnterSwLog
        1           6   SysThread.Delete
        1           5   Log.Submit
        1           5   LogBuffer.Push
        1           4   NodeBase.EnterThread
        1           4   Permanent.operator delete
        1           4   SysHeap.BlockToSize
        1           3   Log.Find(log)
        1           3   Memory.Free
        1           3   MutexRegistry.Abandon
        1           3   Thread.RegisterForSignals
        1           2   Log.Create
        1           2   LogBuffer.SetNext
        1           2   SignalException.ctor
        1           2   SignalException.dtor
        1           2   SysHeap.Free
        1           2   SysThread.dtor
        1           2   Thread.AbnormalExit
        1           2   Thread.Start
        1           2   Thread.Start(initializing)
        1           2   Thread.WaitUntilConstructed
        1           2   ThreadRegistry.Exiting
        1           1   C++.delete
        1           1   Exception.ctor
        1           1   LogBuffer.InsertionPoint
        1           1   LogBufferRegistry.Active
        1           1   Memory.Copy
        1           1   SysThread.Start
        1           1   Thread.Purge

Total functions: 64
