FUNCTION PROFILE: May-25-2022 17:35:38.535 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        6          10   SysMutex.Acquire
        6           6   SysMutex.Release
        5          20   Gate.Notify
        5           8   Thread.Interrupt
        5           6   SysThread.Interrupt
        4           8   MutexGuard.ctor
        4           6   MutexGuard.dtor
        4           5   Thread.Pause
        4           4   MutexGuard.Release
        3         627   Gate.WaitFor
        3           4   SysThread.Suspend
        3           3   Debug.SwFlagOn
        2          19   Thread.LogContextSwitch
        2          13   RecoveryThread.Enter
        2           5   Log.Find
        2           5   Thread.ExitBlockingOperation
        2           4   LogGroupRegistry.FindGroup
        2           4   Thread.Resume
        2           4   Thread.Suspend
        2           3   Heap.SetPermissions
        2           3   LogGroup.FindLog
        2           3   SysThread.Wait
        2           3   Thread.InitialTime
        2           3   Thread.Ready
        2           2   LogBuffer.First
        2           2   Thread.EnterBlockingOperation
        2           2   Thread.Schedule
        2           2   Thread.SetSignal
        2           2   ThreadAdmin.WarpFactor
        1       13385   Thread.ExtendTime
        1          47   Log.Format
        1          12   Thread.LogTrap
        1          10   Thread.TrapHandler
        1           4   LeakyBucketCounter.HasReachedLimit
        1           4   Log.Submit
        1           4   LogBuffer.Push
        1           4   RecoveryThread.DoException
        1           3   MutexRegistry.Abandon
        1           2   Exception.dtor
        1           2   Log.Find(log)
        1           2   LogBuffer.InsertionPoint
        1           2   Thread.Start
        1           1   Exception.ctor
        1           1   Log.Create
        1           1   LogBuffer.SetNext
        1           1   LogBufferRegistry.Active
        1           1   Memory.Copy
        1           1   RecoveryThread.Recover
        1           1   SoftwareException.dtor
        1           1   SysThread.Delay
        1           1   SysThread.Start
        1           1   Thread.ExitSwLog
        1           1   ThreadRegistry.GetState
        1           0   SoftwareException.ctor(string)

Total functions: 54
