FUNCTION PROFILE: Jun-13-2022 17:37:00.316 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       13      149484   RecoveryThread.LoopForever
        6           9   Mutex.Acquire
        6           6   Mutex.Release
        4          12   Gate.Notify
        4           6   MutexGuard.ctor
        4           6   Thread.Interrupt
        4           6   Thread.Pause
        4           4   MutexGuard.Release
        4           4   MutexGuard.dtor
        4           4   SysThread.Interrupt
        3        2988   Gate.WaitFor
        3           3   SysThread.Suspend
        3           2   Debug.SwFlagOn
        2          20   Thread.LogContextSwitch
        2           8   RecoveryThread.Enter
        2           6   Thread.ExitBlockingOperation
        2           5   Log.Find
        2           5   Thread.Resume
        2           4   LogGroupRegistry.FindGroup
        2           3   BuddyHeap.SetPermissions
        2           3   SysThread.Wait
        2           3   Thread.InitialTime
        2           3   Thread.Suspend
        2           2   LogBuffer.First
        2           2   LogGroup.FindLog
        2           2   Thread.EnterBlockingOperation
        2           2   Thread.Ready
        2           2   Thread.Schedule
        2           2   Thread.SetSignal
        2           2   ThreadAdmin.WarpFactor
        1        1096   Thread.ExtendTime
        1          35   Log.Format
        1           9   Thread.TrapHandler
        1           4   Thread.LogTrap
        1           3   LeakyBucketCounter.HasReachedLimit
        1           3   Log.Submit
        1           3   LogBuffer.Push
        1           3   MutexRegistry.Abandon
        1           3   Thread.Start
        1           3   ThreadRegistry.GetState
        1           2   Log.Create
        1           2   Log.Find(log)
        1           2   LogBuffer.InsertionPoint
        1           2   LogBufferRegistry.Active
        1           2   RecoveryThread.Recover
        1           1   Exception.ctor
        1           1   Exception.dtor
        1           1   LogBuffer.SetNext
        1           1   Memory.Copy
        1           1   SignalException.dtor
        1           1   SysThread.Delay
        1           1   SysThread.Start
        1           1   Thread.ExitSwLog
        1           0   SignalException.ctor

Total functions: 54
