FUNCTION PROFILE: Jun-13-2022 17:36:58.257 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       24          74   Mutex.Acquire
       24          54   Mutex.Release
       22          35   MutexGuard.Release
       22          35   MutexGuard.ctor
       22          32   MutexGuard.dtor
       17         300   Memory.Free
       14          46   BuddyHeap.Free
       14          26   Q2Way.Enq
       14          21   BuddyHeap.BlockToSize
       11           4   C++.delete
        9          15   Dynamic.operator delete
        8         111   Registry.Erase
        8          16   StatisticsRegistry.UnbindStat
        8          13   Statistic.dtor
        5          17   Gate.Notify
        5           8   Counter.dtor
        5           7   SysThread.Interrupt
        5           6   Thread.Interrupt
        4           8   Log.Find
        4           6   LogGroupRegistry.FindGroup
        4           5   LogGroup.FindLog
        4           4   LogBuffer.First
        3           7   SysHeap.Free
        3           5   HighWatermark.dtor
        3           5   SysHeap.BlockToSize
        3           4   Permanent.operator delete
        2          48   Log.Format
        2          23   Thread.LogContextSwitch
        2          10   LogBuffer.Push
        2           6   Log.Submit
        2           5   ThreadRegistry.GetState
        2           4   Log.Create
        2           4   Log.Find(log)
        2           4   MutexRegistry.Abandon
        2           3   Debug.SwFlagOn
        2           3   LeakyBucketCounter.dtor
        2           3   LogBuffer.InsertionPoint
        2           3   Thread.Suspend
        2           2   BuddyHeap.SetPermissions
        2           2   LogBuffer.SetNext
        2           2   LogBufferRegistry.Active
        2           2   Memory.Copy
        2           2   SysThread.Suspend
        2           2   Thread.Schedule
        2           0   Gate.WaitFor
        1        2232   Thread.ExitBlockingOperation
        1         844   Thread.ExtendTime
        1         591   ThreadStats.dtor
        1         208   Exception.dtor
        1          46   LeakyBucketCounter.HasReachedLimit
        1           9   Thread.TrapHandler
        1           5   Q2Way.Exq
        1           4   Thread.LogTrap
        1           4   Thread.Purge
        1           3   Daemon.Find
        1           3   Daemon.ThreadDeleted
        1           3   Singletons.UnbindInstance
        1           3   Thread.Exit
        1           3   Thread.dtor
        1           2   Accumulator.dtor
        1           2   Exception.ctor
        1           2   RecoveryThread.Destroy
        1           2   RecoveryThread.dtor
        1           2   Singleton.Destroy
        1           2   SysThread.Delete
        1           2   SysThread.dtor
        1           2   Thread.EnterBlockingOperation
        1           2   Thread.ExitSwLog
        1           2   Thread.Ready
        1           2   Thread.ReleaseResources
        1           2   Thread.Start
        1           2   Thread.Start(initializing)
        1           2   ThreadPriv.dtor
        1           2   ThreadRegistry.Destroying
        1           2   ThreadRegistry.Exiting
        1           1   NodeBase.EnterThread
        1           1   Q1Way.Init
        1           1   RecoveryThread.Enter
        1           1   SignalException.dtor
        1           1   SysThread.Delay
        1           1   SysThread.Start
        1           1   Thread.InitialTime
        1           1   Thread.LogSignal
        1           1   Thread.Pause
        1           1   Thread.Resume
        1           1   Thread.SetSignal
        1           1   Thread.WaitUntilConstructed
        1           1   ThreadAdmin.WarpFactor
        1           0   SignalException.ctor
        1           0   SysThread.Wait
        1           0   Thread.RegisterForSignals

Total functions: 91
