FUNCTION PROFILE: Jun-13-2022 17:37:12.833 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       24         106   Mutex.Acquire
       24          41   Mutex.Release
       21          50   MutexGuard.ctor
       21          34   MutexGuard.Release
       21          32   MutexGuard.dtor
       17          39   Memory.Free
       14         546   BuddyHeap.BlockToSize
       14          49   BuddyHeap.Free
       14          29   Q2Way.Enq
       12           8   C++.delete
        9          19   Dynamic.operator delete
        8         161   Registry.Erase
        8          17   StatisticsRegistry.UnbindStat
        8          16   Statistic.dtor
        6          20   Gate.Notify
        6          10   Thread.Interrupt
        6           8   SysThread.Interrupt
        5          16   Counter.dtor
        4           9   Log.Find
        4           7   LogGroupRegistry.FindGroup
        4           4   LogGroup.FindLog
        4           3   LogBuffer.First
        3          22   Gate.WaitFor
        3          10   SysThread.Suspend
        3           7   HighWatermark.dtor
        3           6   SysHeap.BlockToSize
        3           5   SysHeap.Free
        3           3   Permanent.operator delete
        2         178   Log.Format
        2          20   Thread.LogContextSwitch
        2          11   Thread.Resume
        2           8   Log.Submit
        2           6   LogBuffer.Push
        2           4   Debug.SwLog
        2           4   RecoveryThread.Enter
        2           3   Log.Create
        2           3   Log.Find(log)
        2           3   LogBuffer.InsertionPoint
        2           3   Thread.InitialTime
        2           3   Thread.Pause
        2           3   Thread.Ready
        2           3   Thread.Schedule
        2           3   Thread.Suspend
        2           3   ThreadAdmin.WarpFactor
        2           2   LeakyBucketCounter.dtor
        2           2   LogBuffer.SetNext
        2           2   Memory.Copy
        2           2   SysThread.Wait
        2           1   LogBufferRegistry.Active
        1         932   ThreadStats.dtor
        1         134   SysThread.Delay
        1           8   NodeBase.EnterThread
        1           4   Daemon.Find
        1           4   Daemon.ThreadDeleted
        1           4   Q2Way.Exq
        1           3   MutexRegistry.Abandon
        1           3   RecoveryThread.AcquireMutex
        1           3   Thread.Exit
        1           3   Thread.ExitBlockingOperation
        1           3   Thread.Purge
        1           3   Thread.ReleaseResources
        1           3   ThreadRegistry.Exiting
        1           2   Accumulator.dtor
        1           2   Q1Way.Init
        1           2   RecoveryThread.dtor
        1           2   Singleton.Destroy
        1           2   Singletons.UnbindInstance
        1           2   SysThread.Delete
        1           2   Thread.Start
        1           2   Thread.WaitUntilConstructed
        1           2   ThreadPriv.dtor
        1           2   ThreadRegistry.Destroying
        1           1   Debug.SwFlagOn
        1           1   RecoveryThread.Destroy
        1           1   SysThread.Start
        1           1   SysThread.dtor
        1           1   Thread.EnterBlockingOperation
        1           1   Thread.EnterSwLog
        1           1   Thread.ExitSwLog
        1           1   Thread.LogSignal
        1           1   Thread.RegisterForSignals
        1           1   Thread.dtor
        1           1   ThreadRegistry.GetState
        1           0   Thread.Start(initializing)

Total functions: 84
