FUNCTION PROFILE: Jun-13-2022 17:37:14.911 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        9          14   Mutex.Acquire
        9          11   Mutex.Release
        7          20   Gate.Notify
        7          11   SysThread.Interrupt
        7          11   Thread.Interrupt
        6          13   Log.Find
        6          11   LogGroupRegistry.FindGroup
        6           8   MutexGuard.ctor
        6           7   LogGroup.FindLog
        6           7   MutexGuard.Release
        6           6   LogBuffer.First
        6           6   MutexGuard.dtor
        4           5   Thread.Pause
        3         628   Gate.WaitFor
        3         268   Log.Format
        3          12   SysThread.Suspend
        3          10   LogBuffer.Push
        3           9   Log.Submit
        3           5   Log.Find(log)
        3           5   LogBuffer.InsertionPoint
        3           4   Log.Create
        3           3   LogBuffer.SetNext
        3           3   LogBufferRegistry.Active
        3           3   Memory.Copy
        3           3   Thread.ExitSwLog
        3           2   Debug.SwFlagOn
        2          26   Thread.LogContextSwitch
        2           6   Thread.ExitBlockingOperation
        2           6   Thread.Resume
        2           4   Debug.SwLog
        2           4   RecoveryThread.Enter
        2           4   SysThread.Wait
        2           4   Thread.EnterBlockingOperation
        2           4   Thread.Ready
        2           4   Thread.Schedule
        2           3   BuddyHeap.SetPermissions
        2           3   Thread.Suspend
        2           2   Thread.InitialTime
        2           2   Thread.SetSignal
        2           2   ThreadAdmin.WarpFactor
        1        1581   Thread.CauseTrap
        1         658   Thread.ExtendTime
        1           8   Thread.TrapHandler
        1           6   LeakyBucketCounter.HasReachedLimit
        1           4   MutexRegistry.Abandon
        1           4   Thread.HandleSignal
        1           4   Thread.Start
        1           2   Exception.ctor
        1           2   Exception.dtor
        1           2   NodeBase.SE_Handler
        1           2   RecoveryThread.AcquireMutex
        1           2   RecoveryThread.Recover
        1           2   RecoveryThread.UseBadPointer
        1           2   Thread.LogTrap
        1           2   ThreadRegistry.GetState
        1           1   SignalException.dtor
        1           1   SysThread.Delay
        1           1   SysThread.Start
        1           1   Thread.EnterSwLog
        1           0   SignalException.ctor

Total functions: 60
