FUNCTION PROFILE: Jun-13-2022 17:37:48.120 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       28         385   Mutex.Acquire
       28         220   Mutex.Release
       26         196   MutexGuard.ctor
       26         169   MutexGuard.Release
       26         167   MutexGuard.dtor
       17         128   Memory.Free
       14         133   Q2Way.Enq
       14         127   BuddyHeap.Free
       14         123   BuddyHeap.BlockToSize
       11           8   C++.delete
        9          64   Dynamic.operator delete
        8         841   StatisticsRegistry.UnbindStat
        8         534   Registry.Erase
        8          68   Statistic.dtor
        7          47   Thread.ExitSwLog
        6          80   Gate.Notify
        6          54   BuddyHeap.SetPermissions
        6          51   LogGroupRegistry.FindGroup
        6          43   Log.Find
        6          37   Thread.Interrupt
        6          36   LogGroup.FindLog
        6          35   SysThread.Interrupt
        6          27   LogBuffer.First
        5          50   ThreadRegistry.GetState
        5          42   Counter.dtor
        4       11117   Thread.ExtendTime
        4        8080   Thread.TrapHandler
        4        5984   Exception.dtor
        4          62   Q2Way.Exq
        4          30   MutexRegistry.Abandon
        4          25   Exception.ctor
        4          20   SignalException.dtor
        4           0   SignalException.ctor
        3       36703   Thread.CauseTrap
        3       16347   Gate.WaitFor
        3         260   Log.Format
        3          43   Thread.HandleSignal
        3          25   HighWatermark.dtor
        3          25   Log.Submit
        3          23   NodeBase.SE_Handler
        3          23   SysHeap.BlockToSize
        3          22   Log.Find(log)
        3          21   LogBuffer.Push
        3          19   LogBuffer.InsertionPoint
        3          19   Memory.Copy
        3          18   Debug.SwFlagOn
        3          18   Log.Create
        3          18   LogBuffer.SetNext
        3          18   SysThread.Suspend
        3          16   LogBufferRegistry.Active
        3          15   SysHeap.Free
        3          14   Permanent.operator delete
        2          95   Thread.LogContextSwitch
        2          30   LeakyBucketCounter.HasReachedLimit
        2          27   Thread.Resume
        2          18   Thread.LogTrap
        2          15   RecoveryThread.Enter
        2          15   Thread.InitialTime
        2          13   LeakyBucketCounter.dtor
        2          13   Thread.Suspend
        2          12   Thread.Ready
        2          12   ThreadAdmin.WarpFactor
        2          11   SysThread.Wait
        2          11   Thread.Pause
        2          11   Thread.Schedule
        1        2251   ThreadStats.dtor
        1          14   Daemon.Find
        1          14   SysThread.Pause
        1          12   SysThread.Delete
        1          12   Thread.ExitBlockingOperation
        1          10   Thread.Purge
        1           9   Accumulator.dtor
        1           9   Daemon.ThreadDeleted
        1           9   SysThread.Start
        1           8   Q1Way.Init
        1           8   ThreadRegistry.Exiting
        1           7   Singletons.UnbindInstance
        1           7   Thread.RegisterForSignals
        1           7   Thread.ReleaseResources
        1           6   RecoveryThread.UseBadPointer
        1           6   SysThread.Delay
        1           6   Thread.EnterBlockingOperation
        1           6   ThreadPriv.dtor
        1           5   SysThread.dtor
        1           5   Thread.Exit
        1           5   Thread.SetSignal
        1           5   Thread.Start(initializing)
        1           5   Thread.WaitUntilConstructed
        1           5   Thread.dtor
        1           4   NodeBase.EnterThread
        1           4   RecoveryThread.Destroy
        1           4   RecoveryThread.dtor
        1           4   Singleton.Destroy
        1           4   Thread.Start
        1           4   ThreadRegistry.Destroying

Total functions: 95
