FUNCTION PROFILE: Jun-13-2022 17:36:29.476 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       21         431   Mutex.Acquire
       21          28   Mutex.Release
       19          32   MutexGuard.Release
       19          28   MutexGuard.dtor
       19          24   MutexGuard.ctor
       17          28   Memory.Free
       14         393   Q2Way.Enq
       14          37   BuddyHeap.Free
       14          17   BuddyHeap.BlockToSize
       12           6   C++.delete
        9          13   Dynamic.operator delete
        8          94   Registry.Erase
        8          14   StatisticsRegistry.UnbindStat
        8          10   Statistic.dtor
        5           8   Counter.dtor
        3         618   SysHeap.BlockToSize
        3          26   Gate.WaitFor
        3          10   Gate.Notify
        3           5   HighWatermark.dtor
        3           5   Thread.Interrupt
        3           4   Permanent.operator delete
        3           4   SysThread.Interrupt
        3           4   SysThread.Suspend
        3           3   SysHeap.Free
        2          23   Thread.LogContextSwitch
        2           5   Thread.Resume
        2           3   RecoveryThread.Enter
        2           3   Thread.Ready
        2           2   LeakyBucketCounter.dtor
        2           2   SysThread.Wait
        2           2   Thread.InitialTime
        2           2   Thread.Pause
        2           2   Thread.Schedule
        2           2   Thread.Suspend
        2           2   ThreadAdmin.WarpFactor
        1         647   ThreadStats.dtor
        1           4   RecoveryThread.Destroy
        1           3   Daemon.Find
        1           3   Q2Way.Exq
        1           3   Singletons.UnbindInstance
        1           3   Thread.Exit
        1           3   Thread.ExitBlockingOperation
        1           3   Thread.Purge
        1           3   Thread.Start(initializing)
        1           2   Daemon.ThreadDeleted
        1           2   MutexRegistry.Abandon
        1           2   RecoveryThread.dtor
        1           2   Singleton.Destroy
        1           2   SysThread.Delete
        1           2   Thread.EnterBlockingOperation
        1           2   Thread.ReleaseResources
        1           2   Thread.Start
        1           2   Thread.dtor
        1           2   ThreadPriv.dtor
        1           2   ThreadRegistry.Destroying
        1           2   ThreadRegistry.Exiting
        1           2   ThreadRegistry.GetState
        1           1   Accumulator.dtor
        1           1   Debug.SwFlagOn
        1           1   NodeBase.EnterThread
        1           1   Q1Way.Init
        1           1   SysThread.Delay
        1           1   SysThread.Start
        1           1   SysThread.dtor
        1           1   Thread.LogSignal
        1           1   Thread.RegisterForSignals
        1           1   Thread.WaitUntilConstructed

Total functions: 67
