FUNCTION PROFILE: Jun-13-2022 17:36:41.815 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        6          10   Mutex.Acquire
        6           6   Mutex.Release
        5          11   Gate.Notify
        5           8   Thread.Interrupt
        5           6   SysThread.Interrupt
        4           7   Thread.Pause
        4           5   MutexGuard.dtor
        4           4   MutexGuard.Release
        4           4   MutexGuard.ctor
        3         598   Gate.WaitFor
        3           3   SysThread.Suspend
        3           2   Debug.SwFlagOn
        2          20   Thread.LogContextSwitch
        2           7   Thread.ExitBlockingOperation
        2           5   Log.Find
        2           4   LogGroupRegistry.FindGroup
        2           4   Thread.Suspend
        2           3   LogGroup.FindLog
        2           3   Thread.Ready
        2           3   Thread.Resume
        2           3   Thread.Schedule
        2           2   BuddyHeap.SetPermissions
        2           2   LogBuffer.First
        2           2   RecoveryThread.Enter
        2           2   SysThread.Wait
        2           2   Thread.EnterBlockingOperation
        2           2   Thread.ExitSwLog
        2           2   Thread.InitialTime
        2           2   Thread.SetSignal
        2           2   ThreadAdmin.WarpFactor
        1        1060   RecoveryThread.DoRaise
        1         935   Thread.ExtendTime
        1          27   Log.Format
        1           7   Thread.TrapHandler
        1           5   LeakyBucketCounter.HasReachedLimit
        1           4   Log.Submit
        1           4   LogBuffer.Push
        1           4   Thread.HandleSignal
        1           4   Thread.Start
        1           3   LogBuffer.InsertionPoint
        1           3   MutexRegistry.Abandon
        1           2   Exception.dtor
        1           2   Log.Create
        1           2   Log.Find(log)
        1           2   RecoveryThread.Recover
        1           2   Thread.LogTrap
        1           2   Thread.RegisterForSignals
        1           2   Thread.SignalHandler
        1           2   ThreadRegistry.GetState
        1           1   Exception.ctor
        1           1   LogBuffer.SetNext
        1           1   LogBufferRegistry.Active
        1           1   Memory.Copy
        1           1   SignalException.dtor
        1           1   SysThread.Delay
        1           1   SysThread.Start
        1           0   SignalException.ctor

Total functions: 57
