FUNCTION PROFILE: 3-Mar-2022 11:47:25.599 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       25         914   SysHeap.BlockToSize
       25         103   SysHeap.Free
       25          78   Memory.Free
       13          58   SysMutex.Acquire
       13          24   SysMutex.Release
       11          20   MutexGuard.ctor
       11          19   MutexGuard.dtor
       11          14   MutexGuard.Release
       11           1   C++.delete
        9          23   Dynamic.operator delete
        8         199   Registry.Erase
        8          26   StatisticsRegistry.UnbindStat
        8          23   Statistic.dtor
        6          27   SysThread.Resume
        6          16   Thread.Interrupt
        6          15   SysThread.Interrupt
        5          12   Counter.dtor
        5          10   ThreadRegistry.GetState
        4          17   LogGroupRegistry.FindGroup
        4          10   Log.Find
        4           8   LogGroup.FindLog
        4           5   LogBuffer.First
        3         681   SysThread.Suspend
        3          12   HighWatermark.dtor
        3           7   Permanent.operator delete
        2         150   Log.Format
        2         128   SysTime.ctor(now)
        2          29   Thread.LogContextSwitch
        2           9   Thread.RegisterForSignals
        2           9   Log.Submit
        2           7   RecoveryThread.Enter
        2           7   Log.Find(log)
        2           6   SysThread.DeleteSentry
        2           6   Thread.Resume
        2           6   Thread.Schedule
        2           5   ThreadAdmin.WarpFactor
        2           5   SysThread.Wait
        2           4   Debug.SwFlagOn
        2           4   LeakyBucketCounter.dtor
        2           4   Thread.Pause
        2           4   MutexRegistry.Abandon
        2           4   Thread.Ready
        2           4   Thread.InitialTime
        2           3   Thread.ExitSwLog
        2           3   Heap.SetPermissions
        2           2   Thread.Suspend
        2           2   LogBufferRegistry.Active
        2           2   Memory.Copy
        2           2   LogBuffer.InsertionPoint
        2           2   LogBuffer.SetNext
        2           2   LogBuffer.Push
        2           2   Log.Create
        1        1675   RecoveryThread.DoRaise
        1        1650   SysThreadStack.Display
        1         793   Exception.dtor
        1         396   ThreadStats.dtor
        1           9   Daemon.Find
        1           9   LeakyBucketCounter.HasReachedLimit
        1           6   Thread.TrapHandler
        1           6   SysThread.Delay
        1           4   Thread.HandleSignal
        1           4   Accumulator.dtor
        1           4   SignalException.dtor
        1           4   Thread.ExitBlockingOperation
        1           3   Thread.ExtendTime
        1           3   Singletons.UnbindInstance
        1           3   Thread.EnterThread
        1           3   Thread.SignalHandler
        1           3   Thread.SetSignal
        1           2   Thread.ReleaseResources
        1           2   Daemon.ThreadDeleted
        1           2   Q1Way.Init
        1           2   SysThread.dtor
        1           2   Thread.Start(initializing)
        1           2   Thread.LogTrap
        1           2   SysThread.Start
        1           2   ThreadRegistry.Exiting
        1           2   SysThread.Delete
        1           2   Thread.Purge
        1           2   ThreadPriv.dtor
        1           1   Thread.EnterBlockingOperation
        1           1   RecoveryThread.Destroy
        1           1   Exception.ctor
        1           1   Thread.Exit
        1           1   Thread.Start
        1           1   Thread.dtor
        1           1   Singleton.Destroy
        1           1   ThreadRegistry.Destroying
        1           1   RecoveryThread.dtor
        1           0   SignalException.ctor

Total functions: 90
