FUNCTION PROFILE: May-25-2022 17:36:07.679 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      657        9999   RecoveryThread.RecurseForever
        6          21   SysMutex.Acquire
        6           8   SysMutex.Release
        4          33   Gate.Notify
        4           8   SysThread.Interrupt
        4           8   Thread.Interrupt
        4           7   Thread.Pause
        4           6   MutexGuard.dtor
        4           5   MutexGuard.Release
        4           5   MutexGuard.ctor
        3        2717   Gate.WaitFor
        3          12   SysThread.Suspend
        3           2   Debug.SwFlagOn
        2          39   Thread.LogContextSwitch
        2          15   Thread.ExitBlockingOperation
        2          10   Thread.Ready
        2          10   Thread.Resume
        2           9   SysThread.Wait
        2           4   Log.Find
        2           4   LogGroupRegistry.FindGroup
        2           4   Thread.Schedule
        2           4   Thread.Suspend
        2           3   Thread.EnterBlockingOperation
        2           3   Thread.InitialTime
        2           3   ThreadAdmin.WarpFactor
        2           2   Heap.SetPermissions
        2           2   LogBuffer.First
        2           2   LogGroup.FindLog
        2           2   RecoveryThread.Enter
        2           2   Thread.SetSignal
        1        1256   Thread.ExtendTime
        1          28   Log.Format
        1          28   SysThread.Start
        1          21   Thread.ExitSwLog
        1          20   Exception.ctor
        1           7   Thread.TrapHandler
        1           4   LeakyBucketCounter.HasReachedLimit
        1           4   LogBuffer.Push
        1           4   Thread.LogTrap
        1           3   Log.Submit
        1           3   MutexRegistry.Abandon
        1           3   Thread.Start
        1           2   Exception.dtor
        1           2   Log.Create
        1           2   Log.Find(log)
        1           2   LogBuffer.InsertionPoint
        1           2   RecoveryThread.Recover
        1           2   SignalException.dtor
        1           2   SysThread.Delay
        1           2   ThreadRegistry.GetState
        1           1   LogBuffer.SetNext
        1           1   LogBufferRegistry.Active
        1           1   Memory.Copy
        1           0   SignalException.ctor

Total functions: 54
