FUNCTION PROFILE: 20-Dec-2020 10:57:56.693 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        6         100   SysMutex.Acquire
        6          72   SysMutex.Release
        4          58   SysThread.Resume
        4          46   Thread.Pause
        4          34   Thread.Interrupt
        4          32   MutexGuard.dtor
        4          29   SysThread.Interrupt
        4          23   MutexGuard.ctor
        4          22   MutexGuard.Release
        3        6553   SysThread.Suspend
        3          53   Debug.SwFlagOn
        3          22   Log.Find
        2         177   Thread.LogContextSwitch
        2          36   Thread.ExitBlockingOperation
        2          29   LogGroupRegistry.FindGroup
        2          23   Thread.Ready
        2          23   Thread.Schedule
        2          22   SysThread.Wait
        2          22   Thread.Resume
        2          21   LogGroup.FindLog
        2          18   Thread.SetSignal
        2          18   ThreadAdmin.WarpFactor
        2          17   Thread.EnterBlockingOperation
        2          17   Thread.InitialTime
        2          14   Thread.Suspend
        2          12   RecoveryThread.Enter
        2          12   Heap.SetPermissions
        2           5   LogBuffer.First
        1       56752   SysThreadStack.Display
        1         195   Log.Format
        1         128   SysTime.ctor(now)
        1          25   Thread.TrapHandler
        1          21   RecoveryThread.DoSwErr
        1          19   Thread.ExtendTime
        1          17   Debug.SwErr
        1          17   LeakyBucketCounter.HasReachedLimit
        1          13   SysThread.Delay
        1          12   Log.Submit
        1          11   LogBuffer.Push
        1           8   Thread.LogTrap
        1           8   Exception.ctor
        1           8   Exception.dtor
        1           8   MutexRegistry.Abandon
        1           7   SoftwareException.dtor
        1           6   LogBuffer.SetNext
        1           6   SysThread.Start
        1           6   Thread.Start
        1           5   Thread.ExitSwLog
        1           5   ThreadRegistry.GetState
        1           5   LogBufferRegistry.Active
        1           5   RecoveryThread.Recover
        1           4   Memory.Copy
        1           4   Log.Create
        1           2   LogBuffer.InsertionPoint
        1           0   SoftwareException.ctor(string)

Total functions: 55
