FUNCTION PROFILE: 27-Oct-2019 16:33:25.349 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       19        5142   Thread.RunningThread
       16         177   Thread.UpdateMutex
       16         138   Thread.UpdateMutexCount
        9          96   Log.Find
        8        2946   SysThread.Interrupt
        8         104   SysMutex.Release
        8         101   Thread.Interrupt
        8          81   SysMutex.Acquire
        7         200   SysThread.Resume
        6         105   LogGroupRegistry.FindGroup
        6          58   LogGroup.FindLog
        6          52   MutexGuard.ctor
        6          46   MutexGuard.dtor
        6          39   LogBuffer.First
        4         682   Thread.SetSignal
        4          64   Orphans.ExitNow
        3         803   Log.Format
        3         689   Base.ctor
        3         625   Thread.Ready
        3          77   Log.Submit
        3          46   Thread.Pause
        3          43   LogBuffer.Push
        3          40   LogBuffer.SetNext
        3          40   SysThread.Start
        3          32   Thread.ExitSwLog
        3          27   MutexRegistry.Release
        3          27   Thread.Start
        3          25   Memory.Copy
        3          21   LogBuffer.InsertionPoint
        3          19   Log.Create
        3          18   LogBufferRegistry.Active
        3           0   Object.ctor
        3           0   SysTime.ctor(now)
        2       13720   SysThread.Suspend
        2        4688   Thread.RegisterForSignals
        2         210   Thread.LogContextSwitch
        2          43   Thread.Schedule
        2          36   Thread.EnterThread
        2          35   SysThread.DeleteSentry
        2          28   Thread.TrapHandler
        2          21   Thread.Suspend
        2          20   Debug.SwFlagOn
        2          20   Exception.dtor
        2          20   Thread.EnterBlockingOperation
        1        5587   RecoveryTestThread.UseBadPointer
        1        2728   SoftwareException.ctor(string)
        1          33   LeakyBucketCounter.HasReachedLimit
        1          20   RecoveryTestThread.Enter
        1          18   ThreadRegistry.FindThread
        1          16   SysThread.Delete
        1          16   Thread.ExitBlockingOperation
        1          15   Thread.Resume
        1          15   ThreadAdmin.WarpFactor
        1          14   SysThread.dtor
        1          13   Memory.Free
        1          13   SysHeap.Free
        1          12   RecoveryTestThread.Recover
        1          11   Object.operator delete
        1          11   SysThread.Delay
        1          10   SoftwareException.dtor
        1          10   SysThread.Wait
        1           9   Thread.Exit
        1           9   Thread.InitialMsecs
        1           7   Exception.ctor
        1           6   SignalException.dtor
        1           6   Thread.ExtendTime
        1           5   RecoveryTestThread.IsCritical
        1           5   Thread.LogSignal
        1           1   C++.delete
        1           0   SignalException.ctor

Total functions: 70
