FUNCTION PROFILE: Jun-13-2022 17:36:52.111 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        8          20   Mutex.Acquire
        8           8   Mutex.Release
        7          26   Gate.Notify
        7          15   Thread.Interrupt
        7          14   SysThread.Interrupt
        6           9   Thread.Pause
        5      132680   Gate.WaitFor
        5          17   SysThread.Suspend
        5          11   MutexGuard.ctor
        5           6   MutexGuard.Release
        5           6   MutexGuard.dtor
        3          40   Thread.LogContextSwitch
        3          25   Thread.Resume
        3          22   Thread.ExitBlockingOperation
        3          20   RecoveryThread.Enter
        3          18   Thread.Ready
        3           7   SysThread.Wait
        3           7   Thread.InitialTime
        3           4   Thread.EnterBlockingOperation
        3           4   Thread.Suspend
        3           3   Thread.Schedule
        3           3   ThreadAdmin.WarpFactor
        3           1   Debug.SwFlagOn
        2           5   Log.Find
        2           4   LogGroupRegistry.FindGroup
        2           2   BuddyHeap.SetPermissions
        2           2   LogBuffer.First
        2           2   LogGroup.FindLog
        2           2   SysThread.Delay
        2           2   Thread.ExitSwLog
        2           2   Thread.SetSignal
        1        1571   RecoveryThread.DoAbort
        1        1427   Thread.ExtendTime
        1          45   Log.Format
        1           9   Thread.TrapHandler
        1           4   LeakyBucketCounter.HasReachedLimit
        1           3   Log.Submit
        1           3   LogBuffer.Push
        1           3   MutexRegistry.Abandon
        1           3   Thread.HandleSignal
        1           3   Thread.RegisterForSignals
        1           3   Thread.Start
        1           3   ThreadRegistry.GetState
        1           2   Log.Create
        1           2   Log.Find(log)
        1           2   LogBuffer.InsertionPoint
        1           2   RecoveryThread.Recover
        1           2   Thread.LogTrap
        1           2   Thread.SignalHandler
        1           1   Exception.ctor
        1           1   Exception.dtor
        1           1   LogBuffer.SetNext
        1           1   LogBufferRegistry.Active
        1           1   Memory.Copy
        1           1   SignalException.dtor
        1           1   SysThread.Start
        1           0   SignalException.ctor

Total functions: 57
