SCHEDULER REPORT: 19-Sep-2017 12:20:26.845 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              16510 88.6  85.0
 1    root 4f08 w S   0    540    0    0   300  255048    352  1.9   0.4
 2    init 1a14 s S   0    541    0    0  1352  647674    725  3.9   0.4
 3    file 0ad0 B     0    378    0   57   392     163    302  1.6   3.9
 4    cout 1c78 B     0    328    0   50   340     152    329  1.8   4.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    112    0    0   760    5477     69  0.4   0.5
 7   stats 0b78 B S   0      4    0    0   316     244      0  0.0   0.0
 8     log 33d0 B S   0      4    0    1   364     156      0  0.0   0.0
 9     cli 4e14 O     0    154    1    0  1344   51381    258  1.4   4.1
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     18    0    0   252     204      1  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 2470 P S   2     10    0    0  4188   46861     86  0.5   1.7
------------------------------------------------------------------------

Context switches: 369
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
20:23.792   4  1c78-         615291083319         615291084093        305  
20:23.792   3  0ad0-         615291083375         615291085769^       945  
20:23.792   9  4e14          615291083770         615291084226^       180  
20:23.792   4  1c78          615291084274         615291084325^        20  
20:23.792   9  4e14          615291084372         615291084684^       123  
20:23.792   4  1c78-         615291084381         615291086539^       852  
20:23.792   9  4e14          615291084766         615291085746^       387  
20:23.793   9  4e14          615291085781         615291086082^       118  
20:23.793   3  0ad0          615291086126         615291086184^        22  
20:23.793   9  4e14          615291086246         615291087529^       506  
20:23.793   3  0ad0-         615291086254         615291088371^       836  
20:23.793   4  1c78          615291087568         615291087634^        26  
20:23.794   9  4e14          615291087667         615291088068^       158  
20:23.794   4  1c78-         615291087710         615291095788^      3191  
20:23.794   9  4e14          615291088132         615291088331^        78  
20:23.794   9  4e14          615291088353         615291088873^       205  
20:23.794   3  0ad0          615291088903         615291088948^        17  
20:23.794  15  2470          615291088981         615291207598^     46861  
20:23.794   3  0ad0-         615291089023         615291096595^      2991  
20:23.816   2  1a14-         615291143926         615291144082^        61  
20:23.816   1  4f08-         615291144047         615291144181^        52  
20:23.841   9  4e14          615291207660         615291208020        142  
20:23.841   4  1c78          615291208096         615291208173         30  
20:23.841   3  0ad0          615291208239         615291208318         31  
20:23.841   4  1c78-         615291208248         615291211649^      1343  
20:23.841  15  2470          615291208356         615291209745^       548  
20:23.841   3  0ad0-         615291208371         615291210272^       751  
20:23.842   9  4e14          615291209852         615291209955^        40  
