START OF TRACE: 19-Sep-2017 12:22:10.994 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
---------  ---  -----  ---------   -------  --------
22:13.038   15                 8         8    SysMutex.Acquire
22:13.038   15                67         8    Orphans.ExitNow
22:13.038   15                24         9    : MutexGuard.ctor
22:13.038   15                15        15    :   SysMutex.Acquire
22:13.038   15                24        11    : MutexGuard.dtor
22:13.038   15                13        13    :   SysMutex.Release
22:13.038   15                11        11    : Thread.InitialMsecs
22:13.038   15                 0         0    : ThreadAdmin.WarpFactor
22:13.038   15  +lock   23837917        11  Thread.EnterThread
22:13.038   15                 7         7    Thread.ResumeLocked
22:13.038   15                13        13    Thread.RegisterForSignals
22:13.038   15          23837886         7    Thread.Start
22:13.038   15                10        10    : SysThread.Start
22:13.038   15          23837869       427    : RecoveryTestThread.Enter
22:13.038   15             38712     38712    :   RecoveryTestThread.LoopForever
22:13.077   15             27219     27219    :   RecoveryTestThread.LoopForever
22:13.104   15             28729     28729    :   RecoveryTestThread.LoopForever
22:13.133   15             28714     28714    :   RecoveryTestThread.LoopForever
22:13.161   15             26889     26889    :   RecoveryTestThread.LoopForever
22:13.188   15             28504     28504    :   RecoveryTestThread.LoopForever
22:13.217   15             31113     31113    :   RecoveryTestThread.LoopForever
22:13.248   15             28023     28023    :   RecoveryTestThread.LoopForever
22:13.276   15             26801     26801    :   RecoveryTestThread.LoopForever
22:13.303   15             26939     26939    :   RecoveryTestThread.LoopForever
22:13.330   15             26927     26927    :   RecoveryTestThread.LoopForever
22:13.357   15             26821     26821    :   RecoveryTestThread.LoopForever
22:13.383   15             26823     26823    :   RecoveryTestThread.LoopForever
22:13.410   15             28459     28459    :   RecoveryTestThread.LoopForever
22:13.439   15             30016     30016    :   RecoveryTestThread.LoopForever
22:13.469   15             35191     35191    :   RecoveryTestThread.LoopForever
22:13.504   15             34744     34744    :   RecoveryTestThread.LoopForever
22:13.539   15             28209     28209    :   RecoveryTestThread.LoopForever
22:13.567   15             27010     27010    :   RecoveryTestThread.LoopForever
22:13.594   15             26957     26957    :   RecoveryTestThread.LoopForever
22:13.621   15             26711     26711    :   RecoveryTestThread.LoopForever
22:13.648   15             31245     31245    :   RecoveryTestThread.LoopForever
22:13.679   15             27171     27171    :   RecoveryTestThread.LoopForever
22:13.706   15             27292     27292    :   RecoveryTestThread.LoopForever
22:13.733   15             27350     27350    :   RecoveryTestThread.LoopForever
22:13.761   15             26663     26663    :   RecoveryTestThread.LoopForever
22:13.787   15             26799     26799    :   RecoveryTestThread.LoopForever
22:13.814   15             27026     27026    :   RecoveryTestThread.LoopForever
22:13.841   15             30265     30265    :   RecoveryTestThread.LoopForever
22:13.871   15             29118     29118    :   RecoveryTestThread.LoopForever
22:13.900   15             27274     27274    :   RecoveryTestThread.LoopForever
22:13.928   15             26907     26907    :   RecoveryTestThread.LoopForever
22:13.955   15             27028     27028    :   RecoveryTestThread.LoopForever
22:13.982   15             26642     26642    :   RecoveryTestThread.LoopForever
22:14.008   15             27158     27158    :   RecoveryTestThread.LoopForever
22:14.035   15             27537     27537    :   RecoveryTestThread.LoopForever
22:14.063   15             30912     30912    :   RecoveryTestThread.LoopForever
22:14.094   15             28030     28030    :   RecoveryTestThread.LoopForever
22:14.122   15             27274     27274    :   RecoveryTestThread.LoopForever
22:14.149   15             27230     27230    :   RecoveryTestThread.LoopForever
22:14.176   15             26895     26895    :   RecoveryTestThread.LoopForever
22:14.203   15             26976     26976    :   RecoveryTestThread.LoopForever
22:14.230   15             26740     26740    :   RecoveryTestThread.LoopForever
22:14.257   15             26952     26952    :   RecoveryTestThread.LoopForever
22:14.284   15             30548     30548    :   RecoveryTestThread.LoopForever
22:14.315   15             27593     27593    :   RecoveryTestThread.LoopForever
22:14.342   15             27496     27496    :   RecoveryTestThread.LoopForever
22:14.370   15             26808     26808    :   RecoveryTestThread.LoopForever
22:14.396   15             27115     27115    :   RecoveryTestThread.LoopForever
22:14.424   15             26942     26942    :   RecoveryTestThread.LoopForever
22:14.451   15             26700     26700    :   RecoveryTestThread.LoopForever
22:14.477   15             27048     27048    :   RecoveryTestThread.LoopForever
22:14.504   15             31024     31024    :   RecoveryTestThread.LoopForever
22:14.535   15             30238     30238    :   RecoveryTestThread.LoopForever
22:14.566   15             29743     29743    :   RecoveryTestThread.LoopForever
22:14.595   15             28463     28463    :   RecoveryTestThread.LoopForever
22:14.624   15             27281     27281    :   RecoveryTestThread.LoopForever
22:14.651   15             26798     26798    :   RecoveryTestThread.LoopForever
22:14.678   15             26851     26851    :   RecoveryTestThread.LoopForever
22:14.705   15             31223     31223    :   RecoveryTestThread.LoopForever
22:14.736   15             28570     28570    :   RecoveryTestThread.LoopForever
22:14.764   15             27849     27849    :   RecoveryTestThread.LoopForever
22:14.792   15             27293     27293    :   RecoveryTestThread.LoopForever
22:14.820   15             27255     27255    :   RecoveryTestThread.LoopForever
22:14.847   15             26962     26962    :   RecoveryTestThread.LoopForever
22:14.874   15             26921     26921    :   RecoveryTestThread.LoopForever
22:14.901   15             26721     26721    :   RecoveryTestThread.LoopForever
22:14.927   15             31446     31446    :   RecoveryTestThread.LoopForever
22:14.959   15             28065     28065    :   RecoveryTestThread.LoopForever
22:14.987   15             27282     27282    :   RecoveryTestThread.LoopForever
22:15.014   15             27153     27153    :   RecoveryTestThread.LoopForever
22:15.041   15             26785     26785    :   RecoveryTestThread.LoopForever
22:15.068   15             27784     27784    :   RecoveryTestThread.LoopForever
22:15.096   15             27068     27068    :   RecoveryTestThread.LoopForever
22:15.123   15             27900     27900    :   RecoveryTestThread.LoopForever
22:15.151   15             31028     31028    :   RecoveryTestThread.LoopForever
22:15.182   15             27726     27726    :   RecoveryTestThread.LoopForever
22:15.210   15             27360     27360    :   RecoveryTestThread.LoopForever
22:15.237   15             26942     26942    :   RecoveryTestThread.LoopForever
22:15.264   15             26963     26963    :   RecoveryTestThread.LoopForever
22:15.291   15             26866     26866    :   RecoveryTestThread.LoopForever
22:15.318   15             26846     26846    :   RecoveryTestThread.LoopForever
22:15.345   15             28871     28871    :   RecoveryTestThread.LoopForever
22:15.374   15             30133     30133    :   RecoveryTestThread.LoopForever
22:15.404   15             27940     27940    :   RecoveryTestThread.LoopForever
22:15.432   15             26800     26800    :   RecoveryTestThread.LoopForever
22:15.458   15             27063     27063    :   RecoveryTestThread.LoopForever
22:15.485   15             27216     27216    :   RecoveryTestThread.LoopForever
22:15.513   15             32018     32018    :   RecoveryTestThread.LoopForever
22:15.545   15             36043     36043    :   RecoveryTestThread.LoopForever
22:15.581   15             31765     31765    :   RecoveryTestThread.LoopForever
22:15.613   15             28545     28545    :   RecoveryTestThread.LoopForever
22:15.641   15             27489     27489    :   RecoveryTestThread.LoopForever
22:15.669   15             27151     27151    :   RecoveryTestThread.LoopForever
22:15.696   15             26857     26857    :   RecoveryTestThread.LoopForever
22:15.723   15             27122     27122    :   RecoveryTestThread.LoopForever
22:15.750   15             27092     27092    :   RecoveryTestThread.LoopForever
22:15.777   15             26712     26712    :   RecoveryTestThread.LoopForever
22:15.804   15             30827     30827    :   RecoveryTestThread.LoopForever
22:15.834   15             28541     28541    :   RecoveryTestThread.LoopForever
22:15.863   15             27078     27078    :   RecoveryTestThread.LoopForever
22:15.890   15             27011     27011    :   RecoveryTestThread.LoopForever
22:15.917   15             26735     26735    :   RecoveryTestThread.LoopForever
22:15.944   15             26955     26955    :   RecoveryTestThread.LoopForever
22:15.971   15             26843     26843    :   RecoveryTestThread.LoopForever
22:15.998   15             26766     26766    :   RecoveryTestThread.LoopForever
22:16.024   15             31937     31937    :   RecoveryTestThread.LoopForever
22:16.056   15             27890     27890    :   RecoveryTestThread.LoopForever
22:16.084   15             27227     27227    :   RecoveryTestThread.LoopForever
22:16.111   15             27387     27387    :   RecoveryTestThread.LoopForever
22:16.139   15             27162     27162    :   RecoveryTestThread.LoopForever
22:16.166   15             26876     26876    :   RecoveryTestThread.LoopForever
22:16.193   15             27245     27245    :   RecoveryTestThread.LoopForever
22:16.220   15             28896     28896    :   RecoveryTestThread.LoopForever
22:16.249   15             28741     28741    :   RecoveryTestThread.LoopForever
22:16.278   15             27539     27539    :   RecoveryTestThread.LoopForever
22:16.305   15             27279     27279    :   RecoveryTestThread.LoopForever
22:16.332   15             27086     27086    :   RecoveryTestThread.LoopForever
22:16.360   15             26996     26996    :   RecoveryTestThread.LoopForever
22:16.387   15             26893     26893    :   RecoveryTestThread.LoopForever
22:16.413   15             26772     26772    :   RecoveryTestThread.LoopForever
