FUNCTION PROFILE: 14-May-2018 16:10:59.576 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      109           0   RecoveryTestThread.LoopForever
       21           0   Thread.RunningThread
        9           0   SysMutex.Release
        6           0   Base.ctor
        6           0   Object.ctor
        6           0   SysMutex.Acquire
        4           0   ThreadRegistry.FindThread
        3           0   FunctionGuard.ctor
        3           0   FunctionGuard.dtor
        3           0   Log.Create
        3           0   Log.Spool
        3           0   LogThread.Spool
        3           0   MsgBuffer.ctor
        3           0   MsgBuffer.operator new
        3           0   ObjectPool.DeqBlock
        3           0   Pooled.ctor
        3           0   Q1Way.Deq
        3           0   Q1Way.Enq
        3           0   Q1Way.Size
        3           0   StreamRequest.ctor
        3           0   SysThread.Interrupt
        3           0   SysTime.ctor(now)
        3           0   Thread.EnqMsg
        3           0   Thread.EnterBlockingOperation
        3           0   Thread.Interrupt
        3           0   Thread.LogContextSwitch
        3           0   Thread.SetSignal
        2           0   Debug.SwFlagOn
        2           0   Thread.ExitSwLog
        2           0   Thread.InitialMsecs
        2           0   Thread.MakePreemptable
        2           0   Thread.MakeUnpreemptable
        2           0   Thread.ResumeLocked
        2           0   ThreadAdmin.WarpFactor
        1           0   Exception.ctor
        1           0   Exception.dtor
        1           0   LeakyBucketCounter.HasReachedLimit
        1           0   MutexGuard.ctor
        1           0   MutexGuard.dtor
        1           0   Orphans.ExitNow
        1           0   RecoveryTestThread.Recover
        1           0   SignalException.ctor
        1           0   SignalException.dtor
        1           0   SysThread.Start
        1           0   SysThreadStack.Display
        1           0   Thread.ExtendTime
        1           0   Thread.HandleSignal
        1           0   Thread.LogSignal
        1           0   Thread.Raise
        1           0   Thread.RegisterForSignals
        1           0   Thread.SetTrap
        1           0   Thread.SignalHandler
        1           0   Thread.Start
        1           0   Thread.TrapHandler

Total functions: 54
