FUNCTION PROFILE: 19-Sep-2017 12:21:47.567 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        9        2533   Thread.RunningThread
        5          83   ThreadRegistry.FindThread
        3          65   Thread.Pause
        2     3000044   SysMutex.Release
        2         153   Base.ctor
        2          22   Thread.ExitSwLog
        2           0   Object.ctor
        1        1523   Exception.ctor
        1        1086   SysThreadStack.Display
        1          86   Debug.SwErr(int)
        1          57   Thread.LogContextSwitch
        1          28   SysThread.dtor
        1          25   RecoveryTestThread.Enter
        1          18   Log.Create
        1          18   SysThread.DeleteSentry
        1          17   SysThread.Delete
        1          16   Q1Way.Deq
        1          16   SysMutex.Acquire
        1          16   Thread.EnterBlockingOperation
        1          15   SysThread.Interrupt
        1          15   Thread.TrapHandler
        1          15   Thread.Unlock
        1          14   LogThread.Spool
        1          13   ObjectPool.DeqBlock
        1          12   Log.Spool
        1          12   Memory.Free
        1          12   MsgBuffer.operator new
        1          12   Thread.Interrupt
        1          11   FunctionGuard.ctor
        1          11   Q1Way.Count
        1          11   SignalException.dtor
        1          11   SysHeap.Free
        1          11   Thread.EnqMsg
        1          10   Debug.GenerateSwLog
        1          10   FunctionGuard.dtor
        1          10   Object.operator delete
        1          10   Thread.EnterSwLog
        1          10   Thread.ExtendTime
        1           9   Q1Way.Enq
        1           7   Thread.ExitBlockingOperation
        1           1   C++.delete
        1           0   Exception.dtor
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   SignalException.ctor
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)

Total functions: 47
