SCHEDULER REPORT: 19-Sep-2017 12:21:55.588 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              79288 73.8  94.5
 1    root 4f08 w S   0   1754    0    0   300  255048    519  0.5   0.4
 2    init 1a14 s S   0   1755    0    0  1352  647674    936  0.9   0.4
 3    file 0ad0 B     0   1998    0   57   392     163  12584 11.7   0.2
 4    cout 1c78 B     0   1612    0   50   432     152  12121 11.3   3.5
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    482    0    0   760    5477    243  0.2   0.4
 7   stats 0b78 B S   0     22    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     25    0    2   364   25603     28  0.0   0.0
 9     cli 4e14 O     0    790    5    0  1344   62544   1655  1.5   0.6
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     69    0    0   252     204      3  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
------------------------------------------------------------------------

Context switches: 695
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:47.563   4  1c78-         615503128978         615503136591       3007  
21:47.565   3  0ad0-         615503134498         615503137148^      1046  
21:47.565   9  4e14          615503134847         615503135367^       205  
21:47.566   9  4e14          615503135471         615503135727^       101  
21:47.566   9  4e14          615503135794         615503137012^       481  
21:47.566   4  1c78          615503137050         615503137106^        22  
21:47.566   9  4e14          615503137141         615503137412^       107  
21:47.566   4  1c78-         615503137151         615503142272^      2023  
21:47.566   3  0ad0          615503137446         615503137475^        11  
21:47.566   9  4e14          615503137514         615503138735^       482  
21:47.566   3  0ad0-         615503137518         615503140114^      1025  
21:47.567   9  4e14          615503138795         615503139166^       146  
21:47.567   9  4e14          615503139236         615503139499^       103  
21:47.567   9  4e14          615503139554         615503139703^        58  
21:47.567   3  0ad0          615503140197         615503140262^        25  
21:47.567   3  0ad0-         615503140332         615503143458^      1234  
21:47.568   4  1c78          615503142363         615503142427^        25  
21:47.568   4  1c78-         615503142506         615503147477^      1963  
21:47.569   3  0ad0          615503143541         615503143594^        20  
21:47.569   3  0ad0-         615503143644         615503146136^       984  
21:47.570   3  0ad0          615503146220         615503146291^        28  
21:47.570   3  0ad0-         615503146343         615503149221^      1136  
21:47.570   4  1c78          615503147551         615503147616^        25  
21:47.570   4  1c78-         615503147681         615503156447^      3463  
21:47.571   3  0ad0          615503149318         615503149400^        32  
21:47.571   3  0ad0-         615503149467         615503152912^      1360  
21:47.572   3  0ad0          615503153000         615503153080^        31  
21:47.573   3  0ad0-         615503153184         615503159589^      2530  
21:47.574   4  1c78          615503156529         615503156596^        26  
21:47.574   4  1c78-         615503156670         615503158733^       815  
21:47.575   4  1c78          615503158791         615503158838^        18  
21:47.575   4  1c78-         615503158883         615503165764^      2718  
21:47.575   3  0ad0          615503159678         615503159731^        20  
21:47.575   3  0ad0-         615503159780         615503167776^      3158  
21:47.578   4  1c78          615503165862         615503165910^        18  
21:47.578   4  1c78-         615503165956         615503168084^       840  
21:47.578   3  0ad0          615503167837         615503167888^        20  
21:47.578   3  0ad0-         615503167938         615503174199^      2473  
21:47.578   4  1c78          615503168169         615503168274^        41  
21:47.579   4  1c78-         615503168343         615503174160^      2298  
21:47.581   4  1c78          615503174229         615503174293         25  
21:47.581   3  0ad0          615503174325         615503174356         12  
21:47.581   4  1c78-         615503174369         615503180449       2401  
21:47.581   3  0ad0-         615503174384         615503181270^      2720  
21:47.582   2  1a14-         615503176580         615503176692^        44  
21:47.582   1  4f08-         615503176660         615503176735^        29  
21:47.583   4  1c78          615503180531         615503180600^        27  
21:47.583   4  1c78-         615503180668         615503185601^      1948  
21:47.584   3  0ad0          615503181332         615503181397^        25  
21:47.584   3  0ad0-         615503181449         615503192908^      4527  
21:47.585   4  1c78          615503185662         615503185715^        20  
21:47.585   4  1c78-         615503185761         615503189893^      1632  
21:47.587   4  1c78          615503189953         615503190005^        20  
21:47.587   4  1c78-         615503190051         615503191108^       417  
21:47.588   4  1c78          615503191186         615503191248^        24  
21:47.588   4  1c78-         615503191319         615503192949^       643  
21:47.588   3  0ad0          615503192947         615503193016^        27  
21:47.588   4  1c78          615503193057         615503193088         12  
21:47.588   3  0ad0-         615503193101         615503200294       2841  
21:47.588   4  1c78-         615503193123         615503194907^       704  
21:47.589   4  1c78          615503194965         615503195010^        17  
21:47.589   4  1c78-         615503195056         615503196575^       600  
21:47.590   4  1c78          615503196685         615503196740^        21  
21:47.590   4  1c78-         615503196793         615503199021^       880  
21:47.591   4  1c78          615503199077         615503199175^        38  
21:47.591   4  1c78-         615503199221         615503200356^       448  
21:47.591   3  0ad0          615503200334         615503200379^        17  
21:47.591   4  1c78          615503200416         615503200446         11  
21:47.591   3  0ad0-         615503200452         615503207401       2745  
21:47.591   4  1c78-         615503200521         615503205613^      2011  
21:47.593   4  1c78          615503205669         615503205714^        17  
21:47.593   4  1c78-         615503205758         615503207122^       538  
21:47.594   4  1c78          615503207218         615503207263^        17  
21:47.594   4  1c78-         615503207294         615503209243^       769  
21:47.594   3  0ad0          615503207499         615503207571^        28  
21:47.594   3  0ad0-         615503207643         615503213885^      2465  
21:47.595   4  1c78          615503209305         615503209358^        20  
21:47.595   4  1c78-         615503209404         615503213191^      1496  
21:47.596   4  1c78          615503213288         615503213467^        70  
21:47.596   4  1c78-         615503213545         615503215616^       818  
21:47.597   3  0ad0          615503213946         615503213996^        19  
21:47.597   3  0ad0-         615503214044         615503220592^      2586  
21:47.597   4  1c78          615503215672         615503215717^        17  
21:47.597   4  1c78-         615503215761         615503220560^      1895  
21:47.599   3  0ad0          615503220619         615503220684         25  
21:47.599   4  1c78          615503220725         615503220741          6  
21:47.599   3  0ad0-         615503220735         615503227784^      2784  
21:47.602   3  0ad0          615503227856         615503227929         28  
21:47.602   3  0ad0-         615503227979         615503230727       1085  
21:47.603   3  0ad0          615503230791         615503230844         20  
21:47.603   3  0ad0-         615503230893         615503233099        871  
21:47.604   3  0ad0          615503233162         615503233213         20  
21:47.604   3  0ad0-         615503233261         615503235486        879  
21:47.605   3  0ad0          615503235547         615503235598         20  
21:47.605   3  0ad0-         615503235678         615503238205        998  
21:47.606   3  0ad0          615503238294         615503238347         20  
21:47.606   3  0ad0-         615503238394         615503241230       1120  
21:47.607   3  0ad0          615503241292         615503241411         47  
21:47.607   3  0ad0-         615503241458         615503244284       1116  
21:47.609   3  0ad0          615503244376         615503244448         28  
21:47.609   3  0ad0-         615503244523         615503247046        996  
21:47.610   3  0ad0          615503247107         615503247158         20  
21:47.610   3  0ad0-         615503247206         615503249969       1091  
21:47.611   3  0ad0          615503250061         615503250166         41  
21:47.611   3  0ad0-         615503250237         615503254056       1508  
21:47.612   3  0ad0          615503254117         615503254167         19  
21:47.612   3  0ad0-         615503254215         615503257084       1133  
21:47.613   2  1a14-         615503255628         615503255721^        36  
21:47.613   1  4f08-         615503255738         615503255875^        54  
21:47.614   3  0ad0          615503257169         615503257253         33  
21:47.614   3  0ad0-         615503257324         615503261307       1573  
21:47.615   3  0ad0          615503261400         615503261480         31  
21:47.615   3  0ad0-         615503261550         615503264240       1062  
21:47.616   3  0ad0          615503264325         615503264356         12  
21:47.644   2  1a14-         615503334817         615503334950         52  
21:47.644   1  4f08-         615503334894         615503335079^        73  
21:47.676   2  1a14-         615503414020         615503414147         50  
21:47.676   1  4f08-         615503414132         615503414245^        44  
21:47.707   2  1a14-         615503493302         615503493670        145  
21:47.707   1  4f08-         615503493602         615503493740^        54  
21:47.738   2  1a14-         615503572777         615503573202        167  
21:47.738   1  4f08-         615503573085         615503573354^       106  
21:47.770   2  1a14-         615503651746         615503652227        190  
21:47.770   1  4f08-         615503652332         615503652832        197  
21:47.801   2  1a14-         615503730395         615503730893        196  
21:47.801   1  4f08-         615503730796         615503731071^       108  
21:47.832   2  1a14-         615503809967         615503810447        189  
21:47.832   1  4f08-         615503810583         615503811011        169  
21:47.863   2  1a14-         615503889003         615503889363        142  
21:47.863   1  4f08-         615503889344         615503889628^       112  
21:47.894   2  1a14-         615503967899         615503968233        131  
21:47.895   1  4f08-         615503968308         615503968721        163  
21:47.926   2  1a14-         615504047370         615504047785        163  
21:47.926   1  4f08-         615504047733         615504047948^        84  
21:47.957   2  1a14-         615504126468         615504126797        129  
21:47.957   1  4f08-         615504126891         615504127312        166  
21:47.988   2  1a14-         615504205572         615504205903        130  
21:47.989   1  4f08-         615504206068         615504206476        161  
21:48.019   2  1a14-         615504284446         615504284735        114  
21:48.020   1  4f08-         615504284860         615504285268        161  
21:48.051   2  1a14-         615504363849         615504364450        237  
21:48.051   1  4f08-         615504364296         615504364713^       164  
21:48.082   2  1a14-         615504442472         615504442619         58  
21:48.082   1  4f08-         615504442664         615504442837         68  
21:48.113   2  1a14-         615504521761         615504521945         72  
21:48.113   1  4f08-         615504522024         615504522202         70  
21:48.145   2  1a14-         615504601228         615504601619        154  
21:48.145   1  4f08-         615504601728         615504602141        163  
21:48.160  11  0efc          615504640696         615504640798         40  
21:48.176   2  1a14-         615504680309         615504680646        133  
21:48.176   1  4f08-         615504680822         615504681229        160  
21:48.207   2  1a14-         615504759438         615504759818        150  
21:48.207   1  4f08-         615504759722         615504760101^       149  
21:48.238   2  1a14-         615504838309         615504838799        193  
21:48.238   1  4f08-         615504838811         615504839087        109  
21:48.270   2  1a14-         615504917624         615504918157        210  
21:48.270   1  4f08-         615504918125         615504918870^       294  
21:48.301   2  1a14-         615504996287         615504996509         87  
21:48.301   1  4f08-         615504996444         615504996592^        58  
21:48.332   2  1a14-         615505075334         615505075462         50  
21:48.332   1  4f08-         615505075434         615505075516^        32  
21:48.363   2  1a14-         615505154791         615505155105        124  
21:48.363   1  4f08-         615505155220         615505155658        173  
21:48.395   2  1a14-         615505233859         615505234248        153  
21:48.395   1  4f08-         615505234409         615505234818        161  
21:48.426   2  1a14-         615505313014         615505313594        229  
21:48.426   1  4f08-         615505313574         615505314022^       176  
21:48.457   2  1a14-         615505392131         615505392481        138  
21:48.457   1  4f08-         615505392641         615505393062        166  
21:48.488   2  1a14-         615505470502         615505470702         79  
21:48.519   2  1a14-         615505549635         615505549800         65  
21:48.519   1  4f08-         615505549822         615505550028         81  
21:48.551   2  1a14-         615505629317         615505629660        135  
21:48.551   1  4f08-         615505629755         615505630168        163  
21:48.582   2  1a14-         615505708106         615505708530        167  
21:48.582   1  4f08-         615505708407         615505708860^       178  
21:48.613   2  1a14-         615505787559         615505788086        208  
21:48.613   1  4f08-         615505788001         615505788326^       128  
21:48.644   2  1a14-         615505866388         615505866887        197  
21:48.645   1  4f08-         615505866867         615505867496^       248  
21:48.676   2  1a14-         615505945220         615505945421         79  
21:48.676   1  4f08-         615505945501         615505945825        128  
21:48.707   2  1a14-         615506024195         615506024274         31  
21:48.707   1  4f08-         615506024287         615506024394         42  
