FUNCTION PROFILE: 14-May-2018 16:09:00.751 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       23           0   Thread.RunningThread
       11           0   SysMutex.Acquire
       11           0   SysMutex.Release
        5           0   Thread.EnterBlockingOperation
        5           0   Thread.InitialMsecs
        5           0   Thread.LogContextSwitch
        5           0   Thread.ResumeLocked
        5           0   ThreadAdmin.WarpFactor
        3           0   RecoveryTestThread.Enter
        2           0   Base.ctor
        2           0   Debug.SwFlagOn
        2           0   Object.ctor
        2           0   Thread.ExitSwLog
        2           0   Thread.SetSignal
        1           0   Exception.ctor
        1           0   Exception.dtor
        1           0   FunctionGuard.ctor
        1           0   FunctionGuard.dtor
        1           0   LeakyBucketCounter.HasReachedLimit
        1           0   Log.Create
        1           0   Log.Spool
        1           0   LogThread.Spool
        1           0   MsgBuffer.ctor
        1           0   MsgBuffer.operator new
        1           0   MutexGuard.ctor
        1           0   MutexGuard.dtor
        1           0   NodeBase.SE_Handler
        1           0   ObjectPool.DeqBlock
        1           0   Orphans.ExitNow
        1           0   Pooled.ctor
        1           0   Q1Way.Deq
        1           0   Q1Way.Enq
        1           0   Q1Way.Size
        1           0   RecoveryTestThread.Recover
        1           0   SignalException.ctor
        1           0   SignalException.dtor
        1           0   StreamRequest.ctor
        1           0   SysThread.Interrupt
        1           0   SysThread.Start
        1           0   SysThreadStack.Display
        1           0   SysTime.ctor(now)
        1           0   Thread.EnqMsg
        1           0   Thread.ExtendTime
        1           0   Thread.HandleSignal
        1           0   Thread.Interrupt
        1           0   Thread.MakePreemptable
        1           0   Thread.MakeUnpreemptable
        1           0   Thread.Start
        1           0   Thread.TrapHandler

Total functions: 49
