SCHEDULER REPORT: 19-Sep-2017 12:21:39.125 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              59185 65.1  11.5
 1    root 4f08 w S   0   1378    0    0   300  255048    475  0.5   0.1
 2    init 1a14 s S   0   1379    0    0  1352  647674    861  0.9   0.1
 3    file 0ad0 B     0   1596    0   57   392     163  12242 13.5   0.6
 4    cout 1c78 B     0   1293    0   50   432     152  11431 12.6   0.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    371    0    0   760    5477    177  0.2   0.0
 7   stats 0b78 B S   0     18    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     19    0    2   364     156      2  0.0   0.0
 9     cli 4e14 O     0    636    4    0  1344   62544   1221  1.3   0.6
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     53    0    0   252     204      3  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 00dc P S   1      5    7    0  2988 5318306   5319  5.9  87.1
------------------------------------------------------------------------

Context switches: 582
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:29.765   4  1c78-         615458078701         615458080936        882  
21:29.765   3  0ad0-         615458078837         615458081915^      1216  
21:29.766   9  4e14          615458079177         615458080055^       346  
21:29.766   9  4e14          615458080265         615458080589^       128  
21:29.766   9  4e14          615458080637         615458081376^       291  
21:29.766   4  1c78          615458081419         615458081511^        36  
21:29.766   9  4e14          615458081584         615458081834^        98  
21:29.766   4  1c78-         615458081628         615458083599^       778  
21:29.767   9  4e14          615458081885         615458083157^       502  
21:29.767   3  0ad0          615458083441         615458083468^        10  
21:29.767   3  0ad0-         615458083607         615458085890        901  
21:29.767   9  4e14          615458083611         615458084030^       165  
21:29.767   4  1c78          615458084162         615458084251^        35  
21:29.768   9  4e14          615458084402         615458084772^       146  
21:29.768   4  1c78-         615458084412         615458087951^      1398  
21:29.768   9  4e14          615458084829         615458085055^        89  
21:29.768   9  4e14          615458085109         615458086830^       679  
21:29.769   3  0ad0          615458087005         615458087104^        39  
21:29.769   3  0ad0-         615458087242         615458089531^       904  
21:29.769   9  4e14          615458087299         615458087550^        99  
21:29.769   9  4e14          615458087609         615458088785^       464  
21:29.769   4  1c78          615458088834         615458088872^        15  
21:29.769   9  4e14          615458088916         615458089234^       125  
21:29.769   4  1c78-         615458088925         615458098262^      3688  
21:29.770   9  4e14          615458089306         615458089385^        31  
21:29.770   3  0ad0          615458089605         615458089654^        19  
21:29.770   3  0ad0-         615458089700         615458093248^      1401  
21:29.771   3  0ad0          615458093318         615458093371^        20  
21:29.771   3  0ad0-         615458093418         615458096848^      1355  
21:29.773   3  0ad0          615458096948         615458096998^        19  
21:29.773   3  0ad0-         615458097045         615458099084^       805  
21:29.773   4  1c78          615458098362         615458098424^        24  
21:29.773   4  1c78-         615458098491         615458104201^      2255  
21:29.773   3  0ad0          615458099142         615458099203^        24  
