FUNCTION PROFILE: 19-Sep-2017 12:21:23.549 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       13         167   Memory.Free
       12         185   SysHeap.Free
       11         117   Thread.RunningThread
        7         433   Object.operator delete
        5         420   SysMutex.Release
        5          30   Thread.Pause
        4         152   Registry.Erase
        3         173   Base.ctor
        3          24   StatisticsRegistry.UnbindStat
        3          19   Q1Way.Enq
        3          12   SysMutex.Acquire
        3           3   C++.delete
        3           0   Object.ctor
        2         124   FunctionGuard.dtor
        2          41   FunctionGuard.ctor
        2          34   Thread.LogContextSwitch
        2          23   Thread.ExitBlockingOperation
        2          20   LogThread.Spool
        2          19   Statistic.dtor
        2          17   MsgBuffer.operator new
        2          17   SysThread.Interrupt
        2          16   ObjectPool.DeqBlock
        2          15   LeakyBucketCounter.dtor
        2          14   Log.Spool
        2          14   Thread.EnqMsg
        2          14   Thread.MakeUnpreemptable
        2          13   Q1Way.Count
        2          13   Q1Way.Deq
        2          13   Thread.Interrupt
        2           9   Thread.Unlock
        2           8   Thread.ResumeLocked
        2           0   MsgBuffer.ctor
        2           0   Pooled.ctor
        2           0   StreamRequest.ctor
        1        2268   SysThreadStack.Display
        1         436   LeakyBucketCounter.HasReachedLimit
        1         131   Log.Create
        1          48   Singletons.UnbindInstance
        1          40   Thread.Raise
        1          36   ThreadPriv.dtor
        1          29   ObjectPool.EnqBlock
        1          21   RecoveryTestThread.Destroy
        1          11   RecoveryTestThread.Enter
        1          11   SysThread.DeleteSentry
        1           9   Pooled.operator delete
        1           9   SysThread.Delete
        1           9   SysThread.dtor
        1           9   Thread.ExtendTime
        1           8   Counter.dtor
        1           8   Exception.ctor
        1           8   Thread.ExitSwLog
        1           8   Thread.TrapHandler
        1           7   MutexGuard.ctor
        1           7   SignalException.dtor
        1           7   Thread.InitialMsecs
        1           5   MutexGuard.dtor
        1           5   Singleton.Destroy
        1           5   Thread.EnterBlockingOperation
        1           5   Thread.SetSignal
        1           4   Orphans.ExitNow
        1           4   RecoveryTestThread.dtor
        1           4   Thread.MakePreemptable
        1           4   Thread.dtor
        1           0   Exception.dtor
        1           0   SignalException.ctor
        1           0   SysTime.ctor(now)
        1           0   ThreadAdmin.WarpFactor

Total functions: 67
