SCHEDULER REPORT: 19-Sep-2017 12:21:26.552 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              52865 67.5  99.0
 1    root 4f08 w S   0   1112    0    0   300  255048    447  0.6   0.5
 2    init 1a14 s S   0   1113    0    0  1352  647674    829  1.1   0.5
 3    file 0ad0 B     0   1341    0   57   392     163  11970 15.3   0.0
 4    cout 1c78 B     0   1094    0   50   432     152  11118 14.2   0.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    297    0    0   760    5477    142  0.2   0.0
 7   stats 0b78 B S   0     16    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     14    0    2   364     156      1  0.0   0.0
 9     cli 4e14 O     0    536    3    0  1344   53919    967  1.2   0.0
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     45    0    0   252     204      2  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
------------------------------------------------------------------------

Context switches: 347
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:23.547   3  0ad0-         615442339233         615442347417       3233  
21:23.547   4  1c78-         615442339396         615442339945^       216  
21:23.547   9  4e14          615442339821         615442340081^       102  
21:23.548   4  1c78          615442340121         615442340151^        11  
21:23.548   9  4e14          615442340207         615442340503^       116  
21:23.548   4  1c78-         615442340251         615442345979^      2262  
21:23.548   9  4e14          615442340589         615442341691^       435  
21:23.548   9  4e14          615442341828         615442342327^       197  
21:23.549   9  4e14          615442342460         615442343731^       502  
21:23.549   9  4e14          615442343834         615442344518^       270  
21:23.549   9  4e14          615442344680         615442345482^       316  
21:23.550   9  4e14          615442345633         615442346316^       269  
21:23.550  15  4a74          615442346361         615442352721^      2512  
21:23.553   9  4e14          615442352873         615442353154        111  
21:23.553   4  1c78          615442353277         615442353324         18  
21:23.553   4  1c78-         615442353384         615442357313       1552  
21:23.553   3  0ad0          615442353429         615442353527^        38  
21:23.553   3  0ad0-         615442353665         615442362819^      3616  
21:23.553  15  4a74          615442353723         615442356416^      1063  
21:23.554   9  4e14          615442356551         615442356611^        23  
21:23.554   8  33d0          615442356634         615442356874^        94  
21:23.554   8  33d0          615442356900         615442356908^         3  
21:23.554   4  1c78          615442357339         615442357358^         7  
21:23.554   4  1c78-         615442357385         615442368822^      4518  
21:23.557   3  0ad0          615442362882         615442362940^        22  
21:23.557   3  0ad0-         615442362987         615442369637^      2627  
21:23.559   4  1c78          615442368892         615442368943^        20  
21:23.559   4  1c78-         615442368990         615442371242^       889  
21:23.559   3  0ad0          615442369755         615442369805^        19  
21:23.559   3  0ad0-         615442369852         615442376286^      2541  
21:23.560   4  1c78          615442371298         615442371389^        35  
21:23.560   4  1c78-         615442371435         615442379627^      3236  
21:23.562   3  0ad0          615442376348         615442376405^        22  
21:23.562   3  0ad0-         615442376452         615442381982^      2184  
21:23.563   4  1c78          615442379687         615442379733^        18  
21:23.563   4  1c78-         615442379779         615442381247^       579  
21:23.564   4  1c78          615442381304         615442381354^        19  
21:23.564   4  1c78-         615442381412         615442391960^      4167  
21:23.564   3  0ad0          615442382061         615442382111^        19  
21:23.564   3  0ad0-         615442382158         615442387128^      1963  
21:23.566   3  0ad0          615442387189         615442387247^        22  
21:23.566   3  0ad0-         615442387292         615442392767^      2162  
21:23.568   4  1c78          615442392021         615442392073^        20  
21:23.568   4  1c78-         615442392119         615442394532^       953  
21:23.568   3  0ad0          615442392856         615442392935^        31  
21:23.569   3  0ad0-         615442393018         615442398613^      2210  
21:23.569   4  1c78          615442394664         615442394729^        25  
21:23.569   4  1c78-         615442394806         615442398649^      1518  
21:23.571   3  0ad0          615442398649         615442398687         15  
21:23.571   3  0ad0-         615442398727         615442405159       2541  
21:23.571   4  1c78          615442398728         615442398786^        22  
21:23.571   4  1c78-         615442398860         615442400973^       834  
21:23.572   4  1c78          615442401068         615442401145^        30  
21:23.572   4  1c78-         615442401233         615442404333^      1224  
21:23.573   4  1c78          615442404434         615442404499^        25  
21:23.573   4  1c78-         615442404547         615442406996^       967  
21:23.573   3  0ad0          615442405265         615442405335^        27  
21:23.573   3  0ad0-         615442405407         615442412890^      2956  
21:23.574   4  1c78          615442407081         615442407143^        24  
21:23.574   4  1c78-         615442407241         615442410065^      1115  
21:23.575   4  1c78          615442410121         615442410168^        18  
21:23.575   4  1c78-         615442410212         615442412608^       946  
21:23.576   4  1c78          615442412682         615442412744^        24  
21:23.576   4  1c78-         615442412765         615442415209^       965  
21:23.576   3  0ad0          615442412970         615442413024^        21  
21:23.577   3  0ad0-         615442413255         615442419662^      2531  
21:23.577   4  1c78          615442415271         615442415343^        28  
21:23.577   4  1c78-         615442415389         615442419190^      1501  
21:23.579   4  1c78          615442419254         615442419318^        25  
21:23.579   4  1c78-         615442419382         615442421350^       777  
21:23.579   3  0ad0          615442419721         615442419771^        19  
21:23.579   3  0ad0-         615442419818         615442430431^      4192  
21:23.580   4  1c78          615442421503         615442421594^        35  
21:23.580   4  1c78-         615442421639         615442424395^      1088  
21:23.581   4  1c78          615442424497         615442424547^        19  
21:23.581   4  1c78-         615442424593         615442428300^      1464  
21:23.582   4  1c78          615442428359         615442428408^        19  
21:23.583   4  1c78-         615442428452         615442430273^       719  
21:23.583   4  1c78          615442430306         615442430329^         9  
21:23.583   4  1c78-         615442430357         615442432298^       766  
21:23.583   3  0ad0          615442430489         615442430539^        19  
21:23.583   3  0ad0-         615442430597         615442436363^      2277  
21:23.584   4  1c78          615442432371         615442432416^        17  
21:23.584   4  1c78-         615442432462         615442435795^      1316  
21:23.585   4  1c78          615442435881         615442435935^        21  
21:23.585   4  1c78-         615442435995         615442437713^       678  
21:23.586   3  0ad0          615442436421         615442436470^        19  
21:23.586   3  0ad0-         615442436516         615442442396^      2322  
21:23.586   4  1c78          615442437769         615442437814^        17  
21:23.586   4  1c78-         615442437860         615442438729^       343  
21:23.587   4  1c78          615442438802         615442438861^        23  
21:23.587   4  1c78-         615442438910         615442767200^    129694  
21:23.588   3  0ad0          615442442460         615442442526^        26  
21:23.588   3  0ad0-         615442442580         615442449087^      2570  
21:23.591   3  0ad0          615442449150         615442449206^        22  
21:23.591   3  0ad0-         615442449253         615442455005^      2272  
21:23.592   2  1a14-         615442452871         615442452962^        35  
21:23.592   1  4f08-         615442452972         615442453084^        44  
21:23.593   3  0ad0          615442455068         615442455249^        71  
21:23.593   3  0ad0-         615442455299         615442461492^      2446  
21:23.596   3  0ad0          615442461583         615442461662^        31  
21:23.596   3  0ad0-         615442461769         615442468513^      2664  
21:23.598   3  0ad0          615442468579         615442468635^        22  
21:23.598   3  0ad0-         615442468682         615442470722^       805  
21:23.599   3  0ad0          615442470782         615442470836^        21  
21:23.599   3  0ad0-         615442470883         615442472975^       826  
21:23.600   3  0ad0          615442473037         615442473089^        20  
21:23.600   3  0ad0-         615442473136         615442475457^       916  
21:23.601   3  0ad0          615442475528         615442475654^        49  
21:23.601   3  0ad0-         615442475740         615442477621^       743  
21:23.602   3  0ad0          615442477697         615442477753^        22  
21:23.602   3  0ad0-         615442477820         615442480145^       918  
21:23.603   3  0ad0          615442480213         615442480264^        20  
21:23.603   3  0ad0-         615442480315         615442482464^       848  
21:23.604   3  0ad0          615442482541         615442482606^        25  
21:23.604   3  0ad0-         615442482656         615442485316^      1050  
21:23.605   3  0ad0          615442485380         615442485437^        22  
21:23.605   3  0ad0-         615442485484         615442488451^      1172  
21:23.606   3  0ad0          615442488511         615442488562^        20  
21:23.606   3  0ad0-         615442488609         615442491270^      1051  
21:23.607   3  0ad0          615442491330         615442491382^        20  
21:23.607   3  0ad0-         615442491431         615442494134^      1067  
21:23.608   3  0ad0          615442494198         615442494253^        21  
21:23.609   3  0ad0-         615442494307         615442496512^       871  
21:23.609   3  0ad0          615442496603         615442496672^        27  
21:23.609   3  0ad0-         615442496721         615442499373^      1047  
21:23.611   3  0ad0          615442499476         615442499529^        20  
21:23.611   3  0ad0-         615442499576         615442502606^      1197  
21:23.612   3  0ad0          615442502711         615442502767^        22  
21:23.612   3  0ad0-         615442502855         615442506321^      1369  
21:23.613   3  0ad0          615442506382         615442506437^        21  
21:23.613   3  0ad0-         615442506483         615442509922^      1358  
21:23.615   3  0ad0          615442509981         615442510066^        33  
21:23.615   3  0ad0-         615442510149         615442517435^      2878  
21:23.618   3  0ad0          615442517496         615442517550^        21  
21:23.618   3  0ad0-         615442517596         615442524543^      2744  
21:23.620   3  0ad0          615442524605         615442524637^        12  
21:23.623   2  1a14-         615442531951         615442532065^        45  
