SCHEDULER REPORT: 19-Sep-2017 12:21:29.667 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              55520 68.2  99.0
 1    root 4f08 w S   0   1204    0    0   300  255048    458  0.6   0.5
 2    init 1a14 s S   0   1205    0    0  1352  647674    841  1.0   0.5
 3    file 0ad0 B     0   1457    0   57   392     163  12085 14.8   0.0
 4    cout 1c78 B     0   1187    0   50   432     152  11314 13.9   0.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    334    0    0   760    5477    161  0.2   0.0
 7   stats 0b78 B S   0     16    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     17    0    2   364     156      1  0.0   0.0
 9     cli 4e14 O     0    581    3    0  1344   53919   1073  1.3   0.0
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     48    0    0   252     204      2  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
------------------------------------------------------------------------

Context switches: 365
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:26.625   4  1c78-         615450128533         615450136915       3311  
21:26.626   3  0ad0-         615450131830         615450134601^      1094  
21:26.626   9  4e14          615450132246         615450132600^       139  
21:26.626   9  4e14          615450132725         615450132995^       106  
21:26.626   9  4e14          615450133119         615450133940^       324  
21:26.627   9  4e14          615450134017         615450134347^       130  
21:26.627   9  4e14          615450134427         615450135550^       443  
21:26.627   3  0ad0          615450135696         615450135756^        23  
21:26.627   3  0ad0-         615450135819         615450196654^     24033  
21:26.627   9  4e14          615450135909         615450136494^       231  
21:26.628   9  4e14          615450136571         615450136887^       124  
21:26.628   9  4e14          615450136939         615450198010^     24126  
21:26.652   4  1c78          615450198056         615450198108         20  
21:26.652   4  1c78-         615450198167         615450201675       1385  
21:26.652   3  0ad0          615450198274         615450198363^        35  
21:26.652  15  30d0          615450198408         615450206572^      3225  
21:26.652   3  0ad0-         615450198439         615450200894^       969  
21:26.655   3  0ad0          615450206893         615450206949         22  
21:26.656   9  4e14          615450206990         615450207370        150  
21:26.656   3  0ad0-         615450207030         615450209541^       992  
21:26.656   8  33d0          615450207407         615450207605^        78  
21:26.656   4  1c78          615450207681         615450207726^        17  
21:26.656   4  1c78-         615450207763         615450212107^      1716  
21:26.656  15  30d0          615450207806         615450210182^       938  
21:26.657   9  4e14          615450210249         615450210300^        20  
21:26.657   8  33d0          615450210343         615450210647^       120  
21:26.657   3  0ad0          615450210683         615450210714^        12  
