FUNCTION PROFILE: 14-May-2018 16:08:51.352 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       14           0   Memory.Free
       14           0   SysHeap.Free
        8           0   Object.operator delete
        5           0   Statistic.dtor
        4           0   Registry.Erase
        4           0   StatisticsRegistry.UnbindStat
        3           0   SysMutex.Acquire
        3           0   SysMutex.Release
        3           0   Thread.RunningThread
        2           0   Base.ctor
        2           0   Counter.dtor
        2           0   HighWatermark.dtor
        2           0   LeakyBucketCounter.dtor
        2           0   Object.ctor
        2           0   Q1Way.Enq
        1           0   FunctionGuard.ctor
        1           0   FunctionGuard.dtor
        1           0   Log.Create
        1           0   Log.Spool
        1           0   LogThread.Spool
        1           0   MsgBuffer.ctor
        1           0   MsgBuffer.operator new
        1           0   MutexGuard.ctor
        1           0   MutexGuard.dtor
        1           0   ObjectPool.DeqBlock
        1           0   ObjectPool.EnqBlock
        1           0   Orphans.ExitNow
        1           0   Pooled.ctor
        1           0   Pooled.operator delete
        1           0   Q1Way.Deq
        1           0   Q1Way.Size
        1           0   RecoveryTestThread.Destroy
        1           0   RecoveryTestThread.Enter
        1           0   RecoveryTestThread.dtor
        1           0   Singleton.Destroy
        1           0   Singletons.UnbindInstance
        1           0   StreamRequest.ctor
        1           0   SysThread.Delete
        1           0   SysThread.DeleteSentry
        1           0   SysThread.Interrupt
        1           0   SysThread.Start
        1           0   SysThread.dtor
        1           0   SysTime.ctor(now)
        1           0   Thread.EnqMsg
        1           0   Thread.Exit
        1           0   Thread.InitialMsecs
        1           0   Thread.Interrupt
        1           0   Thread.LogContextSwitch
        1           0   Thread.LogSignal
        1           0   Thread.MakePreemptable
        1           0   Thread.MakeUnpreemptable
        1           0   Thread.RegisterForSignals
        1           0   Thread.ResumeLocked
        1           0   Thread.SetSignal
        1           0   Thread.Start
        1           0   Thread.dtor
        1           0   ThreadAdmin.WarpFactor
        1           0   ThreadPriv.dtor

Total functions: 58
