SCHEDULER REPORT: 19-Sep-2017 12:20:20.558 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              10992 89.0  93.3
 1    root 4f08 w S   0    348    0    0   300  255048    327  2.7   0.4
 2    init 1a14 s S   0    349    0    0  1352  647674    698  5.7   0.5
 3    file 0ad0 B     0    154    0   57   392     163    104  0.8   1.9
 4    cout 1c78 B     0    150    0   50   340     152    127  1.0   2.4
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0     75    0    0   760    5477     46  0.4   0.5
 7   stats 0b78 B S   0      3    0    0   316     244      0  0.0   0.0
 8     log 33d0 B S   0      2    0    1   300      61      0  0.0   0.0
 9     cli 4e14 O     0     64    0    0  1260   28038     52  0.4   0.9
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     12    0    0   252     204      1  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
------------------------------------------------------------------------

Context switches: 464
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
20:17.530   4  1c78-         615275233366         615275235246        742  
20:17.530   3  0ad0-         615275233505         615275236181^      1057  
20:17.530   9  4e14          615275233833         615275234400^       224  
20:17.531   9  4e14          615275234508         615275234774^       105  
20:17.531   9  4e14          615275234844         615275235842^       394  
20:17.531   4  1c78          615275235903         615275235980^        30  
20:17.531   9  4e14          615275236038         615275236314^       109  
20:17.531   4  1c78-         615275236080         615275238616^      1001  
20:17.531   3  0ad0          615275236358         615275236392^        13  
20:17.531   9  4e14          615275236435         615275237797^       538  
20:17.531   3  0ad0-         615275236491         615275239438^      1164  
20:17.532   9  4e14          615275237898         615275238455^       220  
20:17.532   9  4e14          615275238533         615275238768^        92  
20:17.532   4  1c78          615275238821         615275238899^        30  
20:17.532   4  1c78-         615275238975         615275309901^     28020  
20:17.532   9  4e14          615275238975         615275309948^     28038  
20:17.560   3  0ad0          615275309985         615275310041         22  
20:17.560   3  0ad0-         615275310086         615275312664       1018  
20:17.560  15  585c          615275310190         615275311463^       502  
20:17.561   4  1c78          615275311523         615275311554^        12  
20:17.561   4  1c78-         615275311581         615275312632^       415  
20:17.561   9  4e14          615275311585         615275311812^        89  
20:17.561   8  33d0          615275311845         615275312000^        61  
20:17.561   9  4e14          615275312042         615275312107^        25  
20:17.561   4  1c78          615275312657         615275312677^         7  
20:17.561   4  1c78-         615275312699         615275316601       1541  
20:17.561   3  0ad0          615275312701         615275312723^         8  
20:17.561   3  0ad0-         615275312740         615275316327^      1417  
20:17.563   3  0ad0          615275316408         615275316476^        26  
20:17.563   3  0ad0-         615275316550         615275320682^      1632  
20:17.563   4  1c78          615275316667         615275316717^        19  
20:17.563   4  1c78-         615275316767         615275321309^      1794  
20:17.565   3  0ad0          615275320765         615275320834^        27  
20:17.565   3  0ad0-         615275320898         615275324461^      1407  
20:17.565   4  1c78          615275321383         615275321440^        22  
20:17.565   4  1c78-         615275321501         615275322645^       451  
20:17.565   4  1c78          615275322721         615275322785^        25  
20:17.565   4  1c78-         615275322844         615275327894^      1995  
20:17.566   3  0ad0          615275324559         615275324626^        26  
20:17.566   3  0ad0-         615275324695         615275327766^      1213  
20:17.567   3  0ad0          615275327824         615275327857^        13  
20:17.567   3  0ad0-         615275327925         615275330817       1142  
20:17.567   4  1c78          615275327927         615275327984^        22  
20:17.567   4  1c78-         615275328047         615275329931^       744  
20:17.568   4  1c78          615275330028         615275330081^        20  
20:17.568   4  1c78-         615275330130         615275331227^       433  
20:17.569   3  0ad0          615275330898         615275330959^        24  
20:17.569   3  0ad0-         615275331018         615275334129^      1229  
20:17.569   4  1c78          615275331304         615275331368^        25  
20:17.569   4  1c78-         615275331441         615275334368^      1156  
20:17.570   3  0ad0          615275334209         615275334249^        15  
20:17.570   3  0ad0-         615275334261         615275338727^      1764  
20:17.570   4  1c78          615275334444         615275334501^        22  
20:17.570   4  1c78-         615275334558         615275337487^      1157  
20:17.571   4  1c78          615275337600         615275337647^        18  
20:17.571   4  1c78-         615275337739         615275343869^      2421  
20:17.572   3  0ad0          615275338901         615275339011^        43  
20:17.572   3  0ad0-         615275339083         615275343527^      1755  
20:17.574   3  0ad0          615275343616         615275343692^        30  
20:17.574   3  0ad0-         615275343734         615275347038^      1305  
20:17.574   4  1c78          615275343945         615275344001^        22  
20:17.574   4  1c78-         615275344065         615275346659^      1024  
20:17.575   4  1c78          615275346740         615275346802^        24  
20:17.575   4  1c78-         615275346867         615275349532^      1052  
20:17.575   3  0ad0          615275347197         615275347251^        21  
20:17.575   3  0ad0-         615275347305         615275350586^      1296  
20:17.576   4  1c78          615275349700         615275349754^        21  
20:17.576   4  1c78-         615275349852         615275354368^      1784  
20:17.576   3  0ad0          615275350645         615275350731^        33  
20:17.576   3  0ad0-         615275350778         615275354064^      1298  
20:17.578   3  0ad0          615275354124         615275354174^        19  
20:17.578   3  0ad0-         615275354222         615275357428^      1266  
20:17.578   4  1c78          615275354448         615275354578^        51  
20:17.578   4  1c78-         615275354642         615275357557^      1151  
20:17.579   3  0ad0          615275357513         615275357584^        28  
20:17.579   3  0ad0-         615275357626         615275361471       1519  
20:17.579   4  1c78          615275357631         615275357671^        15  
20:17.579   4  1c78-         615275357744         615275365511^      3068  
20:17.581   3  0ad0          615275361552         615275361622^        27  
20:17.581   3  0ad0-         615275361723         615275365566^      1518  
20:17.582   4  1c78          615275365563         615275365631^        26  
20:17.582   3  0ad0          615275365671         615275365730         23  
20:17.582   4  1c78-         615275365679         615275368462^      1099  
20:17.582   3  0ad0-         615275365805         615275368427^      1035  
20:17.583   3  0ad0          615275368470         615275368556         33  
20:17.584   3  0ad0-         615275368595         615275371099        989  
20:17.584   4  1c78          615275368603         615275368663^        23  
20:17.584   4  1c78-         615275368737         615275371074^       923  
20:17.584   4  1c78          615275371106         615275371135         11  
20:17.585   4  1c78-         615275371152         615275374362       1268  
20:17.585   3  0ad0          615275371170         615275371234^        25  
20:17.585   3  0ad0-         615275371312         615275374428^      1231  
20:17.586   4  1c78-         615275374476         615275377183       1069  
20:17.586   3  0ad0          615275374486         615275374646^        63  
20:17.586   3  0ad0-         615275374719         615275377738^      1192  
20:17.587   4  1c78          615275377261         615275377341^        31  
20:17.587   4  1c78-         615275377419         615275380699^      1295  
20:17.587   3  0ad0          615275377802         615275377854^        20  
20:17.587   3  0ad0-         615275377901         615275381130^      1275  
20:17.588   4  1c78          615275380776         615275380847^        28  
20:17.588   4  1c78-         615275380912         615275383771^      1129  
20:17.588   3  0ad0          615275381219         615275381297^        30  
20:17.589   3  0ad0-         615275381364         615275384408^      1202  
20:17.590   4  1c78          615275383839         615275383902^        24  
20:17.590   4  1c78-         615275383956         615275388573^      1824  
20:17.590   3  0ad0          615275384466         615275384515^        19  
20:17.590   3  0ad0-         615275384562         615275387794^      1276  
20:17.591   3  0ad0          615275387889         615275387958^        27  
20:17.591   3  0ad0-         615275388126         615275390486^       932  
20:17.591   4  1c78          615275388630         615275388673^        16  
20:17.591   4  1c78-         615275388719         615275391589^      1133  
20:17.592   3  0ad0          615275390579         615275390647^        26  
20:17.592   3  0ad0-         615275390715         615275393221^       990  
20:17.593   4  1c78          615275391647         615275391703^        22  
20:17.593   4  1c78-         615275391756         615275393871^       835  
20:17.593   3  0ad0          615275393461         615275393533^        28  
20:17.593   3  0ad0-         615275393597         615275396165^      1014  
20:17.594   4  1c78          615275393926         615275393969^        16  
20:17.594   4  1c78-         615275394013         615275396950^      1160  
20:17.594   3  0ad0          615275396239         615275396291^        20  
20:17.594   3  0ad0-         615275396338         615275398895^      1010  
20:17.595   4  1c78          615275397006         615275397063^        22  
20:17.595   4  1c78-         615275397111         615275403740^      2618  
20:17.596   3  0ad0          615275399071         615275399145^        29  
20:17.596   3  0ad0-         615275399344         615275402187^      1123  
20:17.596   2  1a14-         615275399743         615275399861^        46  
20:17.596   1  4f08-         615275399833         615275399951^        46  
20:17.597   3  0ad0          615275402263         615275402329^        26  
20:17.597   3  0ad0-         615275402393         615275405278^      1139  
20:17.597   4  1c78          615275403813         615275403887^        29  
20:17.597   4  1c78-         615275403952         615275411373^      2931  
20:17.598   3  0ad0          615275405362         615275405437^        29  
20:17.598   3  0ad0-         615275405518         615275408826^      1306  
20:17.599   3  0ad0          615275408892         615275409029^        54  
20:17.599   3  0ad0-         615275409075         615275413235^      1643  
20:17.600   4  1c78          615275411455         615275411559^        41  
20:17.601   4  1c78-         615275411660         615275416660^      1975  
20:17.601   3  0ad0          615275413298         615275413354^        22  
20:17.601   3  0ad0-         615275413401         615275416912^      1387  
20:17.603   4  1c78          615275416745         615275416794^        19  
20:17.603   4  1c78-         615275416822         615275420140^      1310  
20:17.603   3  0ad0          615275417031         615275417120^        35  
20:17.603   3  0ad0-         615275417204         615275420198^      1182  
20:17.604   4  1c78          615275420215         615275420262         18  
20:17.604   3  0ad0          615275420291         615275420342         20  
20:17.604   4  1c78-         615275420307         615275423205^      1144  
20:17.605   4  1c78          615275423249         615275423295         18  
20:17.605   4  1c78-         615275423409         615275428701       2090  
20:17.605   3  0ad0          615275423529         615275423579^        19  
20:17.605   3  0ad0-         615275423676         615275427172^      1381  
20:17.607   3  0ad0          615275427231         615275427282^        20  
20:17.607   3  0ad0-         615275427329         615275432898^      2200  
20:17.607   4  1c78          615275428793         615275428853^        23  
20:17.607   4  1c78-         615275428923         615275431764^      1122  
20:17.608   4  1c78          615275431865         615275431914^        19  
20:17.609   4  1c78-         615275431959         615275437740^      2283  
20:17.609   3  0ad0          615275432984         615275433091^        42  
20:17.609   3  0ad0-         615275433234         615275438659^      2143  
20:17.611   4  1c78          615275437836         615275437885^        19  
20:17.611   4  1c78-         615275437931         615275445181^      2864  
20:17.611   3  0ad0          615275438731         615275438797^        26  
20:17.611   3  0ad0-         615275438843         615275444400^      2195  
20:17.613   3  0ad0          615275444466         615275444525^        23  
20:17.614   3  0ad0-         615275444572         615275450967^      2526  
20:17.614   4  1c78          615275445271         615275445337^        26  
20:17.614   4  1c78-         615275445407         615275455958^      4168  
20:17.616   3  0ad0          615275451031         615275451090^        23  
20:17.616   3  0ad0-         615275451177         615275456767^      2208  
20:17.618   4  1c78          615275456038         615275456104^        26  
20:17.618   4  1c78-         615275456151         615275457773^       640  
20:17.618   3  0ad0          615275456855         615275456945^        35  
20:17.618   3  0ad0-         615275457014         615275462949^      2344  
20:17.619   4  1c78          615275457833         615275457919^        33  
20:17.619   4  1c78-         615275458083         615275460847^      1091  
20:17.620   4  1c78          615275460907         615275460959^        20  
20:17.620   4  1c78-         615275461005         615275463165^       853  
20:17.621   3  0ad0          615275463009         615275463034^         9  
20:17.621   3  0ad0-         615275463052         615275469204^      2430  
20:17.621   4  1c78          615275463235         615275463281^        18  
20:17.621   4  1c78-         615275463327         615275465509^       862  
20:17.622   4  1c78          615275465676         615275465766^        35  
20:17.622   4  1c78-         615275465814         615275469128^      1309  
20:17.623   4  1c78          615275469186         615275469239^        20  
20:17.623   3  0ad0          615275469269         615275469296         10  
20:17.623   4  1c78-         615275469296         615275471837       1003  
20:17.623   3  0ad0-         615275469345         615275475171^      2301  
20:17.624   4  1c78          615275471950         615275472042^        36  
20:17.624   4  1c78-         615275472130         615275473264^       448  
20:17.625   4  1c78          615275473355         615275473411^        22  
20:17.625   4  1c78-         615275473484         615275475084^       632  
20:17.626   4  1c78          615275475110         615275475140^        11  
20:17.626   4  1c78-         615275475190         615275477319        841  
20:17.626   3  0ad0          615275475238         615275475305^        26  
20:17.626   3  0ad0-         615275475379         615275478025^      1045  
20:17.626   4  1c78          615275477416         615275477476^        23  
20:17.627   4  1c78-         615275477549         615275482733^      2048  
