FUNCTION PROFILE: 19-Sep-2017 12:20:39.368 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       21         114   Thread.RunningThread
       15          62   Thread.Pause
       11     2993548   SysMutex.Release
        9          78   SysMutex.Acquire
        5         109   Thread.LogContextSwitch
        5          38   Thread.ExitBlockingOperation
        5          33   Thread.EnterBlockingOperation
        5          26   Thread.Unlock
        4           9   Thread.ResumeLocked
        3        3056   RecoveryTestThread.Enter
        3          26   Thread.InitialMsecs
        3           0   ThreadAdmin.WarpFactor
        2         227   Base.ctor
        2          14   Thread.ExitSwLog
        2          13   Thread.SetSignal
        2           6   Debug.SwFlagOn
        2           0   Object.ctor
        1        2859   SysThreadStack.Display
        1         214   Log.Create
        1          37   FunctionGuard.dtor
        1          35   FunctionGuard.ctor
        1          33   Exception.dtor
        1          28   Log.Spool
        1          27   Thread.RegisterForSignals
        1          20   LeakyBucketCounter.HasReachedLimit
        1          13   SysThread.Interrupt
        1          10   Thread.TrapHandler
        1           9   LogThread.Spool
        1           9   SysThread.Start
        1           8   MsgBuffer.operator new
        1           8   Thread.Interrupt
        1           7   MutexGuard.ctor
        1           7   Q1Way.Count
        1           7   Q1Way.Deq
        1           7   Thread.EnqMsg
        1           7   Thread.ExtendTime
        1           7   Thread.MakePreemptable
        1           7   Thread.SignalHandler
        1           6   Exception.ctor
        1           6   ObjectPool.DeqBlock
        1           6   Q1Way.Enq
        1           6   SignalException.dtor
        1           6   Thread.MakeUnpreemptable
        1           6   Thread.Start
        1           5   MutexGuard.dtor
        1           4   Orphans.ExitNow
        1           4   RecoveryTestThread.Recover
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   SignalException.ctor
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)

Total functions: 52
