SCHEDULER REPORT: 19-Sep-2017 12:20:33.033 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              22085 89.0  90.9
 1    root 4f08 w S   0    729    0    0   300  255048    375  1.5   0.4
 2    init 1a14 s S   0    730    0    0  1352  647674    750  3.0   0.4
 3    file 0ad0 B     0    602    0   57   392     163    475  1.9   2.3
 4    cout 1c78 B     0    506    0   50   340     152    513  2.1   2.3
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    149    0    0   760    5477     85  0.3   0.3
 7   stats 0b78 B S   0      5    0    0   316     244      0  0.0   0.0
 8     log 33d0 B S   0      6    0    1   364     156      1  0.0   0.0
 9     cli 4e14 O     0    244    1    0  1344   51381    441  1.8   3.3
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     24    0    0   252     204      2  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 2470 P S   4     20    0    0  4188   46861     96  0.4   0.1
------------------------------------------------------------------------

Context switches: 330
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
20:30.016   4  1c78-         615306838424         615306839833        556  
20:30.016   3  0ad0-         615306838502         615306840840^       923  
20:30.016   9  4e14          615306838748         615306839073^       128  
20:30.016   9  4e14          615306839156         615306839407^        99  
20:30.016   9  4e14          615306839473         615306840581^       437  
20:30.017   4  1c78          615306840621         615306840695^        29  
20:30.017   9  4e14          615306840733         615306840986^        99  
20:30.017   4  1c78-         615306840788         615306843805^      1191  
20:30.017   3  0ad0          615306841020         615306841080^        23  
20:30.017   9  4e14          615306841107         615306842337^       485  
20:30.017   3  0ad0-         615306841142         615306843304^       854  
20:30.018   9  4e14          615306842413         615306842847^       171  
20:30.018   9  4e14          615306842923         615306843237^       124  
20:30.018   9  4e14          615306843273         615306843717^       175  
20:30.018   3  0ad0          615306843750         615306843781^        12  
20:30.018  15  2470          615306843804         615306852693^      3511  
20:30.018   3  0ad0-         615306843818         615306846710^      1142  
20:30.022   3  0ad0          615306852869         615306853040         67  
20:30.022   9  4e14          615306853126         615306853469        135  
20:30.022   3  0ad0-         615306853164         615306855495^       920  
20:30.022   4  1c78          615306853520         615306853594^        29  
20:30.022   4  1c78-         615306853755         615306857025^      1291  
20:30.022  15  2470          615306853892         615306854716^       325  
20:30.023   9  4e14          615306854790         615306854898^        42  
20:30.023   8  33d0          615306854931         615306855187^       101  
20:30.023  15  2470          615306855221         615306855432^        83  
20:30.023  15  2470          615306855561         615306855699^        54  
20:30.023   3  0ad0          615306855772         615306855834^        24  
