FUNCTION PROFILE: 19-Sep-2017 12:20:20.631 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       21          86   Thread.RunningThread
       13         180   Thread.Pause
       11     2995162   SysMutex.Release
        8          67   SysMutex.Acquire
        5         116   Thread.LogContextSwitch
        5          52   Thread.EnterBlockingOperation
        5          28   Thread.Unlock
        4          28   Thread.ExitBlockingOperation
        4          18   Thread.ResumeLocked
        3          37   RecoveryTestThread.Enter
        2         130   Base.ctor
        2          23   Thread.InitialMsecs
        2          15   SysThread.Start
        2           9   Thread.Start
        2           7   Debug.SwFlagOn
        2           0   Object.ctor
        2           0   ThreadAdmin.WarpFactor
        1       37910   SysThreadStack.Display
        1          53   Debug.SwErr(int)
        1          21   Debug.GenerateSwLog
        1          15   FunctionGuard.dtor
        1          14   Thread.EnterThread
        1          13   FunctionGuard.ctor
        1          13   LeakyBucketCounter.HasReachedLimit
        1          11   Thread.RegisterForSignals
        1           9   SysThread.Interrupt
        1           9   Thread.EnqMsg
        1           8   Thread.EnterSwLog
        1           8   Thread.TrapHandler
        1           7   Exception.dtor
        1           7   LogThread.Spool
        1           7   MutexGuard.ctor
        1           7   Thread.ExitSwLog
        1           6   Exception.ctor
        1           6   Thread.ExtendTime
        1           6   Thread.Interrupt
        1           5   Q1Way.Deq
        1           5   Q1Way.Enq
        1           5   Thread.MakePreemptable
        1           5   Thread.MakeUnpreemptable
        1           5   Thread.SetSignal
        1           4   Log.Spool
        1           4   MsgBuffer.operator new
        1           4   MutexGuard.dtor
        1           4   ObjectPool.DeqBlock
        1           4   Orphans.ExitNow
        1           4   Q1Way.Count
        1           4   RecoveryTestThread.Recover
        1           4   SoftwareException.dtor
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   SoftwareException.ctor(string)
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)

Total functions: 54
