FUNCTION PROFILE: 19-Sep-2017 12:20:42.449 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       20         125   Thread.RunningThread
       15    23044889   Thread.Pause
        9         463   SysMutex.Release
        6          86   SysMutex.Acquire
        5          71   Thread.Unlock
        5          49   Thread.ExitBlockingOperation
        4         177   Thread.LogContextSwitch
        4          44   Thread.EnterBlockingOperation
        3           6   Thread.ResumeLocked
        3           0   ThreadAdmin.WarpFactor
        2         201   Base.ctor
        2          36   RecoveryTestThread.Enter
        2          33   Thread.SetSignal
        2          26   Thread.InitialMsecs
        2          11   Debug.SwFlagOn
        2          11   Thread.ExitSwLog
        2           0   Object.ctor
        1        2044   SysThreadStack.Display
        1         194   Log.Create
        1          32   FunctionGuard.ctor
        1          27   Log.Spool
        1          22   MutexGuard.dtor
        1          21   FunctionGuard.dtor
        1          14   LeakyBucketCounter.HasReachedLimit
        1          11   SysThread.Interrupt
        1          11   Thread.TrapHandler
        1           9   MsgBuffer.operator new
        1           9   MutexGuard.ctor
        1           8   Thread.MakePreemptable
        1           7   Exception.dtor
        1           7   LogThread.Spool
        1           7   Orphans.ExitNow
        1           7   Thread.RegisterForSignals
        1           6   SysThread.Start
        1           5   Exception.ctor
        1           5   Q1Way.Deq
        1           5   RecoveryTestThread.Recover
        1           5   Thread.EnqMsg
        1           5   Thread.Interrupt
        1           5   Thread.SignalHandler
        1           5   Thread.Start
        1           4   ObjectPool.DeqBlock
        1           4   Q1Way.Count
        1           4   SignalException.dtor
        1           4   Thread.HandleSignal
        1           4   Thread.MakeUnpreemptable
        1           3   Q1Way.Enq
        1           3   Thread.ExtendTime
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   SignalException.ctor
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)

Total functions: 53
