SCHEDULER REPORT: 19-Sep-2017 12:21:23.465 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              17152 22.8  87.5
 1    root 4f08 w S   0   1017    0    0   300  255048    436  0.6   0.0
 2    init 1a14 s S   0   1018    0    0  1352  647674    816  1.1   0.0
 3    file 0ad0 B     0   1222    0   57   392     163  11861 15.8   5.4
 4    cout 1c78 B     0    997    0   50   432     152  10927 14.5   3.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    297    0    0   760    5477    142  0.2   0.0
 7   stats 0b78 B S   0     13    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     12    0    1   364     156      1  0.0   0.0
 9     cli 4e14 O     0    491    3    0  1344   53919    876  1.2   4.1
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     42    0    0   252     204      2  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 4a74 P S   9     44    0    0  4188 10+ sec  33040 43.9   0.0
------------------------------------------------------------------------

Context switches: 252
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:09.568   4  1c78-         615406953924         615406954633        280  
21:09.568   9  4e14          615406954212         615406954654^       174  
21:09.568   3  0ad0-         615406954233         615406961913^      3034  
21:09.568   4  1c78          615406955063         615406955102^        15  
21:09.568   4  1c78-         615406955284         615406958648^      1328  
21:09.568   9  4e14          615406955304         615406955655^       138  
21:09.569   9  4e14          615406955765         615406956689^       365  
21:09.569   9  4e14          615406956790         615406957114^       128  
21:09.569   9  4e14          615406957213         615406958795^       624  
21:09.570   4  1c78          615406958836         615406958864^        11  
21:09.570   9  4e14          615406958902         615406959284^       150  
21:09.570   4  1c78-         615406958945         615406964837^      2327  
21:09.570   9  4e14          615406959337         615406959627^       114  
21:09.570   9  4e14          615406959676         615406960006^       130  
21:09.570   9  4e14          615406960062         615406960364^       119  
21:09.570   9  4e14          615406960426         615406961472^       413  
21:09.571   9  4e14          615406961558         615406961852^       116  
21:09.571   9  4e14          615406961914         615406962506^       233  
21:09.571   3  0ad0          615406962542         615406962592^        19  
21:09.571   9  4e14          615406962630         615406962895^       104  
21:09.571   3  0ad0-         615406962639         615406968604^      2356  
21:09.571   9  4e14          615406962969         615406963058^        35  
21:09.572   4  1c78          615406964915         615406964979^        25  
21:09.572   4  1c78-         615406965074         615406971709^      2621  
21:09.574   3  0ad0          615406968689         615406968764^        29  
21:09.574   3  0ad0-         615406968832         615406975199^      2515  
21:09.575   4  1c78          615406971788         615406971850^        24  
21:09.576   4  1c78          615406975220         615406975247         10  
21:09.576   4  1c78-         615406975312         615406979310       1579  
