FUNCTION PROFILE: 20-Dec-2020 10:58:19.685 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
        6         322   SysMutex.Acquire
        6          71   SysMutex.Release
        4          70   SysThread.Resume
        4          44   Thread.Pause
        4          42   Thread.Interrupt
        4          38   SysThread.Interrupt
        4          37   MutexGuard.dtor
        4          30   MutexGuard.ctor
        4          21   MutexGuard.Release
        3       15895   SysThread.Suspend
        3          58   Debug.SwFlagOn
        3          39   Log.Find
        2         405   Thread.LogContextSwitch
        2          60   Thread.ExitBlockingOperation
        2          47   Thread.Ready
        2          46   SysThread.Wait
        2          42   RecoveryThread.Enter
        2          35   LogGroupRegistry.FindGroup
        2          32   ThreadAdmin.WarpFactor
        2          30   Thread.ExitSwLog
        2          29   Thread.Resume
        2          28   Thread.EnterBlockingOperation
        2          24   Thread.Suspend
        2          21   Thread.Schedule
        2          19   Thread.InitialTime
        2          17   LogGroup.FindLog
        2          13   Heap.SetPermissions
        2          12   Thread.SetSignal
        2          11   LogBuffer.First
        1     2995682   RecoveryThread.DoTerminate
        1        3350   SysThreadStack.Display
        1         248   Log.Format
        1         205   SysTime.ctor(now)
        1          36   Thread.ExtendTime
        1          31   LeakyBucketCounter.HasReachedLimit
        1          31   Thread.HandleSignal
        1          31   Thread.RegisterForSignals
        1          26   Thread.TrapHandler
        1          21   Log.Submit
        1          20   Thread.SignalHandler
        1          18   SysThread.Delay
        1          13   LogBuffer.SetNext
        1          13   LogBuffer.Push
        1          12   RecoveryThread.Recover
        1          10   Exception.dtor
        1          10   Thread.Start
        1          10   SysThread.Start
        1           9   Exception.ctor
        1           8   Memory.Copy
        1           7   MutexRegistry.Abandon
        1           6   Thread.LogTrap
        1           6   SignalException.dtor
        1           6   ThreadRegistry.GetState
        1           5   LogBufferRegistry.Active
        1           4   LogBuffer.InsertionPoint
        1           4   Log.Create
        1           0   SignalException.ctor

Total functions: 57
