FUNCTION PROFILE: 3-May-2020 11:29:33.632 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      463       31299   Thread.UpdateMutex
      462        7479   Thread.UpdateMutexCount
      233        1672   SysMutex.Acquire
      233        1284   MutexGuard.ctor
      232        2323   SysMutex.Release
      231        1435   MutexGuard.dtor
      231        1310   MutexGuard.Release
      206        2878   SysThread.Resume
      206        1725   Thread.Interrupt
      206        1622   SysThread.Interrupt
      175         920   CliBuffer.CalcType
      144        2216   Thread.Pause
      111     4875468   SysThread.Suspend
      100       17934   Thread.LogContextSwitch
      100         697   Thread.Suspend
       98        1181   Thread.Schedule
       89        4849   Thread.Resume
       89         707   Thread.Ready
       89         628   SysThread.Wait
       89         608   Thread.EnterBlockingOperation
       88        9080   Thread.InitialMsecs
       87       26115   Thread.ExitBlockingOperation
       87         627   ThreadAdmin.WarpFactor
       68         370   Q1Way.Deq
       53          49   C++.delete
       51         261   Threads.GetState
       50         260   Q1Way.Enq
       46       35817   SysHeap.BlockToSize
       46         313   SysHeap.Free
       46         296   Memory.Free
       41         261   Log.Find
       40        1266   SysFile.Normalize
       40         478   MainArgs.At
       38      160942   SysFile.CreateOstream
       37         196   Q1Way.Size
       35         308   StreamRequest.ctor
       35         244   MsgBuffer.ctor
       35         189   Thread.EnqMsg
       35         179   ObjectPool.DeqBlock
       35         168   MsgBuffer.operator new
       35         137   Pooled.ctor
       33         856   FileThread.Spool(written)
       33         282   Permanent.operator delete
       33         256   FunctionGuard.ctor
       33         229   FunctionGuard.dtor
       32         473   FileThread.Spool(string)
       32         308   FunctionGuard.Release
       32         201   FileThread.Record
       31         334   CoutThread.Spool(stream)
       29         125   Debug.noop
       27        1175   LogGroup.FindLog
       27        1164   LogGroupRegistry.FindGroup
       27         169   Thread.DeqMsg
       25         119   CliBuffer.FindNextNonBlank
       24         104   Thread.MakePreemptable
       23         164   Pooled.operator delete
       23         157   Thread.MakeUnpreemptable
       23         156   MsgBuffer.dtor
       23         155   StreamRequest.dtor
       23         147   ObjectPool.EnqBlock
       22         220   SysThread.DeleteSentry
       22         211   SysThread.Delay
       22         165   LeakyBucketCounter.dtor
       22         104   MutexRegistry.Abandon
       19         179   SysHeap.Alloc
       19         100   Memory.Alloc
       18         163   FileRequest.ctor
       18         137   CliBuffer.GetStr
       17         160   SysIpL2Addr.dtor
       17          85   Heap.SetPermissions
       16          76   CliStack.FindCommand
       14         328   SysTime.ctor(now)
       13        1084   Log.Submit
       13         435   Log.Format
       13          83   LogThread.CopyToConsole
       13          78   NodeBase.GetLogType
       13          70   Log.Create
       12       39700   SysThreadStack.Display
       12       35253   Exception.dtor
       12         162   CliIncrement.FindCommand
       12         141   CliThread.Flush
       12         139   Registry.Erase
       12         135   Thread.ExtendTime
       12         108   Thread.Start
       12          97   SysThread.Start
       12          95   LogThread.Spool
       12          76   Thread.ExitSwLog
       12          74   Exception.ctor
       12          63   FileRequest.dtor
       12          62   CliText.AccessParm
       11         195   Thread.RegisterForSignals
       11         142   Thread.TrapHandler
       11         132   Thread.EnterThread
       11         123   SysThread.Delete
       11         121   SignalException.dtor
       11         118   Thread.dtor
       11          87   SysThread.dtor
       11          84   Thread.ReleaseResources
       11          83   ThreadPriv.dtor
       11          81   Thread.SetSignal
       11          74   Thread.LogTrap
       11          73   ThreadRegistry.UnbindThread
       11          63   Thread.LogSignal
       11          62   Debug.SwFlagOn
       11          55   Thread.Exit
       11           0   SignalException.ctor
       10        2446   CliBuffer.GetLine
       10         190   SysIpL3Addr.dtor
       10         103   CliStack.Top
        9         163   Thread.MemUnprotect
        9         149   Thread.MemProtect
        9         121   CoutThread.Spool(string)
        9          40   Registry.Size
        8         157   Daemon.Find
        8         117   SysSocket.SetBlocking
        8          85   Daemon.ThreadDeleted
        8          65   CliThread.ParseCommand
        8          45   CliBuffer.ScanLine
        7         115   Singletons.UnbindInstance
        7          50   CliCookie.Advance
        7          47   Singleton.Destroy
        7          44   CliThread.InvokeCommand
        7          43   CliThread.EndOfInput
        7          22   CliCookie.Initialize
        6         118   SysMemory.Protect
        6          97   SymbolRegistry.FindSymbol
        6          48   SysIpL2Addr.ctor(copy)
        6          41   Heap.SetAttrs
        6          37   IpPort.SetSocket
        6          30   Symbol.SetValue
        6          26   SymbolRegistry.EnsureSymbol
        5         111   Dynamic.ctor
        5          60   CliThread.ReadCommands
