FUNCTION PROFILE: 2-Feb-2022 07:51:28.435 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       53         167   Q1Way.Enq
       48         150   Pooled.ctor
       48         144   Q1Way.Deq
       48         114   ObjectPool.DeqBlock
       42         164   Context.RunningContextTraced
       36          86   ObjectPool.EnqBlock
       36          79   Pooled.operator delete
       30           9   C++.delete
       26          81   Context.RunningContext
       22          55   Q1Way.Exq
       20         162   SysThread.Resume
       20         114   Thread.Interrupt
       20         110   SysThread.Interrupt
       20          46   Context.SetContextMsg
       20          35   Q1Way.Init
       19          54   Q1Way.Purge
       18          70   MsgPort.Port
       18          61   ProtocolSM.Port
       17     1965503   SysThread.Suspend
       17         109   SysIpL2Addr.dtor
       17          47   SysIpL3Addr.dtor
       15          60   SbIpBuffer.PayloadSize
       14          43   TlvMessage.FencePtr
       13          57   SysIpL2Addr.ctor
       13          52   SysIpL3Addr.ctor
       13          31   IPv6Addr.ctor
       12          42   Message.RxSbAddr
       12          28   Thread.Pause
       12          28   SmallBuffer.operator new
       12          27   NetworkBase.AllocByteBuff
       12          25   IpBuffer.AllocBuff
       12          25   SbIpBuffer.operator new
       11         254   Thread.LogContextSwitch
       11          79   SysMutex.Acquire
       11          77   Thread.ExitBlockingOperation
       11          75   Thread.InitialTime
       11          54   Thread.Schedule
       11          53   SysMutex.Release
       11          52   Thread.Ready
       11          47   Thread.Resume
       11          43   SysThread.Wait
       11          36   ThreadAdmin.WarpFactor
       11          34   Thread.Suspend
       11          32   Thread.EnterBlockingOperation
       11          32   MutexGuard.ctor
       11          27   MutexGuard.dtor
       11          21   MutexGuard.Release
       11          18   TlvMessage.FirstParm
       11          17   TlvMessage.FindParm
       10         219   Message.ClearContext
       10          66   Memory.Copy
       10          27   Message.Exqueue
       10          19   ServiceSM.EnqEvent
       10          17   ServiceSM.ExqEvent
       10          15   TlvMessage.FindType
       10          14   Event.operator new
       10          14   Event.ctor
       10          13   Event.dtor
        9          16   TlvMessage.NextParm
        9          14   Context.SetState
        8          69   SysSocket.SetBlocking
        8          28   Thread.RtcPercentUsed
        8          17   InvokerPool.FindWork
        7          20   InvokerThread.ClearContext
        7          19   TlvMessage.CheckFence
        7          17   Context.Exqueue
        6          55   SbIpBuffer.ctor
        6          37   SysSocket.TracePeer
        6          32   IpBuffer.ctor
        6          25   Factory.RecordMsg
        6          25   SysThread.Delay
        6          25   SbIpBuffer.ctor(copy)
        6          21   Message.Enqueue
        6          18   Message.TxSbAddr
        6          17   MsgBuffer.ctor
        6          16   MsgHeader.ctor
        6          15   SbIpBuffer.dtor
        6          15   PotsCallPsm.Cast
        6          14   PotsMessage.dtor
        6          14   MsgBuffer.dtor
        6          14   IpBuffer.dtor
        6          13   SbIpBuffer.operator delete
        6          13   TlvMessage.dtor
        6          13   MsgBuffer.ctor(copy)
        6          13   Message.RxFactory
        6          13   Message.dtor
        6          11   IpBuffer.ctor(copy)
        6          11   Message.operator new
        6          11   BcEvent.ctor
        6          10   BcEvent.dtor
        5          26   IpPort.RecvsInSequence
        5          19   MsgPort.Find
        5          14   TlvMessage.AddParm
        5          13   TlvMessage.AddType
        5          13   IpBuffer.AddBytes
