FUNCTION PROFILE: Jun-13-2022 16:37:48.171 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      129         190   Q1Way.Enq
      118         207   Q1Way.Deq
      117         202   ObjectPool.DeqBlock
      117         182   Pooled.ctor
      104         222   Context.RunningContextTraced
       87         167   ObjectPool.EnqBlock
       87         146   Pooled.operator delete
       72          41   C++.delete
       65         129   Context.RunningContext
       54          77   Q1Way.Exq
       47         190   SysIpL2Addr.dtor
       47          86   SysIpL3Addr.dtor
       46         339   Gate.Notify
       46         233   SysThread.Interrupt
       46         139   Thread.Interrupt
       45          72   ProtocolSM.Port
       44          71   Context.SetContextMsg
       43     2527266   Gate.WaitFor
       43         128   SysThread.Suspend
       42          58   MsgPort.Port
       42          56   TlvMessage.FencePtr
       40          64   Q1Way.Init
       38          49   Q1Way.Purge
       36          46   SbIpBuffer.PayloadSize
       34          77   SysIpL3Addr.ctor
       34          66   SysIpL2Addr.ctor
       34          46   IPv6Addr.ctor
       32         118   Thread.Pause
       30          58   Message.RxSbAddr
       30          57   SbIpBuffer.operator new
       30          55   SmallBuffer.operator new
       30          52   NetworkBase.AllocByteBuff
       30          44   IpBuffer.AllocBuff
       27         572   Thread.LogContextSwitch
       27         213   Thread.ExitBlockingOperation
       27         147   Thread.Resume
       27         142   Mutex.Acquire
       27         105   Thread.Ready
       27          99   Thread.InitialTime
       27          88   Thread.EnterBlockingOperation
       27          88   Thread.Suspend
       27          81   MutexGuard.ctor
       27          79   SysThread.Wait
       27          77   Mutex.Release
       27          71   MutexGuard.Release
       27          68   Thread.Schedule
       27          68   ThreadAdmin.WarpFactor
       27          62   MutexGuard.dtor
       27          50   TlvMessage.FindParm
       27          41   TlvMessage.FirstParm
       26         366   Message.ClearContext
       26          50   TlvMessage.NextParm
       26          36   Message.Exqueue
       24          57   Memory.Copy
       24          56   TlvMessage.FindType
       24          51   Event.ctor
       24          42   Event.dtor
       24          42   Event.operator new
       24          36   ServiceSM.EnqEvent
       24          33   ServiceSM.ExqEvent
       21          26   TlvMessage.CheckFence
       21          21   Context.SetState
       19          77   SysSocket.SetBlocking
       18          24   Thread.RtcPercentUsed
       17          31   InvokerPool.FindWork
       16          47   SysThread.Delay
       15         123   SbIpBuffer.ctor
       15          52   SbIpBuffer.ctor(copy)
       15          48   IpBuffer.ctor
       15          44   Message.dtor
       15          43   IpBuffer.dtor
       15          34   BcEvent.ctor
       15          34   IpBuffer.ctor(copy)
       15          34   SysSocket.TracePeer
       15          34   TlvMessage.AddParm
       15          32   Context.Exqueue
       15          30   SbIpBuffer.operator delete
       15          29   SbIpBuffer.dtor
       15          25   MsgHeader.ctor
       15          25   TlvMessage.dtor
       15          24   BcEvent.dtor
       15          23   MsgBuffer.ctor
       15          22   Message.TxSbAddr
       15          22   TlvMessage.AddType
       15          21   InvokerThread.ClearContext
       15          21   Message.Enqueue
       15          21   MsgBuffer.ctor(copy)
       15          21   MsgBuffer.dtor
       15          19   Factory.RecordMsg
       15          19   Message.operator new
       15          18   IpBuffer.AddBytes
       13          20   PotsBcSsm.SetNextSap
       13          16   Message.RxFactory
       13          15   ServiceSM.SetNextSap
       12          18   PotsCallPsm.Cast
       12          12   Q2Way.Exq
       11          33   Thread.CurrTimeRunning
       11          24   Message.Handled
       11          17   Q1Way.Henq
       11          15   Message.SetPsm
       11          15   PotsMessage.dtor
       11          15   ProtocolSM.SetState
       11          14   IpPort.RecvsInSequence
       11          14   PotsBcSsm.SetNextSnp
       11          14   ServiceSM.SetNextSnp
       10          27   Context.TraceMsg
       10          19   GlobalAddress.dtor
       10          14   Alarm.Create
       10          14   BcSsm.SetNextState
       10          11   ServiceSM.SetNextState
        9         876   SysUdpSocket.RecvFrom
        9          90   Context.CaptureTask
        9          31   InvokerPool.ReceiveMsg
        9          31   SessionBase.CaptureMsg
        9          30   Context.ProcessMsg
        9          27   SysSocket.Empty
        9          25   IoThread.InvokeHandler
        9          25   SbTracer.MsgStatus
        9          22   SysIpL3Addr.NetworkToHost(IPv6)
        9          21   MsgFactory.ReceiveMsg
        9          19   Context.ProcessWork
        9          19   InputHandler.NetworkToHost
        9          18   InvokerPool.ReceiveBuff
        9          17   SbInputHandler.ReceiveBuff
        9          16   MediaInfo.ctor
        9          15   Context.Enqueue
        9          15   InvokerThread.SetContext
        9          15   IoThread.ConditionalPause
        9          15   PayloadInvokerPool.RecordDelay
        9          14   Context.EnqMsg
        9          14   InvokerPool.KickThread
        9          14   SessionBase.TraceRxNet
        9          14   SysIpL2Addr.NetworkToHost(IPv6)
        9          13   IpPort.BytesRcvd
        9          13   TlvMessage.ctor(i/c)
        9          12   MsgPort.Find
        9          12   NwTracer.BuffStatus
        9          10   InvokerPool.Dequeued
        9          10   Thread.PauseOver
        9           9   InvokerPool.Enqueued
        9           9   Message.ctor(i/c)
        8          23   InvokerThread.ScheduledIn
        8          16   Pots_NU_Message.dtor
        8          12   ProtocolSM.PeerFactory
        8          10   InvokerPool.ScheduledOut
        8          10   InvokerThread.BlockingAllowed
        8          10   Q2Way.Enq
        7          18   ProtocolSM.EndOfTransaction
        7          16   PotsMessage.ctor(i/c)
        7          16   SbExtInputHandler.AllocBuff
        7          11   MediaPsm.EndOfTransaction
        7          11   MediaPsm.PrepareOgMsgq
        7          10   ProtocolLayer.RootSsm
        7           8   ObjectPool.BidToObj
        6         169   SysIpL2Addr.HostToNetwork(IPv6)
        6          46   ServiceSM.ProcessEvent
        6          31   Message.Send
        6          21   SysUdpSocket.SendBuff
        6          20   Message.ctor(o/g)
        6          17   MsgPort.SendMsg
        6          16   Context.dtor
        6          15   IpBuffer.Send
        6          15   SysUdpSocket.SendTo
        6          14   ProtocolSM.EnqOgMsg
        6          13   ProtocolLayer.SendToLower
        6          13   TlvMessage.Send
        6          12   IpBuffer.OutgoingBytes
        6          12   MediaPsm.SetOgTone
        6          11   ProtocolSM.FindTimer
        6          11   SysIpL3Addr.HostToNetwork(IPv6)
        6          10   Context.ctor
        6          10   Context.operator new
        6          10   IpPort.BytesSent
        6          10   ProtocolLayer.dtor
        6          10   ProtocolSM.AddressesUnknown
        6           9   MsgContext.ctor
        6           9   MsgContext.dtor
        6           9   TlvMessage.ctor(o/g)
        6           8   Factory.IncrContexts
        6           8   InputHandler.HostToNetwork
        6           8   MediaPsm.SetOgPort
        6           8   Message.Capture
        6           8   Message.SetProtocol
        6           8   Message.SetReceiver
        6           8   Message.SetSender
        6           8   Message.SetSignal
        6           8   MsgPort.Route
        6           8   MsgPort.WrapMsg
        6           8   ProtocolLayer.EnsureLower
        6           8   ProtocolSM.GetProtocol
        6           6   GlobalAddress.ctor(L3addr, locaddr)
        5          17   SsmContext.ProcessIcMsg
        5          16   BcReleaseEvent.ctor
        5          14   PsmContext.EndOfTransaction
        5          11   Initiator.InvokeHandler
        5          11   Message.Henqueue
        5          11   MsgPort.ReceiveMsg
        5          11   ProtocolLayer.SendToUpper
        5          11   PsmFactory.ReceiveMsg
        5          11   SbAnalyzeMessage.ProcessEvent
        5          10   BcSsm.CalcPort
        5          10   MediaPsm.ReceiveMsg
        5          10   ProtocolSM.HenqReceivedMsg
        5          10   ProxyBcSsm.CalcPort
        5          10   ProxyBcSsm.EndOfTransaction
        5          10   SsmContext.EndOfTransaction
        5           9   BcReleaseEvent.dtor
        5           9   MediaPsm.UpdateOgMedia
        5           9   ProtocolSM.ReceiveMsg
        5           8   AnalyzeMsgEvent.ctor
        5           8   MediaPsm.UpdateIcMedia
        5           8   PotsCallPsm.SendSignal
        5           8   ServiceSM.EndOfTransaction
        5           8   SsmFactory.ReceiveMsg
        5           7   AnalyzeMsgEvent.dtor
        5           7   MsgContext.EndOfTransaction
        5           7   ProtocolSM.UnwrapMsg
        5           7   ProxyBcSsm.FirstProxy
        5           7   PsmContext.FindPort
        5           6   PotsProfile.FindFeature
        5           6   SsmContext.IsIdle
        5           5   DigitString.AddDigit
        4         226   Pots_NU_Message.ctor(o/g)
        4          34   DeferredRegistry.RaiseTimeouts
        4          25   TimerRegistry.ProcessWork
        4          18   Pots_NU_Message.ctor(i/c)
        4          15   PotsCircuit.ReceiveMsg
        4          14   IpPortRegistry.LocalAddr
        4          13   PotsCallPsm.ProcessOgMsg
        4          10   MsgContext.ProcessIcMsg
        4          10   PotsMessage.ctor(o/g)
        4          10   PotsShelfFactory.AllocIcMsg
        4           8   PotsShelfFactory.ProcessIcMsg
        4           7   PotsCallPsm.Route
        4           6   CipMessage.dtor
        4           6   PotsMessage.AddHeader
        4           6   PotsShelfHandler.ReceiveBuff
        4           6   SsmContext.SetRoot
        4           5   PotsBcSsm.TimerPsm
        4           5   PotsProfile.HasFeature
        4           5   Q2Way.Henq
        4           5   ToneRegistry.ToneToPort
        4           4   DigitString.Size
