FUNCTION PROFILE: 30-Jan-2020 18:57:09.961 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       47         162   Q1Way.Enq
       42         201   Context.RunningContextTraced
       36         154   Q1Way.Deq
       36         131   ObjectPool.DeqBlock
       36         122   Pooled.ctor
       30         108   ObjectPool.EnqBlock
       30         103   Pooled.operator delete
       30          21   C++.delete
       26          99   Context.RunningContext
       23         141   SysIpL2Addr.ctor(copy)
       22          96   SysIpL2Addr.dtor
       22          71   Q1Way.Exq
       22          58   SysIpL3Addr.ctor(copy)
       21          78   SysIpL3Addr.dtor
       20         219   SysThread.Resume
       20         152   Thread.Interrupt
       20          99   SysThread.Interrupt
       20          64   Q1Way.Init
       20          61   Context.SetContextMsg
       19          47   Q1Way.Purge
       18          68   MsgPort.Port
       18          64   ProtocolSM.Port
       17     1249795   SysThread.Suspend
       17          71   SysIpL2Addr.operator=(copy)
       16          63   SysIpL3Addr.operator=(copy)
       14          50   TlvMessage.FencePtr
       13         109   SysIpL2Addr.ctor
       13          35   SysIpL3Addr.ctor
       12          76   SysHeap.Alloc
       12          63   Thread.Pause
       12          57   Memory.Alloc
       12          57   Message.RxSbAddr
       12          49   SbIpBuffer.operator new
       12          47   IpBuffer.BuffSize
       11         167   Thread.ExitBlockingOperation
       11         119   Thread.Resume
       11         117   Thread.Ready
       11         116   Thread.Schedule
       11         107   Thread.InitialMsecs
       11          76   ThreadAdmin.WarpFactor
       11          73   SysThread.Wait
       11          71   TlvMessage.FindParm
       11          55   Thread.LogContextSwitch
       11          48   TlvMessage.FirstParm
       11          43   Thread.EnterBlockingOperation
       11          42   Thread.Suspend
       10         256   Message.ClearContext
       10          74   Memory.Copy
       10          47   Event.dtor
       10          40   TlvMessage.FindType
       10          36   Event.ctor
       10          34   Message.Exqueue
       10          31   Event.operator new
       10          31   ServiceSM.EnqEvent
       10          30   ServiceSM.ExqEvent
        9          44   Context.SetState
        9          37   SbIpBuffer.PayloadSize
        9          29   TlvMessage.NextParm
        8         151   SysSocket.SetBlocking
        8          36   InvokerPool.FindWork
        8          27   Thread.RtcPercentUsed
        7          39   Context.Exqueue
        7          26   TlvMessage.CheckFence
        7          24   InvokerThread.ClearContext
        6         145   SysSocket.TracePeer
        6         121   SbIpBuffer.ctor
        6          66   Message.RxFactory
        6          65   SbIpBuffer.ctor(copy)
        6          48   IpBuffer.ctor
        6          41   PotsCallPsm.Cast
        6          40   IpBuffer.ctor(copy)
        6          40   TlvMessage.dtor
        6          38   SysHeap.Free
        6          36   Message.operator new
        6          33   BcEvent.dtor
        6          33   SysThread.Delay
        6          27   IpBuffer.dtor
        6          27   Message.dtor
        6          26   SbIpBuffer.dtor
        6          25   Memory.Free
        6          24   MsgBuffer.ctor
        6          24   MsgBuffer.dtor
        6          23   SbIpBuffer.operator delete
        6          21   Message.TxSbAddr
        6          20   Factory.RecordMsg
        6          20   PotsMessage.dtor
        6          19   MsgHeader.ctor
        6          18   BcEvent.ctor
        6          18   Message.Enqueue
        6          15   MsgBuffer.ctor(copy)
        5          29   Alarm.Create
        5          26   MsgPort.Find
        5          24   Q2Way.Exq
        5          24   ServiceSM.SetNextSap
        5          24   TlvMessage.AddParm
        5          20   Q1Way.Henq
        5          19   TlvMessage.AddType
        5          17   IpBuffer.AddBytes
        5          17   IpPort.RecvsInSequence
        5          16   PotsBcSsm.SetNextSap
        4         122   Context.CaptureTask
        4          51   SysIpL2Addr.ctor(IPv4addr)
        4          36   Context.ProcessWork
        4          31   MsgFactory.CaptureMsg
        4          30   Context.TraceMsg
        4          29   SysSocket.Empty
        4          28   Context.ProcessMsg
        4          28   InvokerThread.ScheduledIn
        4          28   IoThread.InvokeHandler
        4          28   IpPort.BytesRcvd
        4          28   SbExtInputHandler.AllocBuff
        4          27   InvokerPool.Dequeued
        4          26   PotsMessage.ctor(i/c)
        4          26   Pots_NU_Message.dtor
        4          24   InvokerPool.ReceiveMsg
        4          24   PayloadInvokerPool.RecordDelay
        4          23   InvokerPool.ReceiveBuff
        4          22   InvokerThread.SetContext
        4          20   BcReleaseEvent.ctor
        4          18   SbInputHandler.ReceiveBuff
        4          18   SbTracer.MsgStatus
        4          17   Message.Handled
        4          15   BcReleaseEvent.dtor
        4          15   InputHandler.NetworkToHost
        4          15   MsgFactory.ReceiveMsg
        4          15   ProtocolSM.SetState
        4          14   InvokerPool.TraceRxNet
        4          14   InvokerThread.BlockingAllowed
        4          14   Message.ctor(i/c)
        4          14   ProtocolSM.PeerFactory
        4          14   SysUdpSocket.RecvFrom
        4          14   Thread.PauseOver
        4          13   InvokerPool.KickThread
        4          13   NwTracer.BuffStatus
        4          12   Context.EnqMsg
        4          12   Context.Enqueue
        4          12   InvokerPool.Enqueued
        4          12   InvokerPool.ScheduledOut
        4          12   IoThread.ConditionalPause
        4          11   Message.SetPsm
        4          10   TlvMessage.ctor(i/c)
        4           0   SysIpL3Addr.ctor(IPv4addr)
        3          42   ServiceSM.ProcessEvent
        3          14   Context.dtor
        3          13   MediaInfo.ctor
        3          12   Context.ctor
        3          10   Context.operator new
        3          10   MsgContext.dtor
        3          10   ObjectPool.BidToObj
        3          10   PotsCallPsm.SendSignal
        3           9   Factory.IncrContexts
        3           9   MsgContext.ctor
        3           9   Q2Way.Enq
        3           9   Thread.MsecsSinceStart
        3           8   ServiceSM.SetNextState
        3           7   BcSsm.SetNextState
        2         209   Pots_NU_Message.ctor(o/g)
        2          31   Pots_UN_Message.ctor(i/c)
        2          27   PotsShelfFactory.ProcessIcMsg
        2          24   Message.SetSender
        2          23   Message.SetReceiver
        2          22   AnalyzeMsgEvent.ctor
        2          21   BcSsm.CalcPort
        2          18   Pots_NU_Message.ctor(i/c)
        2          14   IpPort.BytesSent
        2          13   Message.Send
        2          13   MsgContext.ProcessIcMsg
        2          13   PotsCircuit.ReceiveMsg
        2          13   PotsMessage.ctor(o/g)
        2          13   TimerRegistry.ProcessWork
        2          12   PotsCallFactory.AllocIcMsg
        2          12   SsmContext.ProcessIcMsg
        2          11   MsgPort.SendMsg
        2          11   ServiceSM.ctor
        2          10   Message.Henqueue
        2          10   PotsCallPsm.ProcessIcMsg
        2          10   PotsCallPsm.ProcessOgMsg
        2          10   ProtocolLayer.SendToLower
        2          10   ProtocolLayer.SendToUpper
        2          10   ProtocolLayer.dtor
        2          10   SbAnalyzeMessage.ProcessEvent
        2          10   ServiceSM.dtor
        2          10   SysUdpSocket.SendBuff
        2           9   Circuit.MakeConn
        2           9   Message.ctor(o/g)
        2           9   PotsCallHandler.ReceiveBuff
        2           9   PotsMessage.AddHeader
        2           9   ProtocolSM.EndOfTransaction
        2           9   ProtocolSM.FindTimer
        2           9   ProtocolSM.HenqReceivedMsg
        2           9   PsmContext.EndOfTransaction
        2           9   PsmFactory.ReceiveMsg
        2           8   InputHandler.HostToNetwork
        2           8   IpBuffer.OutgoingBytes
        2           8   IpBuffer.Send
        2           8   MediaPsm.PrepareOgMsgq
        2           8   Message.Capture
        2           8   Message.SetSignal
        2           8   MsgPort.ReceiveMsg
        2           8   MsgPort.Route
        2           8   PotsBcSsm.TimerPsm
        2           8   PotsCallPsm.Route
        2           8   PotsMessage.AddCause
        2           8   PotsShelfHandler.ReceiveBuff
        2           8   Pots_UN_Message.dtor
        2           8   ProtocolSM.ReceiveMsg
        2           8   ProxyBcSsm.EndOfTransaction
        2           8   ProxyBcSsm.FirstProxy
        2           8   PsmContext.FindPort
        2           8   Q2Way.Henq
        2           8   ServiceSM.EndOfTransaction
        2           8   SsmContext.EndOfTransaction
        2           8   SsmContext.IsIdle
        2           8   SysUdpSocket.SendTo
        2           7   AnalyzeMsgEvent.dtor
        2           7   MediaPsm.EndOfTransaction
        2           7   MediaPsm.ReceiveMsg
        2           7   MsgContext.EndOfTransaction
        2           7   PotsCallPsm.SendCause
        2           7   ProtocolLayer.EnsureLower
        2           7   ProtocolLayer.RootSsm
        2           7   ProtocolSM.AddressesUnknown
        2           7   ProtocolSM.UnwrapMsg
        2           7   ProxyBcSsm.CalcPort
        2           7   TlvMessage.Send
