FUNCTION PROFILE: May-25-2022 17:43:06.939 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      129         183   Q1Way.Enq
      118         219   Q1Way.Deq
      117         210   ObjectPool.DeqBlock
      117         178   Pooled.ctor
      104         226   Context.RunningContextTraced
       87         156   ObjectPool.EnqBlock
       87         142   Pooled.operator delete
       72          40   C++.delete
       65         103   Context.RunningContext
       54          83   Q1Way.Exq
       47         169   SysIpL2Addr.dtor
       47          86   SysIpL3Addr.dtor
       46         374   Gate.Notify
       46         139   Thread.Interrupt
       46         125   SysThread.Interrupt
       45     2832096   Gate.WaitFor
       45         149   SysThread.Suspend
       45          68   ProtocolSM.Port
       44          60   Context.SetContextMsg
       42          69   TlvMessage.FencePtr
       42          54   MsgPort.Port
       40          60   Q1Way.Init
       38          57   Q1Way.Purge
       36          42   SbIpBuffer.PayloadSize
       34         173   Thread.Pause
       34          70   SysIpL3Addr.ctor
       34          62   SysIpL2Addr.ctor
       34          41   IPv6Addr.ctor
       30          71   SbIpBuffer.operator new
       30          51   Message.RxSbAddr
       30          45   NetworkBase.AllocByteBuff
       30          45   SmallBuffer.operator new
       30          44   IpBuffer.AllocBuff
       28         621   Thread.LogContextSwitch
       28         168   SysMutex.Acquire
       28         148   Thread.Resume
       28         143   Thread.ExitBlockingOperation
       28         109   Thread.InitialTime
       28         107   MutexGuard.ctor
       28         107   Thread.Ready
       28          95   Thread.Suspend
       28          92   ThreadAdmin.WarpFactor
       28          89   SysMutex.Release
       28          89   Thread.EnterBlockingOperation
       28          77   Thread.Schedule
       28          75   MutexGuard.Release
       28          72   MutexGuard.dtor
       28          71   SysThread.Wait
       27          48   TlvMessage.FindParm
       27          43   TlvMessage.FirstParm
       26         442   Message.ClearContext
       26          43   TlvMessage.NextParm
       26          36   Message.Exqueue
       24          54   Event.ctor
       24          54   Memory.Copy
       24          53   TlvMessage.FindType
       24          52   Event.dtor
       24          51   Event.operator new
       24          35   ServiceSM.EnqEvent
       24          35   ServiceSM.ExqEvent
       21          26   TlvMessage.CheckFence
       21          22   Context.SetState
       19          62   SysSocket.SetBlocking
       18          28   Thread.RtcPercentUsed
       17          66   SysThread.Delay
       17          33   InvokerPool.FindWork
       15         115   SbIpBuffer.ctor
       15          50   BcEvent.ctor
       15          46   SbIpBuffer.ctor(copy)
       15          44   IpBuffer.ctor
       15          42   IpBuffer.dtor
       15          42   Message.dtor
       15          37   SysSocket.TracePeer
       15          35   IpBuffer.ctor(copy)
       15          34   TlvMessage.AddParm
       15          30   SbIpBuffer.dtor
       15          29   MsgBuffer.dtor
       15          27   Context.Exqueue
       15          27   SbIpBuffer.operator delete
       15          24   MsgHeader.ctor
       15          24   TlvMessage.dtor
       15          22   InvokerThread.ClearContext
       15          22   Message.operator new
       15          20   BcEvent.dtor
       15          19   Message.TxSbAddr
       15          19   TlvMessage.AddType
       15          18   MsgBuffer.ctor
       15          17   IpBuffer.AddBytes
       15          16   Message.Enqueue
       15          16   MsgBuffer.ctor(copy)
       15          13   Factory.RecordMsg
       13          21   Message.RxFactory
       13          18   PotsBcSsm.SetNextSap
       13          15   ServiceSM.SetNextSap
       12          17   PotsCallPsm.Cast
       12          15   Q2Way.Exq
       11          70   Thread.CurrTimeRunning
       11          45   ServiceSM.SetNextSnp
       11          29   Message.SetPsm
       11          21   Message.Handled
       11          18   PotsMessage.dtor
       11          18   Q1Way.Henq
       11          16   IpPort.RecvsInSequence
       11          16   PotsBcSsm.SetNextSnp
       11          13   ProtocolSM.SetState
