FUNCTION PROFILE: May-25-2022 18:12:18.835 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
    41065           0   Q1Way.Enq
    36643           0   Q1Way.Deq
    34386           0   ObjectPool.DeqBlock
    34386           0   Pooled.ctor
    25061           0   Context.RunningContextTraced
    24022           0   ObjectPool.EnqBlock
    24022           0   Pooled.operator delete
    20342           0   Context.RunningContext
    15192           0   SysIpL2Addr.dtor
    15192           0   SysIpL3Addr.dtor
    15124           0   TlvMessage.FencePtr
    12718           0   SbIpBuffer.PayloadSize
    12652           0   Q1Way.Exq
    12280           0   ProtocolSM.Port
    11465           0   MsgPort.Port
    11448           0   Context.SetContextMsg
    10940           0   IPv6Addr.ctor
    10940           0   SysIpL2Addr.ctor
    10940           0   SysIpL3Addr.ctor
    10364           0   IpBuffer.AllocBuff
    10364           0   NetworkBase.AllocByteBuff
    10364           0   SbIpBuffer.operator new
    10364           0   SmallBuffer.operator new
    10238           0   Message.RxSbAddr
     9286           0   Message.ClearContext
     9286           0   Message.Exqueue
     8777           0   Thread.Interrupt
     8773           0   Gate.Notify
     8770           0   SysThread.Interrupt
     8390           0   Gate.WaitFor
     8390           0   SysThread.Suspend
     7772           0   Memory.Copy
     7562           0   TlvMessage.CheckFence
     7448           0   TlvMessage.FindParm
     7448           0   TlvMessage.FirstParm
     7334           0   MutexGuard.Release
     7334           0   MutexGuard.ctor
     7334           0   MutexGuard.dtor
     7334           0   SysMutex.Acquire
     7334           0   SysMutex.Release
     6656           0   TlvMessage.FindType
     6616           0   TlvMessage.NextParm
     6587           0   Q1Way.Init
     6393           0   Context.SetState
     6297           0   Q1Way.Purge
     5372           0   SysSocket.SetBlocking
     5258           0   SysThread.Wait
     5258           0   Thread.EnterBlockingOperation
     5258           0   Thread.InitialTime
     5258           0   Thread.LogContextSwitch
     5258           0   Thread.Resume
     5258           0   Thread.Schedule
     5258           0   Thread.Suspend
     5258           0   ThreadAdmin.WarpFactor
     5241           0   Thread.Ready
     5227           0   Q2Way.Exq
     5207           0   Thread.RtcPercentUsed
     5198           0   Thread.ExitBlockingOperation
     5195           0   Factory.RecordMsg
     5195           0   Message.TxSbAddr
     5182           0   IpBuffer.ctor
     5182           0   IpBuffer.ctor(copy)
     5182           0   IpBuffer.dtor
     5182           0   Message.dtor
     5182           0   Message.operator new
     5182           0   MsgBuffer.ctor
     5182           0   MsgBuffer.ctor(copy)
     5182           0   MsgBuffer.dtor
     5182           0   MsgHeader.ctor
     5182           0   SbIpBuffer.ctor
     5182           0   SbIpBuffer.ctor(copy)
     5182           0   SbIpBuffer.dtor
     5182           0   SbIpBuffer.operator delete
     5182           0   TlvMessage.dtor
     5156           0   SysSocket.TracePeer
     5044           0   Event.ctor
     5044           0   Event.dtor
     5044           0   Event.operator new
     5044           0   ServiceSM.EnqEvent
     5044           0   ServiceSM.ExqEvent
     4958           0   IpBuffer.AddBytes
     4958           0   TlvMessage.AddParm
     4958           0   TlvMessage.AddType
     4477           0   Q2Way.Enq
     4345           0   Message.Enqueue
     4224           0   InvokerPool.FindWork
     4104           0   Message.Handled
     3971           0   Context.Exqueue
     3971           0   InvokerThread.ClearContext
     3882           0   PotsMessage.dtor
     3795           0   GlobalAddress.dtor
     3682           0   Message.RxFactory
     3315           0   NwTracer.BuffStatus
     3315           0   SbTracer.MsgStatus
     3254           0   Message.SetPsm
     3228           0   ProtocolSM.SetState
     3133           0   SysThread.Delay
     3017           0   Alarm.Create
     2932           0   Context.TraceMsg
     2918           0   BcEvent.ctor
     2918           0   BcEvent.dtor
     2757           0   MsgPort.Find
     2632           0   MediaPsm.EndOfTransaction
     2632           0   MediaPsm.PrepareOgMsgq
     2632           0   ProtocolSM.EndOfTransaction
     2630           0   Message.SetProtocol
     2629           0   Thread.PauseOver
     2604           0   InvokerPool.ReceiveMsg
     2604           0   Message.Capture
     2604           0   Message.Send
     2604           0   Message.SetReceiver
     2604           0   Message.SetSender
     2604           0   Message.SetSignal
     2604           0   Message.ctor(o/g)
     2604           0   TlvMessage.Send
     2604           0   TlvMessage.ctor(o/g)
     2591           0   Context.CaptureTask
     2591           0   Context.EnqMsg
     2591           0   Context.Enqueue
     2591           0   Context.ProcessMsg
     2591           0   Context.ProcessWork
     2591           0   InvokerPool.Dequeued
     2591           0   InvokerPool.Enqueued
     2591           0   InvokerPool.KickThread
     2591           0   InvokerThread.SetContext
     2591           0   MsgFactory.ReceiveMsg
     2591           0   PayloadInvokerPool.RecordDelay
     2578           0   InputHandler.HostToNetwork
     2578           0   InputHandler.NetworkToHost
     2578           0   InvokerPool.ReceiveBuff
     2578           0   IoThread.ConditionalPause
     2578           0   IoThread.InvokeHandler
     2578           0   IpBuffer.OutgoingBytes
     2578           0   IpBuffer.Send
     2578           0   IpPort.BytesRcvd
     2578           0   IpPort.BytesSent
     2578           0   Message.ctor(i/c)
     2578           0   SbInputHandler.ReceiveBuff
     2578           0   SessionBase.TraceRxNet
     2578           0   SysIpL2Addr.HostToNetwork(IPv6)
     2578           0   SysIpL2Addr.NetworkToHost(IPv6)
     2578           0   SysIpL3Addr.HostToNetwork(IPv6)
     2578           0   SysIpL3Addr.NetworkToHost(IPv6)
     2578           0   SysSocket.Empty
     2578           0   SysUdpSocket.RecvFrom
     2578           0   SysUdpSocket.SendBuff
     2578           0   SysUdpSocket.SendTo
     2578           0   TlvMessage.ctor(i/c)
     2565           0   SessionBase.CaptureMsg
     2507           0   ProtocolLayer.RootSsm
     2506           0   Q1Way.Henq
     2308           0   ObjectPool.BidToObj
     2294           0   PotsBcSsm.SetNextSnp
     2294           0   ServiceSM.SetNextSnp
     2276           0   IpPortRegistry.LocalAddr
     2182           0   Pots_NU_Message.dtor
     2182           0   ProtocolSM.PeerFactory
     2171           0   Thread.CurrTimeRunning
     2168           0   BcSsm.SetNextState
     2168           0   GlobalAddress.ctor(L2addr, port, factory)
     2168           0   ServiceSM.SetNextState
     2168           0   SysIpL3Addr.ctor(L2addr)
     2125           0   IpPort.RecvsInSequence
     2067           0   PotsBcSsm.SetNextSap
     2067           0   ServiceSM.SetNextSap
     1941           0   PotsMessage.AddHeader
     1941           0   PotsMessage.ctor(i/c)
     1941           0   PotsMessage.ctor(o/g)
     1941           0   SbExtInputHandler.AllocBuff
     1924           0   Memory.Free
     1924           0   NbHeap.BlockToSize
     1924           0   NbHeap.Free
     1921           0   PotsCallPsm.Cast
     1767           0   MediaPsm.SetOgPort
     1754           0   ProtocolSM.EnqOgMsg
     1754           0   ProtocolSM.GetProtocol
     1728           0   MsgPort.Route
     1728           0   MsgPort.SendMsg
     1728           0   MsgPort.WrapMsg
     1728           0   ProtocolLayer.EnsureLower
     1728           0   ProtocolLayer.SendToLower
     1728           0   ProtocolSM.AddressesUnknown
     1700           0   Pots_UN_Message.dtor
     1633           0   InvokerPool.ScheduledOut
     1633           0   InvokerThread.BlockingAllowed
     1633           0   InvokerThread.ScheduledIn
     1569           0   MediaInfo.ctor
     1513           0   PsmFactory.ReceiveMsg
     1513           0   SsmFactory.ReceiveMsg
     1500           0   AnalyzeMsgEvent.ctor
