FUNCTION PROFILE: May-25-2022 18:18:55.807 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      403        1770   SysMutex.Acquire
      403        1168   MutexGuard.Release
      403         915   SysMutex.Release
      403         816   MutexGuard.dtor
      403         800   MutexGuard.ctor
      246         730   Gate.Notify
      246         462   Thread.Interrupt
      246         431   SysThread.Interrupt
      190         663   Thread.Pause
      175         421   Memory.Free
      157         166   CliBuffer.CalcType
      145         475   NbHeap.Free
      145         322   NbHeap.BlockToSize
      145          81   C++.delete
      133     1719034   Gate.WaitFor
      133         274   SysThread.Suspend
      119        1332   Thread.LogContextSwitch
      119         249   Thread.Suspend
      119         210   Thread.Schedule
      109        7480   Thread.ExitBlockingOperation
      109         261   Thread.Resume
      109         255   Thread.Ready
      109         212   Thread.InitialTime
      109         200   SysThread.Wait
      109         186   Thread.EnterBlockingOperation
      109         155   ThreadAdmin.WarpFactor
       90         185   Dynamic.operator delete
       81        1268   Registry.Erase
       80         193   StatisticsRegistry.UnbindStat
       80         182   Statistic.dtor
       80         129   Q1Way.Deq
       61          74   Q1Way.Enq
       50         113   Counter.dtor
       47          76   ThreadRegistry.GetState
       41          76   ObjectPool.DeqBlock
       41          47   Pooled.ctor
       39         142   MainArgs.At
       39          72   MsgBuffer.ctor
       39          59   FunctionGuard.Release
       38          55   FunctionGuard.ctor
       38          46   FunctionGuard.dtor
       37       11211   SysFile.CreateOstream
       37          91   StreamRequest.ctor
       37          83   Thread.EnqMsg
       37          60   MsgBuffer.operator new
       37          42   Q1Way.Size
       34          73   Thread.MakeUnpreemptable
       33          64   Thread.MakePreemptable
       32          58   Thread.DeqMsg
       30          88   SysHeap.BlockToSize
       30          70   SysHeap.Free
       30          69   HighWatermark.dtor
       30          57   ObjectPool.EnqBlock
       30          56   Permanent.operator delete
       30          52   Pooled.operator delete
       30          41   Heap.SetPermissions
       29          30   MsgBuffer.dtor
       28          51   StreamRequest.dtor
       25          35   CliBuffer.FindNextNonBlank
       24          50   SysThread.Delay
       23         413   LogGroupRegistry.FindGroup
       23          30   Log.Find
       23          19   LogGroup.FindLog
       21          88   FileThread.Spool(written)
       20          50   FileThread.Record
       20          48   FileThread.Spool(string)
       20          30   LeakyBucketCounter.dtor
       20           7   MutexRegistry.Abandon
       19          75   CoutThread.Spool(stream)
       19          53   FileRequest.ctor
       18          55   CliBuffer.GetStr
       18          26   CliBuffer.GetNextInput
       16          36   CliIncrement.FindCommand
       16          12   SysIpL3Addr.L2AddrMatches
       14          22   FileRequest.dtor
       12          18   CliText.AccessParm
       12          13   Log.Find(log)
       11       29628   Exception.dtor
       11         766   Exception.ctor
       11         762   Thread.ExtendTime
       11         659   Thread.ExitSwLog
       11         140   NodeBase.GetLogType
       11          38   Log.Format
       11          21   Thread.Start
       11          20   Log.Submit
       11          17   Log.Create
       11          17   SysThread.Start
       11          13   Debug.SwFlagOn
       10        3657   ThreadStats.dtor
       10         459   Thread.TrapHandler
       10         245   SysMemory.Protect
       10          41   Thread.Purge
       10          40   Thread.Start(initializing)
       10          31   LogThread.Spool
       10          31   Thread.dtor
       10          30   ThreadPriv.dtor
       10          30   ThreadRegistry.Destroying
       10          29   Accumulator.dtor
       10          29   Thread.ReleaseResources
       10          28   SysThread.Delete
       10          28   Thread.Exit
       10          27   ThreadRegistry.Exiting
       10          24   Singleton.Destroy
       10          23   SysThread.dtor
       10          22   CliBuffer.GetLine
       10          21   NodeBase.EnterThread
       10          20   SignalException.dtor
       10          18   Heap.SetAttrs
       10          12   Thread.RegisterForSignals
       10           9   CliStack.Top
       10           7   Thread.LogSignal
       10           3   Thread.LogTrap
       10           3   Thread.SetSignal
       10           0   SignalException.ctor
        9          31   CoutThread.Spool(string)
        9          26   Singletons.UnbindInstance
        9          13   Registry.Size
        8          72   Daemon.Find
        8          35   CliThread.Flush
        8          26   CliBuffer.ScanLine
        8          22   Daemon.ThreadDeleted
        8          17   CliThread.ParseCommand
        8          14   CliStack.FindCommand(incr)
        8          10   CliStack.FindCommand
        7          37   SymbolRegistry.FindSymbol
        7          25   CliThread.InvokeCommand
        7          22   CliCookie.Initialize
        7          12   Symbol.SetValue
        7          12   SymbolRegistry.EnsureSymbol
        7           8   CliCookie.Advance
        7           8   CliThread.EndOfInput
        6          15   CliIncrement.Exit
        6          12   CliThread.SetResult
        5         188   Thread.MemUnprotect
        5         119   Thread.MemProtect
        5          19   SysIpL2Addr.ctor
        5          14   Temporary.operator delete
        5          11   SysIpL3Addr.ctor
        5           9   IPv6Addr.ctor
        5           7   CliTextParm.GetStringRc
        4          38   SysSocket.SetBlocking
        4          10   CliCommand.GetStringRc
        4           9   CliCommand.GetTextParmRc
        4           8   CliTextParm.GetTextParmRc
        4           7   CliTextParm.Descend
        4           6   CliParm.GetTextIndex
        4           3   Registry.Empty
        3          33   CliThread.SetAppData
        3          18   Thread.CurrTimeRunning
        3          15   CliThread.Report1
