FUNCTION PROFILE: May-25-2022 17:43:28.456 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      192         542   Q1Way.Enq
      182         640   Q1Way.Deq
      181         701   Pooled.ctor
      181         585   ObjectPool.DeqBlock
      150         723   Context.RunningContextTraced
      131         401   ObjectPool.EnqBlock
      131         362   Pooled.operator delete
      108         312   Context.RunningContext
      106          72   C++.delete
       91         708   Gate.Notify
       91         316   Thread.Interrupt
       91         281   SysThread.Interrupt
       84     6825499   Gate.WaitFor
       84         257   SysThread.Suspend
       81         530   SysIpL2Addr.dtor
       81         254   SysIpL3Addr.dtor
       79         197   Q1Way.Exq
       75         214   ProtocolSM.Port
       74         214   TlvMessage.FencePtr
       68         167   MsgPort.Port
       66         206   Thread.Pause
       66         192   Context.SetContextMsg
       61         325   SbIpBuffer.PayloadSize
       59         250   SysIpL3Addr.ctor
       59         227   SysIpL2Addr.ctor
       59         155   IPv6Addr.ctor
       51        1070   Thread.LogContextSwitch
       51         331   Thread.ExitBlockingOperation
       51         300   Thread.Resume
       51         282   SysMutex.Acquire
       51         241   Thread.InitialTime
       51         180   Thread.Ready
       51         159   Thread.Suspend
       51         158   SysThread.Wait
       51         156   ThreadAdmin.WarpFactor
       51         151   MutexGuard.ctor
       51         150   Thread.Schedule
       51         147   SysMutex.Release
       51         141   Thread.EnterBlockingOperation
       51         128   MutexGuard.Release
       51         128   MutexGuard.dtor
       50         185   SbIpBuffer.operator new
       50         165   NetworkBase.AllocByteBuff
       50         155   IpBuffer.AllocBuff
       50         152   SmallBuffer.operator new
       49         163   Message.RxSbAddr
       48         130   Q1Way.Init
       46          66   Q1Way.Purge
       45        1112   Message.ClearContext
       45         136   Message.Exqueue
       43         132   TlvMessage.FindParm
       43         115   TlvMessage.FirstParm
       38         178   Memory.Copy
       38         106   TlvMessage.FindType
       37         104   TlvMessage.CheckFence
       34         207   SysSocket.SetBlocking
       34          89   TlvMessage.NextParm
       34          77   Context.SetState
       33         130   SysThread.Delay
       32         224   Event.ctor
       32         120   ServiceSM.EnqEvent
       32         118   Event.operator new
       32         102   Event.dtor
       32          94   ServiceSM.ExqEvent
       27          67   Thread.RtcPercentUsed
       26          84   Message.TxSbAddr
       26          56   Factory.RecordMsg
       25         389   SbIpBuffer.ctor
       25         149   SbIpBuffer.ctor(copy)
       25         141   IpBuffer.ctor
       25         109   IpBuffer.dtor
       25         104   TlvMessage.AddParm
       25         102   IpBuffer.ctor(copy)
       25          94   Message.dtor
       25          84   MsgBuffer.ctor
       25          82   SbIpBuffer.dtor
       25          79   InvokerPool.FindWork
       25          75   SbIpBuffer.operator delete
       25          71   IpBuffer.AddBytes
       25          71   TlvMessage.AddType
       25          70   Message.operator new
       25          70   TlvMessage.dtor
       25          69   Thread.CurrTimeRunning
       25          68   Message.Enqueue
       25          66   MsgBuffer.dtor
       25          64   MsgBuffer.ctor(copy)
       25          59   MsgHeader.ctor
       24         133   SysSocket.TracePeer
       22          63   Context.Exqueue
       22          57   InvokerThread.ClearContext
       20          71   Message.Handled
       20          68   Message.RxFactory
       19          61   GlobalAddress.dtor
       19          55   Message.SetPsm
       19          49   Q2Way.Exq
       18          51   ProtocolSM.SetState
       18          33   IpPort.RecvsInSequence
       17          95   BcEvent.ctor
       17          51   BcEvent.dtor
       17          35   Context.TraceMsg
       16          45   PotsMessage.dtor
       16          45   Q1Way.Henq
       15          52   PotsBcSsm.SetNextSnp
       15          50   ProtocolSM.EndOfTransaction
       15          49   MediaPsm.PrepareOgMsgq
       15          48   Alarm.Create
       15          48   ProtocolLayer.RootSsm
       15          44   MediaPsm.EndOfTransaction
       15          44   ServiceSM.SetNextSnp
       15          36   ServiceSM.SetNextState
       14         241   Context.CaptureTask
       14          61   Context.ProcessMsg
       14          61   InvokerPool.ReceiveMsg
       14          55   MsgFactory.ReceiveMsg
       14          48   PayloadInvokerPool.RecordDelay
       14          44   Context.Enqueue
       14          44   Context.ProcessWork
       14          42   MsgPort.Find
       14          41   InvokerPool.KickThread
       14          41   InvokerThread.SetContext
       14          36   Context.EnqMsg
       14          32   Thread.PauseOver
       14          31   InvokerPool.Dequeued
       14          29   InvokerPool.Enqueued
       13        1759   SysUdpSocket.RecvFrom
       13          83   SysSocket.Empty
       13          72   SessionBase.CaptureMsg
       13          52   IoThread.InvokeHandler
       13          49   SbTracer.MsgStatus
       13          45   InvokerPool.ReceiveBuff
       13          42   SysIpL3Addr.NetworkToHost(IPv6)
       13          40   BcSsm.SetNextState
       13          39   IpPort.BytesRcvd
       13          36   SbInputHandler.ReceiveBuff
       13          35   Message.SetProtocol
       13          35   Q2Way.Enq
       13          35   SessionBase.TraceRxNet
       13          35   SysIpL2Addr.NetworkToHost(IPv6)
       13          35   TlvMessage.ctor(i/c)
       13          30   IoThread.ConditionalPause
       13          26   InputHandler.NetworkToHost
       13          25   Message.ctor(i/c)
       13          25   NwTracer.BuffStatus
       12          77   Message.Send
       12          65   Message.ctor(o/g)
       12          48   MediaInfo.ctor
       12          42   TlvMessage.Send
       12          40   PotsBcSsm.SetNextSap
       12          39   TlvMessage.ctor(o/g)
       12          38   Message.SetReceiver
       12          35   Message.SetSender
       12          34   ProtocolSM.PeerFactory
       12          31   Message.SetSignal
       12          30   Pots_NU_Message.dtor
       12          30   ServiceSM.SetNextSap
       12          25   Message.Capture
       12          15   PotsCallPsm.Cast
       11         615   SysIpL2Addr.HostToNetwork(IPv6)
       11          84   ServiceSM.ProcessEvent
       11          68   IpPort.BytesSent
       11          61   SysUdpSocket.SendBuff
       11          56   IpBuffer.Send
       11          53   IpPortRegistry.LocalAddr
       11          44   SysUdpSocket.SendTo
       11          42   ProtocolSM.EnqOgMsg
       11          40   SysIpL3Addr.HostToNetwork(IPv6)
       11          38   InputHandler.HostToNetwork
       11          35   InvokerThread.ScheduledIn
       11          35   ObjectPool.BidToObj
       11          34   IpBuffer.OutgoingBytes
       11          31   ProtocolSM.GetProtocol
