FUNCTION PROFILE: 20-Dec-2020 11:12:38.883 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      136         662   Q1Way.Enq
      128         813   Context.RunningContextTraced
      104         664   Q1Way.Deq
      104         600   ObjectPool.DeqBlock
      104         546   Pooled.ctor
       87        1829   SysThread.Resume
       87         968   Thread.Interrupt
       87         858   SysThread.Interrupt
       86         348   ObjectPool.EnqBlock
       86         302   Pooled.operator delete
       86          36   C++.delete
       80     9799740   SysThread.Suspend
       76         388   Context.RunningContext
       73         457   SysIpL2Addr.dtor
       65         288   Q1Way.Exq
       64         308   SysIpL3Addr.dtor
       60         663   Thread.Pause
       60         292   Context.SetContextMsg
       53         258   MsgPort.Port
       53         221   ProtocolSM.Port
       52         211   TlvMessage.FencePtr
       50        4823   Thread.LogContextSwitch
       50        2681   SysMutex.Acquire
       50         890   Thread.Resume
       50         805   Thread.ExitBlockingOperation
       50         793   Thread.InitialTime
       50         780   ThreadAdmin.WarpFactor
       50         658   SysMutex.Release
       50         523   Thread.Schedule
       50         485   Thread.Ready
       50         465   Thread.EnterBlockingOperation
       50         444   MutexGuard.ctor
       50         440   SysThread.Wait
       50         411   Thread.Suspend
       50         297   MutexGuard.dtor
       50         278   MutexGuard.Release
       45         588   SysIpL2Addr.ctor
       45         201   SysIpL3Addr.ctor
       44         239   Q1Way.Init
       42         157   Q1Way.Purge
       38         372   SysHeap.Alloc
       38         225   Memory.Alloc
       38         202   IpBuffer.BuffSize
       36         255   Message.RxSbAddr
       36         226   SbIpBuffer.operator new
       35         929   SysSocket.SetBlocking
       34         140   TlvMessage.FirstParm
       34         135   TlvMessage.FindParm
       33         123   TlvMessage.NextParm
       32         153   TlvMessage.FindType
       31         826   Message.ClearContext
       31         291   Memory.Copy
       31         159   SbIpBuffer.PayloadSize
       31         133   Message.Exqueue
       30         292   SysThread.Delay
       29         117   ServiceSM.EnqEvent
       29         116   Event.operator new
       29         113   Event.ctor
       29         106   ServiceSM.ExqEvent
       29          87   Event.dtor
       28         148   Context.SetState
       26         100   TlvMessage.CheckFence
       24         136   InvokerPool.FindWork
       23         172   Thread.CurrTimeRunning
       23         125   Thread.RtcPercentUsed
       20         156   IpPort.RecvsInSequence
       20         110   SysHeap.BlockToSize
       20         108   Context.Exqueue
       20          88   InvokerThread.ClearContext
       20          79   SysHeap.Free
       20          73   Memory.Free
       19         134   Message.TxSbAddr
       19         122   Factory.RecordMsg
       19          97   Message.Enqueue
       19          76   TlvMessage.AddParm
       19          74   TlvMessage.AddType
       19          73   IpBuffer.AddBytes
       18         433   SbIpBuffer.ctor
       18         343   TimerRegistry.ProcessWork
       18         192   SbIpBuffer.ctor(copy)
       18         128   Message.RxFactory
       18         126   MsgBuffer.ctor
       18         123   MsgHeader.ctor
       18         120   Message.operator new
       18         104   MsgBuffer.ctor(copy)
       18         103   IpBuffer.ctor
       18          99   IpBuffer.ctor(copy)
       18          65   PotsCallPsm.Cast
       18          64   SbIpBuffer.dtor
       18          64   TlvMessage.dtor
       18          63   MsgBuffer.dtor
       18          60   IpBuffer.dtor
       18          60   SbIpBuffer.operator delete
       18          59   Message.dtor
       17         211   SysSocket.TracePeer
       17         107   Q2Way.Exq
       17          62   PotsMessage.dtor
       15          86   BcEvent.ctor
       15          65   Q1Way.Henq
       15          50   BcEvent.dtor
       14         113   Alarm.Create
       13          68   MsgPort.Find
       13          66   ServiceSM.SetNextSap
       13          62   Message.SetPsm
       13          54   Message.Handled
       13          49   PotsBcSsm.SetNextSap
       12         431   Context.CaptureTask
       12         111   InvokerPool.ReceiveMsg
       12         105   InvokerThread.ScheduledIn
       12          85   Context.ProcessMsg
       12          81   InvokerPool.Dequeued
       12          75   InvokerThread.SetContext
       12          72   Context.ProcessWork
       12          72   PayloadInvokerPool.RecordDelay
       12          65   MsgFactory.ReceiveMsg
       12          64   Context.Enqueue
       12          63   ProtocolSM.SetState
       12          61   Context.EnqMsg
       12          58   Pots_NU_Message.dtor
       12          57   InvokerPool.KickThread
       12          53   InvokerPool.ScheduledOut
       12          53   InvokerPool.Enqueued
       12          53   Context.TraceMsg
       12          47   ProtocolSM.PeerFactory
       12          46   InvokerThread.BlockingAllowed
       12          46   Thread.PauseOver
       11        7205   SysUdpSocket.RecvFrom
       11         169   PotsMessage.ctor(i/c)
       11         155   MsgFactory.CaptureMsg
       11         146   SysIpL2Addr.ctor(IPv4addr)
       11         133   SysSocket.Empty
       11         101   SbInputHandler.ReceiveBuff
       11          99   InvokerPool.ReceiveBuff
       11          92   IpPort.BytesRcvd
       11          84   Message.ctor(i/c)
       11          83   SbTracer.MsgStatus
       11          83   IoThread.InvokeHandler
       11          81   InvokerPool.TraceRxNet
       11          76   SbExtInputHandler.AllocBuff
       11          74   NwTracer.BuffStatus
       11          73   InputHandler.NetworkToHost
       11          73   TlvMessage.ctor(i/c)
       11          61   ServiceSM.ProcessEvent
       11          44   IoThread.ConditionalPause
       11          41   ServiceSM.SetNextState
       11           0   SysIpL3Addr.ctor(IPv4addr)
       10          51   Q2Way.Enq
       10          43   PotsCallPsm.SendSignal
       10          37   PotsProfile.FindFeature
        9     7479086   SysTcpSocket.Poll
        9         291   SysTcpSocket.Accept
        9         227   IpPortRegistry.HostAddress
        9         201   SysIpL2Addr.IsValid
        9         199   SysSocket.SetError
        9         145   TcpIoThread.AcceptConn
        9          95   TcpIoThread.PollSockets
        9          54   ObjectPool.BidToObj
        9          52   BcSsm.SetNextState
        9          46   ProtocolSM.FindTimer
        8          65   Factory.IncrContexts
        8          52   MsgContext.ctor
        8          50   Context.ctor
        8          43   Context.operator new
        8          32   Message.SetProtocol
        8          29   MsgContext.dtor
        8          27   Context.dtor
        8          27   Initiator.InvokeHandler
        7          59   BcReleaseEvent.ctor
        7          50   TlvMessage.Send
        7          49   PotsBcSsm.SetNextSnp
        7          37   BcSsm.CalcPort
        7          33   Circuit.MakeConn
        7          32   ProxyBcSsm.CalcPort
        7          31   Message.SetReceiver
        7          31   TlvMessage.ctor(o/g)
        7          31   ProtocolSM.GetProtocol
        7          31   Message.SetSender
        7          31   ServiceSM.EndOfTransaction
        7          30   SbAnalyzeMessage.ProcessEvent
        7          30   Message.SetSignal
        7          29   PotsBcSsm.TimerPsm
        7          28   Message.Send
        7          28   Message.ctor(o/g)
        7          28   ProtocolSM.EnqOgMsg
        7          28   ServiceSM.SetNextSnp
        7          27   Message.Capture
        7          26   BcReleaseEvent.dtor
        7          24   Q2Way.Henq
        6         745   Pots_NU_Message.ctor(o/g)
        6         135   Pots_NU_Message.ctor(i/c)
        6          54   PotsShelfHandler.ReceiveBuff
        6          47   PotsMessage.ctor(o/g)
        6          47   PotsShelfFactory.AllocIcMsg
        6          40   IpBuffer.Send
        6          38   ProtocolLayer.RootSsm
        6          38   SysUdpSocket.SendBuff
        6          36   PotsCallPsm.ProcessIcMsg
        6          35   PsmContext.FindPort
        6          34   IpPort.BytesSent
        6          34   ProtocolLayer.SendToUpper
        6          34   SsmContext.ProcessIcMsg
        6          32   MediaPsm.UpdateIcMedia
        6          32   MsgPort.ReceiveMsg
        6          31   MediaInfo.ctor
        6          31   PsmFactory.ReceiveMsg
        6          31   AnalyzeMsgEvent.ctor
        6          30   SsmFactory.ReceiveMsg
        6          30   ProtocolSM.HenqReceivedMsg
        6          28   Timer.Exqueue
        6          27   MediaPsm.ReceiveMsg
        6          27   SsmContext.IsIdle
        6          26   ProtocolSM.UnwrapMsg
        6          26   ProtocolSM.ReceiveMsg
        6          26   PotsShelfFactory.ProcessIcMsg
        6          25   MediaPsm.PrepareOgMsgq
        6          25   ProxyBcSsm.FirstProxy
        6          25   SysUdpSocket.SendTo
        6          25   MsgContext.EndOfTransaction
        6          25   MsgPort.Route
        6          25   InputHandler.HostToNetwork
        6          25   Message.Henqueue
        6          24   MediaPsm.EndOfTransaction
        6          24   PotsCallPsm.ProcessOgMsg
        6          24   MsgContext.ProcessIcMsg
        6          24   ProtocolLayer.SendToLower
        6          24   ProtocolLayer.EnsureLower
        6          24   SsmContext.EndOfTransaction
        6          24   PsmContext.EndOfTransaction
        6          24   IpBuffer.OutgoingBytes
        6          24   MsgPort.WrapMsg
        6          24   ProtocolSM.AddressesUnknown
        6          23   PotsMessage.AddHeader
        6          23   ProxyBcSsm.EndOfTransaction
        6          23   MsgPort.SendMsg
        6          23   PotsCallPsm.Route
        6          23   ProtocolSM.EndOfTransaction
        6          23   AnalyzeMsgEvent.dtor
        6          23   PotsCircuit.ReceiveMsg
        6          21   DigitString.Size
        6          18   PotsProfile.HasFeature
        5          95   Pots_UN_Message.ctor(i/c)
        5          53   PotsCallHandler.ReceiveBuff
        5          51   PotsCallFactory.AllocIcMsg
        5          22   ServiceSM.DeleteIdleModifier
        5          20   ToneRegistry.ToneToPort
        5          19   MediaPsm.SetOgPort
        5          19   MediaPsm.SetOgTone
        5          18   Timer.Deregister
        5          18   Pots_UN_Message.dtor
        5          18   Timer.dtor
        5          17   Timer.operator new
        5          17   TimerRegistry.CalcQId
        5          16   ProtocolSM.StartTimer
        5          16   Event.BuildSap
        5          15   AnalyzeSapEvent.ctor
        5          14   AnalyzeSapEvent.dtor
        5           0   Timer.ctor
        4          28   PotsCircuit.SetState
        4          19   ProtocolSM.StopTimer
        4          18   PotsMessage.AddCause
        4          17   PotsCallPsm.SendCause
        4          16   GlobalAddress.ctor(L3addr, locaddr)
        4          16   GlobalAddress.dtor
        4          16   ProtocolLayer.dtor
        4          15   SsmContext.SetRoot
        4          14   ServiceSM.ctor
        4          14   PotsCallPsm.EnsureMediaMsg
        4          14   MediaPsm.UpdateOgMedia
        4          14   ServiceSM.dtor
        4          14   PotsCallPsm.ReportDigits
        4          14   PotsBcSsm.StartTimer
        4          13   Pots_NU_Message.AddScan
        4          13   ServiceSM.operator new
        4          12   ServiceSM.ProcessInitqSap
        4          11   Q1Way.Size
        3          14   PotsBcSsm.StopTimer
        3          12   DigitString.AddDigit
        3          11   SbInitiationReq.ProcessEvent
        2         140   PotsCallPsm.ctor(subseq)
        2          98   PotsBcSsm.ctor
        2          73   SysMemory.Protect
        2          64   BcLocalReleaseEvent.ctor
        2          62   SsmContext.ctor
        2          50   BcReleaseCallEvent.ctor
        2          49   BcApplyTreatmentEvent.ctor
        2          33   BcOriginateEvent.ctor
        2          33   BcAuthorizeOriginationEvent.ctor
        2          33   BcCollectInformationEvent.ctor
        2          20   MsgPort.ctor(i/c)
        2          20   PotsCallFactory.AllocIcPsm
        2          15   ServiceSM.PsmDeleted
        2          13   PotsFacilityInfo.ctor
        2          13   Heap.SetAttrs
        2          13   ProxyBcSsm.ctor
        2          12   RouteResult.ctor
        2          12   Q1Way.Insert
        2          11   PotsProfile.ClearObjAddr(psm)
        2          11   PotsBcExAnalyzeLocalMessage.ProcessEvent
        2          11   ProtocolSM.SendFinal
        2          11   ProtocolLayer.ctor(subseq)
        2          11   PayloadInvokerPool.RejectIngressWork
        2          10   ProtocolSM.operator new
        2          10   ProtocolLayer.AdjacentDeleted
        2          10   BcSsm.RaiseLocalRelease
        2          10   BcSsm.ClearCall
        2          10   PotsBcLocalRelease.ProcessEvent
        2          10   PotsBcSsm.ClearCall
        2          10   PsmContext.ExqPsm
        2          10   MediaSsm.PsmDeleted
        2          10   ProxyBcSsm.PsmDeleted
        2          10   SysIpL3Addr.ReleaseSocket
        2           9   PotsProfile.SetState
        2           9   PsmContext.ExqPort
        2           9   PotsBcSsm.PsmDeleted
        2           9   PotsStatistics.IncrCause
        2           9   ProtocolSM.Destroy
        2           9   BcSsm.PsmDeleted
        2           9   MsgPort.AdjacentDeleted
        2           9   BcLocalReleaseEvent.dtor
        2           9   ProtocolSM.ctor(subseq)
        2           9   PotsBcCiAnalyzeLocalMessage.ProcessEvent
        2           9   PotsProfile.ClearObjAddr(addr)
        2           9   PotsTreatmentQueue.FirstTreatment
        2           9   PotsTreatmentRegistry.CauseToTreatmentQ
        2           9   PotsBcReleaseCall.ProcessEvent
        2           9   ServiceSM.ProcessSsmqSap
        2           9   BcSsm.dtor
        2           8   PotsCallPsm.dtor
        2           8   MediaPsm.dtor
        2           8   SsmContext.dtor
        2           8   ProxyBcSsm.dtor
        2           8   MediaSsm.dtor
        2           8   Heap.SetPermissions
        2           8   ProtocolSM.Initialize
        2           8   SsmFactory.AllocContext
        2           8   ProtocolSM.dtor
        2           8   Message.Refresh
        2           8   MsgPort.dtor
        2           8   PotsBcExApplyTreatment.ProcessEvent
        2           8   PsmContext.dtor
        2           8   RootServiceSM.dtor
        2           7   BcSsm.RaiseReleaseCall
        2           7   PsmContext.HenqPsm
        2           7   BcSsm.RaiseApplyTreatment
        2           7   Memory.Realloc
        2           7   PotsBcSsm.dtor
        2           7   PotsWmlSsm.ctor
        2           7   InitiationReqEvent.SetScreening
        2           7   PotsToneTreatment.ApplyTreatment
        2           7   ServiceSM.HenqModifier
        2           7   PotsBcNuAnalyzeLocalMessage.ProcessEvent
        2           7   PotsScanInfo.ctor
        2           7   MediaPsm.IcPortUpdated
        2           7   PotsWmlSsm.ProcessInitAck
        2           7   PotsHeaderInfo.ctor
        2           7   PotsWmlSsm.dtor
        2           7   BcApplyTreatmentEvent.dtor
        2           7   BcReleaseCallEvent.dtor
        2           7   Message.GetReceiver
        2           7   MsgPort.AllocUpper
        2           7   SsmContext.AllocRoot
        2           6   InitiationReqEvent.ctor
        2           6   Message.SetRxAddr
        2           6   MsgPort.Initialize
        2           6   ServiceSM.SetParent
        2           6   BcSsm.SetUPsm
        2           6   PotsRingInfo.ctor
        2           6   ObjectPool.ObjBid
        2           6   PotsCallFactory.AllocRoot
        2           6   PotsStatistics.Incr
        2           6   PotsCallFactory.PortAllocated
        2           6   ProtocolLayer.ctor(first)
        2           6   DigitString.ctor
        2           6   MediaSsm.ctor
        2           6   PsmContext.ctor
        2           6   BcSsm.SetModel
        2           6   Message.GetSender
        2           6   MsgPort.UpdatePeer
        2           6   PotsBcNuOriginate.ProcessEvent
        2           6   ProxyBcSsm.SetUPsm
        2           6   MsgPort.UppermostPsm
        2           6   PotsBcSsm.SetProfile
        2           6   PotsSusInitiator.ProcessEvent
        2           6   PsmContext.EnqPort
        2           6   AnalysisResult.ctor
        2           6   BcSsm.RaiseAuthorizeOrigination
        2           6   Event.SetOwner
        2           6   InitiationReqEvent.dtor
        2           6   MsgPort.operator new
        2           6   PotsBcAoAuthorizeOrigination.ProcessEvent
        2           6   ProtocolSM.UppermostPsm
        2           6   CauseInfo.ctor
        2           6   Context.MsgCount
        2           6   MediaPsm.MakeEdge
        2           6   PotsBcCiCollectInformation.ProcessEvent
        2           6   PotsCallFactory.ScreenFirstMsg
        2           6   PotsHtlInitiator.ProcessEvent
        2           6   PotsProfile.SetObjAddr
        2           6   PotsWmlInitiator.ProcessEvent
        2           6   RootServiceSM.ctor
        2           6   BcSsm.RaiseCollectInformation
        2           6   Context.ContextRoot
        2           6   PotsBocInitiator.ProcessEvent
        2           5   BcCollectInformationEvent.dtor
        2           5   BcOriginateEvent.dtor
        2           5   BcAuthorizeOriginationEvent.dtor
        2           0   BcSsm.ctor
        2           0   MediaPsm.ctor(subseq)
        1          62   Thread.MemUnprotect
        1          40   Thread.MemProtect
        1          25   BcCollectionTimeoutEvent.ctor
        1          21   BcAnalyzeInformationEvent.ctor
        1          21   BcLocalInformationEvent.ctor
        1          13   BcSsm.RaiseAnalyzeInformation
        1          10   BcSsm.RequestService
        1           7   IpPortRegistry.CanBypassStack
        1           5   AnalyzeMsgEvent.BuildSnp
        1           5   Timer.SendTimeout
        1           5   PotsWmlSsm.CalcPort
        1           5   TimerRegistry.SendTimeout
        1           4   PotsBcCiCollectionTimeout.ProcessEvent
        1           4   Event.SetCurrSsm
        1           4   AnalyzeMsgEvent.BuildSap
        1           4   TimeoutInfo.ctor
        1           4   BcSsm.RaiseCollectionTimeout
        1           4   PotsBcSsm.ClearTimer
        1           4   BcSsm.AnalyzeInformation
        1           4   Message.SetPriority
        1           4   PotsBcAiAnalyzeInformation.ProcessEvent
        1           4   PotsWmlSsm.ProcessSap
        1           4   PotsWmlTiAnalyzeMessage.ProcessEvent
        1           4   ServiceCodeRegistry.GetService
        1           4   BcSsm.RaiseLocalInformation
        1           4   DigitString.AddDigits(digits)
        1           4   AnalysisResult.ctor(digits)
        1           4   Message.SendToSelf
        1           4   PotsBcCiLocalInformation.ProcessEvent
        1           4   PotsWmlDeactivate.AllocModifier
        1           4   ProtocolLayer.EnsurePort
        1           3   DigitString.ToDN
        1           3   InitiationReqEvent.SetReceiver
        1           3   Message.ChangeDir
        1           3   PotsWmlSsm.Cancel
        1           3   SbAnalyzeSap.ProcessEvent
        1           3   TlvMessage.ChangeDir
        1           3   DigitString.IsCompleteAddress
        1           3   DigitString.ToSC
        1           3   BcLocalInformationEvent.dtor
        1           3   BcCollectionTimeoutEvent.dtor
        1           3   BcAnalyzeInformationEvent.dtor
        1           3   ServiceSM.ProcessInitReq
