FUNCTION PROFILE: 14-Oct-2019 22:48:32.654 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      402       13302   Base.ctor
      402          21   Object.ctor
      398        4612   Alarm.Create
      397        2920   ObjectPool.UpdateAlarm
      311        2712   Q1Way.Enq
      301        4540   Context.RunningContextTraced
      211        1558   Thread.RunningThread
      209          23   Pooled.ctor
      206        1885   Q1Way.Deq
      205        1924   ObjectPool.DeqBlock
      191        1769   Pooled.operator delete
      191        1680   ObjectPool.EnqBlock
      183         164   C++.delete
      150        1313   Q1Way.Exq
      146        1606   Context.RunningContext
      132       15832   Thread.Pause
      126        1308   TlvMessage.FencePtr
      124         948   SysIpL2Addr.dtor
      121         809   ProtocolSM.Port
      118           0   SysIpL2Addr.ctor(copy)
      114         880   MsgPort.Port
      114         850   SysIpL3Addr.dtor
      104          16   SysIpL3Addr.ctor(copy)
       93         681   Context.SetContextMsg
       91         475   Q1Way.Purge
       86         836   Q1Way.Init
       76         606   SysIpL2Addr.operator=(copy)
       75        3315   Thread.ExitBlockingOperation
       75         468   Thread.Unlock
       73         647   SbIpBuffer.PayloadSize
       72         613   ServiceSM.EnqEvent
       72         570   SysIpL3Addr.operator=(copy)
       71          79   Event.ctor
       70         716   Event.dtor
       70         529   ServiceSM.ExqEvent
       70           0   SysIpL2Addr.ctor
       70           0   SysIpL3Addr.ctor
       69         729   Event.operator new
       65         660   SysHeap.Alloc
       63        3291   Message.ClearContext
       63         502   TlvMessage.CheckFence
       63         448   Memory.Alloc
       63         396   Message.Exqueue
       63         367   IpBuffer.BuffSize
       62         511   Message.RxSbAddr
       62         447   TlvMessage.FirstParm
       61         470   TlvMessage.FindParm
       57         520   SbIpBuffer.operator new
       55         432   TlvMessage.FindType
       54         654   Thread.LogContextSwitch
       54         343   TlvMessage.NextParm
       50     2015989   InitThread.Yielding
       50         469   Thread.EnterBlockingOperation
       50         352   Thread.RtcPercentUsed
       48         561   Context.SetState
       45         651   Memory.Copy
       45         439   TlvMessage.AddParm
       45         391   IpBuffer.AddBytes
       45         378   TlvMessage.AddType
       44        1787   SysSocket.SetBlocking
       43         266   Message.Enqueue
       41         345   InvokerThread.ClearContext
       39         360   Factory.RecordMsg
       38         375   Message.operator new
       38         284   MsgBuffer.dtor
       38         268   SbIpBuffer.operator delete
       36         373   InvokerPool.FindWork
       36         311   BcEvent.dtor
       36         239   SysHeap.Free
       36         210   Memory.Free
       36           0   BcEvent.ctor
       35         241   IpBuffer.dtor
       35         183   SbIpBuffer.dtor
       34         253   Message.dtor
       34         244   Context.Exqueue
