FUNCTION PROFILE: Jun-13-2022 16:39:08.841 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      329         745   Q1Way.Enq
      292         850   Q1Way.Deq
      291         831   ObjectPool.DeqBlock
      291         745   Pooled.ctor
      287         884   Context.RunningContextTraced
      219         544   ObjectPool.EnqBlock
      219         501   Pooled.operator delete
      183         107   C++.delete
      162        1418   Gate.Notify
      162         673   Thread.Interrupt
      162         590   SysThread.Interrupt
      154    18689955   Gate.WaitFor
      154         560   SysThread.Suspend
      153         384   Context.RunningContext
      141         313   Q1Way.Exq
      122         418   Thread.Pause
      114         240   Context.SetContextMsg
      105         580   SysIpL2Addr.dtor
      105         289   SysIpL3Addr.dtor
      105         241   ProtocolSM.Port
      104         238   TlvMessage.FencePtr
      102         198   MsgPort.Port
       93        2146   Thread.LogContextSwitch
       93         676   Thread.ExitBlockingOperation
       93         629   Thread.Resume
       93         592   Mutex.Acquire
       93         472   Thread.InitialTime
       93         428   Thread.Ready
       93         350   SysThread.Wait
       93         316   MutexGuard.ctor
       93         302   ThreadAdmin.WarpFactor
       93         297   Thread.Suspend
       93         294   Mutex.Release
       93         292   Thread.Schedule
       93         275   MutexGuard.Release
       93         261   Thread.EnterBlockingOperation
       93         247   MutexGuard.dtor
       90         182   Q1Way.Init
       87         188   SbIpBuffer.PayloadSize
       86         160   Q1Way.Purge
       84         316   SysIpL3Addr.ctor
       84         259   SysIpL2Addr.ctor
       84         197   IPv6Addr.ctor
       72         228   SbIpBuffer.operator new
       72         223   Message.RxSbAddr
       72         200   SmallBuffer.operator new
       72         185   NetworkBase.AllocByteBuff
       72         181   IpBuffer.AllocBuff
       69         137   TlvMessage.NextParm
       68         200   Event.ctor
       68         179   Event.operator new
       68         167   ServiceSM.ExqEvent
       68         166   ServiceSM.EnqEvent
       68         161   Event.dtor
       67         173   TlvMessage.FindParm
       67         127   TlvMessage.FirstParm
       62        1146   Message.ClearContext
       62         148   Message.Exqueue
       62         125   TlvMessage.FindType
       61         189   SysThread.Delay
       58         257   Memory.Copy
       55         267   SysSocket.SetBlocking
       54          92   Context.SetState
       52         117   TlvMessage.CheckFence
       49         135   Thread.CurrTimeRunning
       45         119   InvokerPool.FindWork
       45         114   Thread.RtcPercentUsed
       38         128   TlvMessage.AddParm
       38          92   Context.Exqueue
       38          88   IpBuffer.AddBytes
       38          85   TlvMessage.AddType
       38          70   InvokerThread.ClearContext
       37          98   Message.Enqueue
       37          86   Factory.RecordMsg
       37          72   Message.TxSbAddr
       36         485   SbIpBuffer.ctor
       36         197   SbIpBuffer.ctor(copy)
       36         170   IpBuffer.ctor
       36         128   IpBuffer.dtor
       36         121   IpBuffer.ctor(copy)
       36         112   Message.dtor
       36         100   MsgBuffer.ctor
       36          97   SbIpBuffer.dtor
       36          90   Message.operator new
       36          90   MsgHeader.ctor
       36          84   MsgBuffer.ctor(copy)
       36          84   TlvMessage.dtor
       36          83   SbIpBuffer.operator delete
       36          74   MsgBuffer.dtor
       35         169   SysSocket.TracePeer
       35         129   BcEvent.ctor
       35          90   BcEvent.dtor
       34          70   Message.RxFactory
       33          66   Q2Way.Exq
       33          58   PotsCallPsm.Cast
       32          81   IpPort.RecvsInSequence
       31          79   PotsBcSsm.SetNextSap
       31          67   ServiceSM.SetNextSap
       31          59   PotsMessage.dtor
       30          68   Q1Way.Henq
       30          64   ServiceSM.SetNextState
       27         198   ServiceSM.ProcessEvent
       26          78   Message.Handled
       26          60   Alarm.Create
       26          59   Message.SetPsm
       25          55   ProtocolSM.SetState
       24          65   MsgPort.Find
       24          57   BcSsm.SetNextState
       24          49   Context.TraceMsg
       23         297   Context.CaptureTask
       23         106   InvokerPool.ReceiveMsg
       23          84   MsgFactory.ReceiveMsg
       23          83   Context.ProcessMsg
       23          71   Context.Enqueue
       23          67   Context.EnqMsg
       23          67   InvokerThread.SetContext
       23          65   Context.ProcessWork
       23          65   InvokerPool.KickThread
       23          54   PayloadInvokerPool.RecordDelay
       23          46   InvokerPool.Enqueued
       23          41   InvokerPool.Dequeued
       23          40   Thread.PauseOver
       22        4786   SysUdpSocket.RecvFrom
       22         169   SessionBase.CaptureMsg
       22         140   SysSocket.Empty
       22         102   IoThread.InvokeHandler
       22          83   SbTracer.MsgStatus
       22          81   InvokerPool.ReceiveBuff
       22          81   IpPort.BytesRcvd
       22          80   SysIpL3Addr.NetworkToHost(IPv6)
       22          70   SbInputHandler.ReceiveBuff
       22          65   InvokerThread.ScheduledIn
       22          60   IoThread.ConditionalPause
       22          55   SessionBase.TraceRxNet
       22          53   InputHandler.NetworkToHost
       22          50   NwTracer.BuffStatus
       22          50   SysIpL2Addr.NetworkToHost(IPv6)
       22          47   TlvMessage.ctor(i/c)
       22          46   Pots_NU_Message.dtor
       22          43   ProtocolSM.PeerFactory
       22          42   InvokerThread.BlockingAllowed
       22          41   Message.ctor(i/c)
       22          37   InvokerPool.ScheduledOut
       21          52   PotsBcSsm.SetNextSnp
       21          48   ServiceSM.SetNextSnp
       21          39   PotsProfile.FindFeature
       20          72   PotsMessage.ctor(i/c)
       20          70   SbExtInputHandler.AllocBuff
       20          65   DeferredRegistry.RaiseTimeouts
       20          48   Q2Way.Enq
       19          58   TimerRegistry.ProcessWork
       19          54   ProtocolSM.FindTimer
       18          54   ObjectPool.BidToObj
       17          48   Initiator.InvokeHandler
       17          37   PotsCallPsm.SendSignal
       16          42   DigitString.AddDigit
       16          31   DigitString.Size
       15          46   Context.ctor
       15          44   ServiceSM.DeleteIdleModifier
       15          43   Factory.IncrContexts
       15          40   Context.dtor
       15          39   MediaInfo.ctor
       15          38   Context.operator new
       15          34   MsgContext.ctor
       15          32   Message.SetProtocol
       15          28   MsgContext.dtor
       15          25   ServiceSM.EndOfTransaction
       14          74   Message.Send
       14          62   Message.ctor(o/g)
       14          46   ProtocolSM.EndOfTransaction
       14          45   ProtocolSM.EnqOgMsg
